author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
2943973749,Godney100,391,46,,,,437
715098051422064640,David40542129,348,11,2,1,,362
584994581,thefoodshack,295,,,,,295
14419288,g4ogami,124,,,,,124
98355836,Stingraytwo,6,111,4,,,121
130479569,MrsTastic,14,90,,,,104
715850854943866881,GillJames54,,96,,,,96
1084664205293375488,akajane_doe,90,,,,,90
2948970016,UKMikeSmith,88,,,,1,89
2698589974,littlegreydog1,57,10,9,6,,82
832297975699357696,Tatoconsulting,77,,,,,77
1561448815,WritersofColour,,39,36,,,75
142636808,robertwilkin,64,6,3,,,73
721263993,heidiEC5,,64,,,,64
971315817358020608,DawnNeesom,37,5,7,11,,60
43860320,gavinthegromit,59,,,,,59
4195131059,flowesaunders68,13,43,2,,,58
17895820,Daily_Express,,,53,,,53
2886995157,anthowcwm,3,50,,,,53
875647799366369282,KelitaBignall,51,,1,,,52
