author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
902708583304978433,samiskafolkhem,,115,7,6,26,154
234497503,Jayemmbee23,7,79,,,,86
851724528048889856,realordinarylad,7,73,3,,,83
1923454140,tboz_90,59,,,,,59
884382919455801344,urbselect,,,57,,,57
2215045314,RQTEK4GOD,,27,25,,,52
13203752,SelinaNBrown,32,4,9,,,45
4635975621,RadioBlackOn,,,44,,,44
15303011,marvinmusic,,,43,,,43
763004979292626945,UnmovedLee,27,11,4,,,42
222738368,lareinedejade,,42,,,,42
289148078,RecentLatestVia,,,41,,,41
558814673,ShawnDK19,,39,2,,,41
2617259988,jswitch341,,,41,,,41
16973333,Independent,1,,36,,,37
718239356083904513,Real_Infinity95,35,,,,,35
841951770813317120,SchoolNGRclass,,,35,,,35
3000306034,nyambza1971,34,1,,,,35
2246790921,KKoloni,10,24,,,,34
851437026,prometheus50K,33,,1,,,34
