author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
300045480,Libreinfo,,169,,,,169
925846153,ColeenHammitt,3,2,,131,,136
4835004712,ice_finance_fr,,122,1,,,123
1652541,Reuters,11,95,,1,,107
890049973055868928,madeof,2,1,2,61,,66
189806241,CaligirlLeftie,61,1,,,,62
827614173106421760,hassin_joan,52,,,10,,62
1085072355481784320,BlogYomi,,56,,,,56
1084832449467768832,UlmHi,,56,,,,56
606411350,Imonlyslightly,11,,,42,,53
493123841,dpmlawfirm,,18,,35,,53
2531643876,MelaynaLokosky,4,29,9,8,,50
949852563704180736,RogerTh71142375,36,9,,4,,49
334589873,EINMesothelioma,,47,,,,47
960201389883428866,Trend_Snips,,46,,,,46
966690553168584704,meg_hermes,,44,,,,44
174413051,SokoloveLaw,,43,,,,43
1286106229,Rocketnews1,,42,,,,42
1040080514,israelstag,,42,,,,42
734334654908661760,BibbyBelinda,41,,,,,41
