author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
58851397,somsirsa,,23,,,,23
1754641,nytimesbusiness,1,21,,,,22
90250196,halloussi,,15,,,,15
1150509674828947456,SoniaAssociates,,11,,,,11
1146387471862784000,btc_dark,,10,,,,10
1021776329086128130,EwanGraves,,9,,,,9
1169438480,OldSalz,9,,,,,9
2173158246,SeatSale,,9,,,,9
14677919,NewYorker,,8,,,,8
253637278,_YvonneBurton,7,,,1,,8
1076114972390895617,garjunp,,8,,,,8
1627501111,mcwilkins63,8,,,,,8
701434587155550208,newyorker_nb,8,,,,,8
1039446865,alfonsojen,,7,,,,7
1003697563,ayshamoolla,7,,,,,7
16955517,dealbook,,7,,,,7
1044831086,florentinobm,,7,,,,7
1081197405217923074,p_twi1,,7,,,,7
239231909,CayleyGuimaraes,6,,,,,6
1156746694819753984,DailyMediaInte1,,6,,,,6
