author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
35244417,ZionTechGroup,334,2320,,,,2654
735279799812362241,swagafiedkicks,2195,,,,,2195
18272699,DukeMBB,6,1605,,,,1611
69046897,zionweb,,1196,,,,1196
3332100754,MJ23_Chicago,1110,,,,,1110
2611149216,Moses1Mr,,715,,,,715
3069279631,ReciteSocial,,,592,,,592
361329018,KicksDeals,2,559,7,2,,570
366897053,KalebDuke33,443,,,,,443
396360322,ELBLOKERADIO,,428,,,,428
725714429908779008,NikeonEbayUS,,408,,,,408
2698270332,SOLELINKS,2,399,3,3,,407
1199245453,SneakerMash,,399,,,,399
574186881,snkr_twitr,3,314,52,,,369
2885229719,lovelyedwon,236,68,53,1,,358
331032578,kq945,,351,,,,351
212341339,WRACANAL10,,339,,,,339
1016181217450835968,ziongatestore,1,334,,,,335
607004941,IcySoleOnline,13,312,1,1,,327
154587828,AJTheManChild,77,2,246,,1,326
