author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
140163817,TwitJAKO,417,2,,,,419
289148078,RecentLatestVia,390,2,,,,392
222034168,RIGB2266,222,,,,,222
2726025501,leocullen4,1,202,,,,203
2901964056,DWPscumbags,41,36,123,,,200
21867265,mottv,158,,,,,158
15821039,oxfamgb,3,6,132,1,1,143
808715419892797440,theelatestnews,128,,,,,128
56921859,dbienaime,80,13,21,2,,116
592752592,ObserverNotes,100,8,,7,,115
91606617,andreazanardo,23,3,84,,,110
27003847,davemasters,110,,,,,110
59396498,OxfamIntermon,7,,101,,1,109
4916221276,SteveGFry,35,52,12,8,,107
227421107,_i0n,11,19,73,3,,106
525857359,GeoffyPJohnston,47,39,5,13,,104
16308922,newhumanitarian,78,15,8,,,101
16973333,Independent,99,,,,,99
714386061833728001,emet_news_press,99,,,,,99
3040347807,PickPosts,98,,,,,98
