author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
501180138,glinch72,,,59,,3,62
71056773,CU_World,,30,,,,30
1155920622725320705,chris__soda,25,,,,,25
934920511506616321,tedwlsn31,22,,,,,22
1250097950,MATTP1949,3,,17,,,20
397811354,justanotweet,13,,7,,,20
1264246295994273793,BemboJoao,,11,,8,,19
3069279631,ReciteSocial,,1,18,,,19
40860633,VisirSport,,19,,,,19
1187564218402398209,VanarsdaleBill,,6,,12,,18
1189667002714976256,BotSpoopy,,16,,,,16
146213826,confunctionist,,,15,,,15
837785154651238400,tomwlsn31,15,,,,,15
14112296,designtaxi,,14,,,,14
1188210234,jahstforu,14,,,,,14
1175821023322750978,jfsantiques,,14,,,,14
314303436,Always5Idiots,13,,,,,13
111321539,Andrewemcameron,,,13,,,13
934909851955748865,timwlsn31,13,,,,,13
1231621801601576961,ursoswag101,13,,,,,13
