author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
966781315579183104,First2Chat,,,682,,,682
886239052936163330,empowergracewi,207,46,140,12,,405
3069279631,ReciteSocial,,,332,,,332
2277644880,Milenamnam,310,,,,,310
189806241,CaligirlLeftie,273,12,20,2,,307
2724199448,maglev19,230,18,46,6,,300
731157103973441537,bostonnewslocal,281,,,,,281
980941320758988801,Brittan75653343,260,4,6,,,270
1482492223,Jax6655,262,,4,,,266
47670643,chickenproduc,190,6,62,,,258
324919067,EINStarbucks,,255,,,,255
731019727,charluv2011,219,25,,4,,248
15477645,RepPress,8,24,183,2,24,241
86887216,asomer,20,4,208,4,,236
122280853,Ben_McRea,220,14,,,,234
500154514,HaroldWNelson,198,36,,,,234
505836008,LigayaLoyola,230,,,,,230
718239356083904513,Real_Infinity95,229,,,,,229
971864713582784512,WOCWriters1,203,10,,14,,227
716394248489177088,2handsomesons1,223,,,,,223
