author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
63997332,Bravo0714,381,1,1,,,383
353463744,banawedata,203,,121,3,,327
787546010,BerkleyBearNews,,,326,,,326
297443753,thus_spake,1,,281,,,282
710763494380072960,behzad_nn,,,228,,,228
2543982944,zyiteblog,,,192,,,192
763564366369173504,Imagineer0,169,20,,2,,191
22473015,UsmanAnwar78,,,184,,,184
1596829382,ZyiteGadgets,,,180,,,180
2939817894,cryptogeorge_1,,,179,,,179
2403016908,yuuji_K1,179,,,,,179
478606913,krunox123,,,175,,,175
289148078,RecentLatestVia,14,,159,,,173
767499419335950336,SocialLifeMiami,,,169,,,169
23152434,vrai777,,,167,,,167
48470839,cahulaan,,,164,,,164
824645127356485632,TheBFRoom,,,158,,,158
16973333,Independent,7,,149,,,156
790319434980216833,RaeRae32623146,145,,,,,145
43151141,Apocrifos,,,139,,,139
