author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
4851714497,WellsFargoShark,658,6,397,2,,1063
902014436722003968,mariestfleur1,,185,,640,,825
288983232,sherigreatfalls,561,41,,89,,691
4811951173,bfsi_ibb,,385,,,,385
4811798929,financ_mortgage,,374,,,,374
4811917159,bfsi_financial,,270,,,,270
1066779799,AngelsLouisiana,198,6,19,,,223
32807746,toolgirl16,130,31,12,,,173
847111119496007680,Wolverines6667,162,,2,,,164
19560636,SFBusinessTimes,,116,,,,116
33271451,AnneMuyiwa,78,2,27,4,,111
1497519666,WFB_Fraud,20,59,16,3,,98
57206442,ourkidz3,34,14,,42,,90
45660466,TheRealBudMan,2,5,75,,,82
24173559,divemate,78,,,,,78
114274155,wosaikeneriki,,74,,,,74
2925014717,SleipnirPerkins,60,,3,6,,69
2993237220,cevoltz,56,2,,,,58
815607663908323329,Ferret_Crusher,,56,,,,56
910179569638035456,LoanModFraud,54,1,1,,,56
