user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
guardian,Can’t we finally accept that some ‘white saviours’ really want to help? | Barbara Ellen | Opinion | The Guardian https://t.co/jgSjwhScwn,2019-03-03T08:39:05.000Z,https://t.co/c53pnmnuIT,The Guardian,London,true,61,279,141,150,-129,80
itvnews,"'It's not really about Stacey Dooley, it's about Comic Relief'

Labour MP David Lammy tells ITV News presenter @alstewitn his issue with the charity and the way it raises funds https://t.co/xlU22pQrrD https://t.co/8rFWY2PfvY",2019-02-28T15:37:35.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,60,156,117,500,344,57
MatthewStadlen,Is my friend David Lammy right to say that the world doesn’t need any more white saviours like Stacey Dooley or does he risk putting people off from donating to important causes in Africa? Join me from 1 on @LBC https://t.co/3t18SvXXhm,2019-03-02T00:42:43.000Z,https://t.co/q5cOwEl18a,Matthew Stadlen,London,true,28,139,55,615,476,27
MirrorTV,"Stacey Dooley's Comic Relief photo made Uganda High Commissioner 'uncomfortable' #ThisMorning 

https://t.co/GgMk3JePX8 https://t.co/hpFVGJClSl",2019-03-01T12:21:46.000Z,http://t.co/kBfBOENQBu,Mirror TV,UK,true,2,8,19,38,30,17
JeremyVineOn5,"Celebrities like Stacey Dooley have been criticised for making films in Africa for Comic Relief, with David Lammy tweeting: ""The world does not need any more white saviours"". Thoughts? #jeremyvine https://t.co/Bnty9bIzEx",2019-02-28T07:16:49.000Z,https://t.co/j1lSUcVGPI,Jeremy Vine On 5,"London, England",true,106,253,121,1036,783,15
talkRADIO,"David Lammy says Stacey Dooley is a “white saviour” creating “poverty porn” by going to Africa for Comic Relief... Does he have a point? 

@JuliaHB1 | https://t.co/12j6cHLwF4 https://t.co/slUYrUwZSN",2019-03-01T06:50:02.000Z,https://t.co/kswWL8RTdC,talkRADIO,United Kingdom,true,62,114,73,741,627,11
LBC,"A race row has erupted between David Lammy and Stacey Dooley, after the MP accused her of perpetuating a ""white saviour"" complex whilst filming for Comic Relief. @NickFerrariLBC asks: is he right? https://t.co/VOJyKUHpUu",2019-03-01T08:08:42.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,42,72,49,522,450,7
EdwardAdoo,"My latest @HuffPost piece ...
“Demonising The Likes Of @StaceyDooley Will Only Deter People From Contributing To Charities Like Comic Relief” 
https://t.co/1Ej2ULyh0m",2019-03-04T00:21:27.000Z,https://t.co/VlZEeZplWj,Edward Adoo,London,true,2,4,9,10,6,7
thismorning,"Was Stacey Dooley wrong to go on a charity trip to Africa? Do you agree with MP David Lammy's 'white saviour' criticism? 

https://t.co/PdoQqnciSr",2019-02-28T11:57:18.000Z,https://t.co/pwq4GURi36,This Morning,"London, England",true,21,125,27,439,314,6
SkyNews,#ComicRelief documentary on Uganda featuring @StaceyDooley criticised for perpetuating 'tired and unhelpful stereotypes' about Africa https://t.co/JWdK7mDdrM,2019-02-28T23:29:27.000Z,https://t.co/UuWgHECmV8,Sky News,"London, UK",true,7,37,13,72,35,6
theipaper,"David Lammy is a truly remarkable politician, but his Stacey Dooley takedown was out of order. | @y_alibhai

https://t.co/tqxI2tLssC",2019-03-05T12:35:00.000Z,https://t.co/s9Rj8uSJsl,i newspaper,NA,true,3,21,8,16,-5,5
SkyNews,Stacey Dooley Comic Relief documentary pics spark 'white saviour' row https://t.co/Pa0U44tLlE,2019-02-28T12:45:42.000Z,https://t.co/UuWgHECmV8,Sky News,"London, UK",true,24,86,28,271,185,4
SkyNews,#ComicRelief documentary on Uganda featuring @StaceyDooley criticised for perpetuating 'tired and unhelpful stereotypes' about Africa https://t.co/CeSjn8lgz3,2019-02-28T14:40:20.000Z,https://t.co/UuWgHECmV8,Sky News,"London, UK",true,4,26,8,70,44,4
thetimes,"Comic Relief suffered an £8m fall in donations for its Red Nose Day appeal, prompting a backlash against David Lammy, the Labour MP who sparked a debate about the charity’s role in perpetuating a “white saviour” complex https://t.co/6bIvxi5pr9",2019-03-17T18:25:03.000Z,http://t.co/GAsNZkMcoP,The Times,London,true,1,8,5,13,5,4
MsMandyJ,"If you are near a telly box then I should be interviewed on @SkyNews live today around 6:30pm. 

I will be sharing my view on the Stacey Dooley/David Lammy, ""white saviour"" debate. If you can't watch the show, then you can read my thoughts here: https://t.co/ej7EahmRmB",2019-02-28T17:57:29.000Z,https://t.co/uFTtBkEots,Mandy Johnson (she/her),United Kingdom,false,4,34,7,9,-25,3
thetimes,"Comic Relief suffered an £8m fall in donations for its Red Nose Day appeal, prompting a backlash against David Lammy, the Labour MP who sparked a debate about the charity’s role in perpetuating a “white saviour” complex https://t.co/BN6NmRJeXV",2019-03-16T23:25:07.000Z,http://t.co/GAsNZkMcoP,The Times,London,true,20,39,23,72,33,3
CiroDeSiena,"Jeez I was a full-on stereotype this morning. Drove a Golf R into work, fitted with a custom titanium exhaust and a huge sound system, and to help wake up I was listening to David Guetta. All I needed was a protein shaker and I could've just gone ahead and changed my name to Jono",2019-03-26T13:16:39.000Z,https://t.co/D7Zn0TwpcX,Ciro De Siena💉🇿🇦💉,South Africa,false,4,73,7,12,-61,3
Independent,Stacey Dooley hits back after being criticised for ‘white saviour complex’ https://t.co/WlfAJRdqhR,2019-02-28T08:59:38.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,2,5,4,2,-3,2
saramsalem,"Oh dear.

#badtake

https://t.co/gjJvWTz7Iu",2019-03-03T15:41:16.000Z,https://t.co/6oZnNWYUq4,Sara Salem,"Cairo, Egypt | London, England",false,5,42,7,3,-39,2
DailyMailUK,Critics round on MP David Lammy as Comic Relief suffers £8MILLION drop in Red Nose Day donations https://t.co/hmGyTQ3pia,2019-03-17T17:36:02.000Z,https://t.co/ek8b6Uh75Q,Daily Mail U.K.,"London, UK",true,1,9,3,7,-2,2
TravelLeisure,You and a friend can have breakfast and a private museum tour with Sir David Attenborough https://t.co/QFHW7aGYQH https://t.co/5y02yhjEv4,2019-02-21T06:45:41.000Z,http://t.co/vmvNyo6nXZ,Travel + Leisure,"New York, NY",true,1,9,2,3,-6,1
VintageVibesEd,"Tomorrow is the day! Watch VIPs Piera, Norma, Shel and David enjoy the fabulous cooking of Michelin Star Chef @TomKitchin on tomorrow's BBC @SaturdayKitchen from 10am for @comicrelief

Let us know if you're going to watch! https://t.co/crL9JhWD4r",2019-02-22T17:33:18.000Z,https://t.co/KR8a1zSYc6,Vintage Vibes,"Edinburgh, Scotland",false,1,5,2,1,-4,1
