user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
theweeknd,woke up this morning shocked and embarrassed by this photo. i’m deeply offended and will not be working with @hm anymore... https://t.co/P3023iYzAb,2018-01-08T19:20:41.000Z,,The Weeknd,"Toronto, Ontario",true,100214,256137,13987,8592,-247545,-86227
FloydShivambu,That @hm nonsense of a clothing store is now facing consequences for its racism. All rational people should agree that the store should not be allowed to continue operating in South Africa. Well done to Fighters who physically confronted racism. https://t.co/cgdedYGoOj,2018-01-13T09:44:03.000Z,https://t.co/AxTSq4owXt,Floyd Shivambu,"World Citizen, based in SA",true,4185,7143,12090,3890,-3253,7905
thisisinsider,H&amp;M apologizes for using a black child in a 'racist' sweatshirt ad — but some people don't think it's enough https://t.co/ayvFLsf4QA https://t.co/rBTDVbcyyp,2018-01-08T16:05:29.000Z,https://t.co/c0ybDcjd3E,Insider,"Manhattan, NY",true,2637,4196,2390,1102,-3094,-247
EBONYMag,Mom of H&amp;M Model Used to Sell “Monkey” Hoodie is Mad at Us for Getting Mad: “Get over it! I don't think like that!” — https://t.co/uAgvJFWeSU https://t.co/9I1mGsrT56,2018-01-10T16:59:26.000Z,https://t.co/fu43zEtDcC,EBONY MAGAZINE,NA,true,5475,13697,2147,1077,-12620,-3328
ArianelaSelene,".@hm this is inappropriate, offensive, and racist. Why is the white kid ""a jungle survivor"" and the black kid the ""coolest monkey in the jungle""? How do you think this is okay? REMOVE this and the clothing piece. This is completely distasteful! #racist #hm https://t.co/uati7eI0Io https://t.co/WSF9Wiksio",2018-01-08T03:29:39.000Z,,Selene,United States,false,1606,2893,1852,1065,-1828,246
nopoweradeinusa,"wow H&amp;M, I was fine with all of your clothing being made by tiny chinese children, but racism? that's where I draw the line",2018-01-10T01:40:33.000Z,,christian,kicking in your dads dry wall,false,24417,121080,983,140,-120940,-23434
JacaNews,EFF targets @hm over racist advert. https://t.co/i7z2ss5QfK #H&amp;M https://t.co/aP6pdvY0QA,2018-01-13T10:27:18.000Z,https://t.co/cTOV2AVYcN,Jacaranda News,Midrand,true,812,1677,888,200,-1477,76
plies,H &amp; M (Horrible Merchandise).... We Got Some 4 Y'all Monkey Azz Doe....🤣🤣🤣 https://t.co/cdrJhc4vJN,2018-01-09T00:50:58.000Z,,Plies,Purple Heart 💜💜💜💜,true,6509,9300,862,137,-9163,-5647
Phil_Lewis_,Members of the Economic Freedom Fighters (EFF) trash H&amp;M stores in protest over racist online ad https://t.co/27qi3SVe05 https://t.co/7TuudKtlrc,2018-01-13T14:29:35.000Z,https://t.co/NiNrsmOc28,philip lewis,"Washington, DC",true,275,312,780,70,-242,505
StarLifeAtlanta,"The mother of the black boy from the H&amp;M picture has spoken and she doesn't see the big deal about the sweater. Do you agree with her? If not, does that make her a bad parent? Leave your thoughts.. #SLDH #StarlifeDancehall #DoBetter #Culture #Youshouldknowbetter #History https://t.co/tNq8Io2bLA",2018-01-10T21:29:00.000Z,http://t.co/Ct7MKGtRJs,STARLIFE ATLANTA,"Atlanta, GA",false,1709,5969,716,448,-5521,-993
_sunnybands,"“If H&amp;M paid you $10Million to model their racist clothing would you do it” 

Me : https://t.co/mEkvtowEQA",2018-01-09T05:53:46.000Z,https://t.co/2RIHKDidsf,B△ND$,"St Louis, MO",false,2444,3243,660,138,-3105,-1784
