user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
theweeknd,woke up this morning shocked and embarrassed by this photo. i’m deeply offended and will not be working with @hm anymore... https://t.co/P3023iYzAb,2018-01-08T19:20:41.000Z,,The Weeknd,"Toronto, Ontario",true,100214,256137,13987,8592,-247545,-86227
nopoweradeinusa,"wow H&amp;M, I was fine with all of your clothing being made by tiny chinese children, but racism? that's where I draw the line",2018-01-10T01:40:33.000Z,,christian,kicking in your dads dry wall,false,24417,121080,983,140,-120940,-23434
bitnaneunn,ที่ H&amp;M ทำมันคือการคิดน้อยจริงๆที่เอาเด็กผิวสีมาใส่เสื้อ coolest monkey in the jungle ก็สมควรถูกด่า แต่การพังร้าน H&amp;M ของคนผิวสี อันนี้ก็ไม่ควรเหมือนกันป่าวอะ ดูป่าเถื่อนมาก,2018-01-14T05:14:56.000Z,,น้อน,NA,false,24308,1554,27,13,-1541,-24281
plies,H &amp; M (Horrible Merchandise).... We Got Some 4 Y'all Monkey Azz Doe....🤣🤣🤣 https://t.co/cdrJhc4vJN,2018-01-09T00:50:58.000Z,,Plies,Purple Heart 💜💜💜💜,true,6509,9300,862,137,-9163,-5647
WalyDIA,"Cris de singe pendant les match
""C'est bon c'est que du foot""
Taubira en gueunon 
""Ça va c'est une blague""
Bamboula
""C'est à peu près convenable""
Michel Leeb qui joue un noir/singe
""C'est un sketch c'est pas grave""
H&amp;M Monkey
""C'est juste un sweat calmez vous""

Y'a du boulot.",2018-01-09T13:56:54.000Z,https://t.co/DeG3dWjAy0,Waly Dia,NA,true,5543,5135,84,114,-5021,-5459
EBONYMag,Mom of H&amp;M Model Used to Sell “Monkey” Hoodie is Mad at Us for Getting Mad: “Get over it! I don't think like that!” — https://t.co/uAgvJFWeSU https://t.co/9I1mGsrT56,2018-01-10T16:59:26.000Z,https://t.co/fu43zEtDcC,EBONY MAGAZINE,NA,true,5475,13697,2147,1077,-12620,-3328
FloydShivambu,That @hm nonsense of a clothing store is now facing consequences for its racism. All rational people should agree that the store should not be allowed to continue operating in South Africa. Well done to Fighters who physically confronted racism. https://t.co/cgdedYGoOj,2018-01-13T09:44:03.000Z,https://t.co/AxTSq4owXt,Floyd Shivambu,"World Citizen, based in SA",true,4185,7143,12090,3890,-3253,7905
ZeeTheBrat_,That H&amp;M hoodie in and of itself is not racist nor offensive. However putting it on and marketing it with a black child with historical and current context is just not a good look.,2018-01-08T16:26:57.000Z,,🍅🍅🍅,Over It,false,4003,12157,170,71,-12086,-3833
stann3r,A black child and a monkey have no correlation. I believe anyone that has presumed H&amp;M are calling the child a ‘monkey’ are the only ‘racist’ people in the situation ?? ? ??? ??? ??? ??? Just me or,2018-01-08T22:20:17.000Z,,stan,"England, United Kingdom",false,3501,18515,153,71,-18444,-3348
thisisinsider,H&amp;M apologizes for using a black child in a 'racist' sweatshirt ad — but some people don't think it's enough https://t.co/ayvFLsf4QA https://t.co/rBTDVbcyyp,2018-01-08T16:05:29.000Z,https://t.co/c0ybDcjd3E,Insider,"Manhattan, NY",true,2637,4196,2390,1102,-3094,-247
