user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
MrKennethClarke,"For what it’s worth, I wouldn’t trust Boris Johnson to negotiate a roundabout let alone a Brexit deal.",2018-12-14T13:41:40.000Z,,Ken Clarke,NA,false,1977,9744,129,213,-9531,-1848
eugenegu,"Johnson &amp; Johnson knew for decades that its talcum baby powder contained asbestos. Rather than do anything about it, they silenced their critics and made millions upon millions in profits while babies’ lungs and genitourinary tracts got filled with cancer causing poison.",2018-12-14T17:08:43.000Z,,"Eugene Gu, MD","New York, USA",true,2885,5551,217,204,-5347,-2668
RubenSanchezTW,Johnson &amp; Johnson se hunde en Bolsa tras conocerse que la compañía sabía de la presencia de amianto en sus polvos de talco desde 1971. Miles de enfermas de cáncer han llevado a la empresa a los tribunales. Ojalá los responsables acaben en la cárcel. https://t.co/EtRKcrLznv,2018-12-14T22:51:17.000Z,https://t.co/Olv3NrTOK5,Rubén Sánchez,"Sevilla, Andalucía, España🔻",true,4833,4412,152,154,-4258,-4681
Reuters,"A lab that plaintiffs hired in a lawsuit against Johnson &amp; Johnson found asbestos in Baby Powder from past decades – in bottles from plaintiffs’ cupboards and acquired from eBay, and even a 1978 bottle held in J&amp;J’s corporate museum. @Reuters investigates: https://t.co/AsT8BcwMzl https://t.co/QH7wDGasr3",2018-12-14T14:44:14.000Z,http://t.co/BmHxhkm3Mh,Reuters,Around the world,true,3762,3469,826,272,-3197,-2936
CNBCnow,"BREAKING: Johnson &amp; Johnson knew for decades about asbestos in baby powder talc supply, failed to tell the FDA - Reuters, citing documents https://t.co/scS9Xt6U0J",2018-12-14T14:30:41.000Z,https://t.co/xNSucapdhO,CNBC Now,NA,true,4610,3466,1692,350,-3116,-2918
williamsmjw,Big scoop from @lisagirion: Johnson &amp; Johnson knew for decades that asbestos lurked in its Baby Powder https://t.co/D7WnyrBRUd via @SpecialReports,2018-12-14T14:22:31.000Z,http://t.co/l3toa32r2Z,Michael Williams,New York,true,3667,3313,824,349,-2964,-2843
cnnbrk,Johnson &amp; Johnson stock plunges after a report that says the company knew for decades that asbestos was in its baby powder https://t.co/ploJbw5r7r https://t.co/XjOTYHObXC,2018-12-14T18:13:35.000Z,https://t.co/ojQgQKzKzX,CNN Breaking News,Everywhere,true,3386,2828,1460,497,-2331,-1926
ajplus,"Johnson &amp; Johnson reportedly knew its baby powder contained asbestos since 1971, according to an exclusive investigative report by Reuters.

The company is currently facing numerous lawsuits alleging its talcum powder products caused cancer. https://t.co/Gl9i5oFS5O",2018-12-15T00:11:21.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,4259,2612,801,112,-2500,-3458
Reuters,A Mount Sinai scientist told Johnson &amp; Johnson he found small amounts of asbestos in its Baby Powder in 1971. J&amp;J disagreed and put his name on an internal list of ‘antagonistic personalities’ https://t.co/4KFBmUvNsG https://t.co/NOtz4QKNGZ,2018-12-14T15:02:36.000Z,http://t.co/BmHxhkm3Mh,Reuters,Around the world,true,1945,2046,328,93,-1953,-1617
brutofficiel,"Atteint d’un cancer incurable, Dewayne Johnson a attaqué en justice Monsanto. C’est le premier au monde à avoir gagné un procès contre le géant américain. @EliseLucet raconte toute l’histoire pour Brut.

Soirée spéciale glyphosate ce soir à 21h dans @EnvoyeSpecial sur @France2tv https://t.co/eoCROTKg5J",2019-01-17T07:30:00.000Z,https://t.co/cEjwW7dj2q,Brut FR,France,true,1591,1994,68,56,-1938,-1523
WrestlinGifs,can’t trust anyone who refers to The Rock as “Dwayne Johnson”,2018-12-20T16:22:46.000Z,https://t.co/AL1hmCiWnD,Pav,"Toronto, Ontario",false,596,1696,25,34,-1662,-571
