user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
CNBCnow,"BREAKING: Johnson &amp; Johnson knew for decades about asbestos in baby powder talc supply, failed to tell the FDA - Reuters, citing documents https://t.co/scS9Xt6U0J",2018-12-14T14:30:41.000Z,https://t.co/xNSucapdhO,CNBC Now,NA,true,4610,3466,1692,350,-3116,-2918
cnnbrk,Johnson &amp; Johnson stock plunges after a report that says the company knew for decades that asbestos was in its baby powder https://t.co/ploJbw5r7r https://t.co/XjOTYHObXC,2018-12-14T18:13:35.000Z,https://t.co/ojQgQKzKzX,CNN Breaking News,Everywhere,true,3386,2828,1460,497,-2331,-1926
Reuters,"A lab that plaintiffs hired in a lawsuit against Johnson &amp; Johnson found asbestos in Baby Powder from past decades – in bottles from plaintiffs’ cupboards and acquired from eBay, and even a 1978 bottle held in J&amp;J’s corporate museum. @Reuters investigates: https://t.co/AsT8BcwMzl https://t.co/QH7wDGasr3",2018-12-14T14:44:14.000Z,http://t.co/BmHxhkm3Mh,Reuters,Around the world,true,3762,3469,826,272,-3197,-2936
williamsmjw,Big scoop from @lisagirion: Johnson &amp; Johnson knew for decades that asbestos lurked in its Baby Powder https://t.co/D7WnyrBRUd via @SpecialReports,2018-12-14T14:22:31.000Z,http://t.co/l3toa32r2Z,Michael Williams,New York,true,3667,3313,824,349,-2964,-2843
ajplus,"Johnson &amp; Johnson reportedly knew its baby powder contained asbestos since 1971, according to an exclusive investigative report by Reuters.

The company is currently facing numerous lawsuits alleging its talcum powder products caused cancer. https://t.co/Gl9i5oFS5O",2018-12-15T00:11:21.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,4259,2612,801,112,-2500,-3458
thehill,JUST IN: Johnson &amp; Johnson knew about asbestos in baby powder for decades: report https://t.co/xkV0zXAGkG https://t.co/Uo1qhBzpaW,2018-12-14T16:13:05.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,1140,849,636,129,-720,-504
ReutersBiz,JUST IN: Johnson &amp; Johnson shares down 3.7 percent after @Reuters reports company knew for decades about asbestos in its Baby Powder https://t.co/1vA8Vc1GcC https://t.co/O009RKDFiJ,2018-12-14T14:40:30.000Z,http://t.co/PsQMvEFldh,Reuters Business,Around the world,true,1409,990,430,134,-856,-979
JNJNews,"J&amp;J Baby Powder does not contain asbestos. For 100+ years, we’ve known our talc is the purest, safest talc on earth. We’re committed to your safety and stand behind our products. Learn more at https://t.co/FxX9e8mtmV",2018-12-19T22:58:43.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,217,1061,413,816,-245,196
TwitterMoments,"According to an investigation by @Reuters, Johnson &amp; Johnson knew that its baby powder talc supply contained asbestos as early as 1971. https://t.co/RKyYQVn8fT",2018-12-14T16:26:14.000Z,https://t.co/nYOx6qThjk,Twitter Moments,"New York, USA",true,746,615,337,125,-490,-409
Reuters,A Mount Sinai scientist told Johnson &amp; Johnson he found small amounts of asbestos in its Baby Powder in 1971. J&amp;J disagreed and put his name on an internal list of ‘antagonistic personalities’ https://t.co/4KFBmUvNsG https://t.co/NOtz4QKNGZ,2018-12-14T15:02:36.000Z,http://t.co/BmHxhkm3Mh,Reuters,Around the world,true,1945,2046,328,93,-1953,-1617
el_pais,"Un informe revela que el gigante Johnson &amp; Johnson sabía desde hace 40 años que que sus polvos de talco estaban contaminados por amianto, pero siguió vendiéndolos. La compañía afronta más de 10.000 demandas, en su mayoría por casos de cáncer de ovarios https://t.co/ThLOe9pYAQ",2018-12-15T07:34:02.000Z,https://t.co/6g5qG3Lgo3,EL PAÍS,Madrid,true,2976,1640,240,57,-1583,-2736
davidbrunnstrom,"From at least 1971 to early 2000s, J&amp;J’s raw talc and finished powders sometimes tested positive for small amounts of asbestos, and company executives, mine managers, scientists, doctors and lawyers fretted over the problem while failing to disclose it. https://t.co/kgwzsF90S1",2018-12-14T14:57:53.000Z,,David Brunnstrom,Washington DC,true,1028,1033,223,79,-954,-805
eugenegu,"Johnson &amp; Johnson knew for decades that its talcum baby powder contained asbestos. Rather than do anything about it, they silenced their critics and made millions upon millions in profits while babies’ lungs and genitourinary tracts got filled with cancer causing poison.",2018-12-14T17:08:43.000Z,,"Eugene Gu, MD","New York, USA",true,2885,5551,217,204,-5347,-2668
Kamada3,ダウは現在３８０ポイントの下げですが、下げの大きな原因となっているのはダウ銘柄ジョンソン・エンド・ジョンソンの１１％の大幅下落です。会社側は、ベビーパウダーに癌の原因となるアスベストが含まれていたことを隠していたことが報道されています。https://t.co/H9EtAltJod https://t.co/ZZbfQUl7U7,2018-12-14T16:34:15.000Z,https://t.co/IIv3JbraXR,T.Kamada,カリフォルニア州,false,2538,1107,160,29,-1078,-2378
RubenSanchezTW,Johnson &amp; Johnson se hunde en Bolsa tras conocerse que la compañía sabía de la presencia de amianto en sus polvos de talco desde 1971. Miles de enfermas de cáncer han llevado a la empresa a los tribunales. Ojalá los responsables acaben en la cárcel. https://t.co/EtRKcrLznv,2018-12-14T22:51:17.000Z,https://t.co/Olv3NrTOK5,Rubén Sánchez,"Sevilla, Andalucía, España🔻",true,4833,4412,152,154,-4258,-4681
MrKennethClarke,"For what it’s worth, I wouldn’t trust Boris Johnson to negotiate a roundabout let alone a Brexit deal.",2018-12-14T13:41:40.000Z,,Ken Clarke,NA,false,1977,9744,129,213,-9531,-1848
CBSNews,Johnson &amp; Johnson hid findings of asbestos in Johnson's Baby Powder for decades https://t.co/lMSfaXzSDT https://t.co/w54DKttgrh,2018-12-14T18:00:34.000Z,https://t.co/WWGo4zp06H,CBS News,"New York, NY",true,237,168,112,63,-105,-125
JNJNews,"Johnson’s Baby Powder has the purest, safest pharmaceutical-grade talc on earth. Learn more at https://t.co/FxX9e8mtmV https://t.co/S9F7D8WAjo",2018-12-19T17:29:47.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,34,138,112,138,0,78
GretchenTG,This is a remarkable story. Johnson &amp; Johnson knew for decades asbestos was in its baby powder. They not only kept this a secret but actively paid for bogus science to stave off regulations that might have protected people.  https://t.co/6eJFciuZdZ,2018-12-15T02:55:29.000Z,https://t.co/bKzDy2TLMM,"Gretchen Goldman, PhD",Nacotchtank & Piscataway lands,true,577,532,100,35,-497,-477
BBCWorld,Johnson &amp; Johnson shares drop after report says firm 'knew' of asbestos https://t.co/NSoo90ChqF,2018-12-14T17:37:18.000Z,https://t.co/7NEgoMwJy3,BBC News (World),"London, UK",true,473,505,98,48,-457,-375
girlsreallyrule,OMG. Internal documents show that Johnson &amp; Johnson sold baby powder (primarily used on babies and for women's personal hygiene) that it knew was tainted with carcinogenic asbestos FOR DECADES and purposely kept it from regulators and the public. https://t.co/qP5QLmufHW,2018-12-14T16:26:07.000Z,https://t.co/QMHuFsYbks,Amee Vanderpool,"Washington, DC ",false,978,915,91,141,-774,-887
Davidlaz,J&amp;J shares plunge 11% after report that the company knew for decades about asbestos in baby powder https://t.co/CX09f3koFg,2018-12-14T16:47:48.000Z,https://t.co/K1gq3T5ziF,David Lazarus,"Los Angeles, CA",true,192,203,91,35,-168,-101
JNJNews,We know that Johnson's Baby Powder does not contain asbestos and never will. We test every single lot to ensure it. Learn more at https://t.co/FxX9e8E4et https://t.co/ousx9nwx0q,2018-12-18T18:29:31.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,38,193,80,117,-76,42
JNJNews,The FDA has tested Johnson’s talc since the ‘70s. Every single time it did not contain asbestos. Learn more at https://t.co/FxX9e8mtmV https://t.co/rhdAxPszQD,2018-12-19T17:29:07.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,57,243,80,102,-141,23
