user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
MansourAD,"للفائدة يا جماعة الخير...
▪️بحسب المنشور، فأن هذا المنتج من شركة «جونسون» يحتوي على مادة الاسبستوس الخطيرة.

▪️المنتج هذا متوفر في الأسواق! 

https://t.co/d4NCmoFoap",2018-12-14T18:47:48.000Z,https://t.co/2MSBMBIu8I,Mansour M. Abdulla,"AD-AA, UAE",true,20,4,1,14,10,-19
TPM_Sports,"Who is one player you wish you owned in dynasty and one you are glad you don't have any shares of? Retweet for more responses.

I wish I owned Kerryon Johnson
I'm glad I don't own any shares of Kareem Hunt

@MyFantasyLeague @ColeWilczek @BfamSports @BroadyDylan @TheBLeagueSays",2019-01-02T03:00:37.000Z,,Tyler Makings,"Kansas City, MO",false,6,6,1,12,6,-5
BBCRadioKent,"It's crunch time for Theresa May - Do we need new leadership to solve the Brexit crisis?

Rumored leadership bids being prepared by Savid Javid, Michael Gove, Boris Johnson, Amber Rudd and Dominic Raab.

Who would you trust to get the job done?

Call Jules on 0800 756 1111 https://t.co/05yMjXUOe0",2018-12-10T08:31:19.000Z,https://t.co/8vgxb6383q,BBC Radio Kent,Kent,true,1,1,0,5,4,-1
se1,"On the day when the possibility of Boris Johnson becoming Prime Minister is being discussed, the #gardenbridge trust's latest accounts have been published by Companies House: 
https://t.co/ivn5SdEJya",2018-12-12T17:04:03.000Z,https://t.co/RCNvkgWccr,London SE1 Community Website,"Southwark and Lambeth, London",false,13,4,1,7,3,-12
f_lialy,"مع التحية إلى @Saudi_FDA  
حول احتواء منتجات البودرة لشركة Johnson &amp; Johnson على مادة الإسبستوس التي هي إحدى المواد المسببة لمرض السرطان، وبمعرفة الشركة بذلك، كما جاء في خبر رويتر، وينتظر الجميع تعليقكم حول ذلك.
https://t.co/gPtchSfmJd  
#بودرة_جونسون",2018-12-15T03:49:50.000Z,https://t.co/QdZF81ttce,ليالي الفرج🇺🇸🇸🇦,Kingdom of Saudi Arabia,false,2,1,0,4,3,-2
TheTodayShow,"In the report, Reuters points out that documents show consulting labs as early as 1957 and 1958 found asbestos in J&amp;J talc. #9Today https://t.co/p02yycPbuU",2018-12-15T06:00:16.000Z,https://t.co/aYkVARierk,The Today Show,Australia,true,1,1,0,4,3,-1
Hotpage_News,Johnson and Johnson shares drop on report that the company knew for decades of #asbestos in its baby powder $JNJ - https://t.co/qrgevWMZu1,2018-12-14T14:49:49.000Z,http://t.co/tBHEZ1PaKD,Hotpage News,United States,false,2,2,2,4,2,0
LADowd,"Saywutnow? 😱 ==&gt;&gt; Johnson &amp; Johnson knew about asbestos in its baby powder for decades, report says  https://t.co/uruIyAuaSY",2018-12-14T17:10:37.000Z,,Leslie ن 🇺🇸☦️,Massachusetts,false,1,1,0,3,2,-1
KDKA,"JUST IN: According to a new report, Johnson &amp; Johnson has known for decades that their baby powder tested positive for asbestos but didn't the FDA or consumers. https://t.co/k4RjQ9U3F4",2018-12-14T17:20:00.000Z,https://t.co/xCpTMUKWMI,KDKA,"Pittsburgh, PA",true,2,1,0,3,2,-2
10News,"Johnson &amp; Johnson says it knew about asbestos in its baby powder, report says https://t.co/xY6V6xVboF",2018-12-14T18:41:00.000Z,https://t.co/HrjegETmQP,ABC 10News San Diego,"San Diego, CA",true,3,1,1,3,2,-2
