user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
JNJNews,"J&amp;J Baby Powder does not contain asbestos. For 100+ years, we’ve known our talc is the purest, safest talc on earth. We’re committed to your safety and stand behind our products. Learn more at https://t.co/FxX9e8mtmV",2018-12-19T22:58:43.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,217,1061,413,816,-245,196
cnnbrk,Johnson &amp; Johnson stock plunges after a report that says the company knew for decades that asbestos was in its baby powder https://t.co/ploJbw5r7r https://t.co/XjOTYHObXC,2018-12-14T18:13:35.000Z,https://t.co/ojQgQKzKzX,CNN Breaking News,Everywhere,true,3386,2828,1460,497,-2331,-1926
CNBCnow,"BREAKING: Johnson &amp; Johnson knew for decades about asbestos in baby powder talc supply, failed to tell the FDA - Reuters, citing documents https://t.co/scS9Xt6U0J",2018-12-14T14:30:41.000Z,https://t.co/xNSucapdhO,CNBC Now,NA,true,4610,3466,1692,350,-3116,-2918
williamsmjw,Big scoop from @lisagirion: Johnson &amp; Johnson knew for decades that asbestos lurked in its Baby Powder https://t.co/D7WnyrBRUd via @SpecialReports,2018-12-14T14:22:31.000Z,http://t.co/l3toa32r2Z,Michael Williams,New York,true,3667,3313,824,349,-2964,-2843
Reuters,"A lab that plaintiffs hired in a lawsuit against Johnson &amp; Johnson found asbestos in Baby Powder from past decades – in bottles from plaintiffs’ cupboards and acquired from eBay, and even a 1978 bottle held in J&amp;J’s corporate museum. @Reuters investigates: https://t.co/AsT8BcwMzl https://t.co/QH7wDGasr3",2018-12-14T14:44:14.000Z,http://t.co/BmHxhkm3Mh,Reuters,Around the world,true,3762,3469,826,272,-3197,-2936
MrKennethClarke,"For what it’s worth, I wouldn’t trust Boris Johnson to negotiate a roundabout let alone a Brexit deal.",2018-12-14T13:41:40.000Z,,Ken Clarke,NA,false,1977,9744,129,213,-9531,-1848
eugenegu,"Johnson &amp; Johnson knew for decades that its talcum baby powder contained asbestos. Rather than do anything about it, they silenced their critics and made millions upon millions in profits while babies’ lungs and genitourinary tracts got filled with cancer causing poison.",2018-12-14T17:08:43.000Z,,"Eugene Gu, MD","New York, USA",true,2885,5551,217,204,-5347,-2668
RubenSanchezTW,Johnson &amp; Johnson se hunde en Bolsa tras conocerse que la compañía sabía de la presencia de amianto en sus polvos de talco desde 1971. Miles de enfermas de cáncer han llevado a la empresa a los tribunales. Ojalá los responsables acaben en la cárcel. https://t.co/EtRKcrLznv,2018-12-14T22:51:17.000Z,https://t.co/Olv3NrTOK5,Rubén Sánchez,"Sevilla, Andalucía, España🔻",true,4833,4412,152,154,-4258,-4681
girlsreallyrule,OMG. Internal documents show that Johnson &amp; Johnson sold baby powder (primarily used on babies and for women's personal hygiene) that it knew was tainted with carcinogenic asbestos FOR DECADES and purposely kept it from regulators and the public. https://t.co/qP5QLmufHW,2018-12-14T16:26:07.000Z,https://t.co/QMHuFsYbks,Amee Vanderpool,"Washington, DC ",false,978,915,91,141,-774,-887
JNJNews,"Johnson’s Baby Powder has the purest, safest pharmaceutical-grade talc on earth. Learn more at https://t.co/FxX9e8mtmV https://t.co/S9F7D8WAjo",2018-12-19T17:29:47.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,34,138,112,138,0,78
