user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
carlzimmer,MIT Media Lab founder: I would take Jeffrey Epstein’s money today https://t.co/gkRW1n9P01,2019-09-05T02:16:13.000Z,,Carl Zimmer,Connecticut,true,8,13,16,7,-6,8
glichfield,"Update to our story on @nnegroponte's remarks y'day. He's clarified: he would *not* take Epstein's money today, knowing he was an alleged sex trafficker. He *would* still take it knowing only what he knew then, that Epstein was a convicted sex offender. https://t.co/gjLAdQhuzm",2019-09-05T18:55:43.000Z,https://t.co/cCibMSMVBu,Gideon Lichfield,NA,true,46,91,54,23,-68,8
docfreeride,MIT Media Lab founder: I would take Jeffrey Epstein’s money today - via @techreview https://t.co/WEykrklClC,2019-09-05T04:07:03.000Z,https://t.co/zYBurtMMOJ,"Dr. Janet D. Stemwedel, PhD 🏳️‍🌈",San Francisco Bay Area,true,6,10,8,6,-4,2
zerdeve,"Instead of the acerbic, snarky comment I was about to make wrt other colleagues who I presume would take his money, I'll just be pithy and say: WTF! https://t.co/k7NNUHpRtB",2019-09-05T04:11:37.000Z,,Berna Devezer,NA,false,1,12,3,3,-9,2
Spanopeleni,"EPSTEIN case:
Joi Ito,the director of the M.I.T. Media Lab,resigned from his position
R.Reif,the president of M.I.T.,wrote:
Because the accusations in the story are extremely serious, they demand an immediate investigation
Ακριβώς οτι ΔΕΝ ΕΚΑΝΕ η ΝΔ με το παιδόφιλο στέλεχος της! https://t.co/bisEuPVH1t",2019-09-08T05:50:05.000Z,https://t.co/Mi59GKYuFq,Spanopoulou Eleni,Greece,false,1,8,3,2,-6,2
xeni,"Neri Oxman of recent mention in Jeffrey Epstein Joi Ito MIT Media Lab “orb” story. Look, an award.  https://t.co/6ro74HQLpL",2019-10-08T18:07:48.000Z,https://t.co/oPUS6E3o6l,Xeni,👁📝,true,2,17,4,4,-13,2
thetech,NEWS | Media Lab Director Joi Ito released an apology for receiving funds from Jeffrey Epstein. https://t.co/9J5rOqHg8O,2019-08-15T19:05:01.000Z,https://t.co/i8FGQB17gN,The Tech,"Cambridge, MA",true,1,3,2,0,-3,1
BostonGlobe,MIT Media Lab chief apologizes for Epstein ties https://t.co/liQz5XERdK,2019-08-16T05:01:31.000Z,https://t.co/6S0BAXe9dO,The Boston Globe,"Boston, MA",true,2,4,3,0,-4,1
landay,MIT Media Lab head apologizes for ties to Jeffrey Epstein https://t.co/U2GQu6zWMP,2019-08-21T02:20:14.000Z,,Dr. James Landay,"iPhone: 9.552756,100.069801",false,1,3,2,0,-3,1
stephaniemlee,“Then Negroponte doubled down.” https://t.co/ogtgyyGWcG via @chengela https://t.co/dBa7JWH1x0,2019-09-05T02:03:31.000Z,https://t.co/G5wTIiUozJ,Stephanie M. Lee,San Francisco,true,2,10,3,2,-8,1
amikegreen2,MIT Media Lab founder: Taking Jeffrey Epstein’s money was justified - MIT Technology Review https://t.co/Zp3HFGPKjl,2019-09-05T06:07:11.000Z,https://t.co/WBSRbfC4rB,Mike Green,"Central Point, Oregon",false,1,1,2,0,-1,1
techreview,NEW: A co-founder of MIT Media Lab said he would still take Jeffrey Epstein’s money today. https://t.co/mHqvYahIej,2019-09-05T10:39:26.000Z,https://t.co/AAlKsZdZ4u,MIT Technology Review,"Cambridge, MA",true,2,10,3,1,-9,1
uptownyumiko,MIT Media Lab founder: Taking Jeffrey Epstein’s money was justified - via @techreview https://t.co/kqJU3i9AYf,2019-09-05T14:30:03.000Z,https://t.co/MwEj2wESY4,Dr. Yumiko Murai,"Vancouver, British Columbia",false,1,3,2,0,-3,1
counternotions,"""The afternoon started off with a collective breathing exercise"" and continued with the co-founder of the MIT Media Lab Nicholas Negroponte emphatically repeating he'd take sex trafficker Jeffrey Epstein's money again…today. 

(Keeps on ticking…)

https://t.co/nx6hC9Kto9",2019-09-05T14:45:00.000Z,http://t.co/RFBqYhXjEr,Kontra,NYC,false,1,3,2,1,-2,1
techreview,A co-founder of MIT Media Lab said that taking Jeffrey Epstein’s money was justified because these types of occurrences were not out of the ordinary in the fund-raising world. https://t.co/0mDeWie6aK,2019-09-06T11:54:14.000Z,https://t.co/AAlKsZdZ4u,MIT Technology Review,"Cambridge, MA",true,4,7,5,0,-7,1
nprscottsimon,"Ahead: what a segment: @RonanFarrow on the relationship between Jeffrey Epstein and @MIT Media Lab. And @MargaretAtwood on her sequel to her epochal bestseller, after more than thirty years. At last—a sequel not from Disney!",2019-09-07T13:20:11.000Z,https://t.co/GH0TvEDJVX,Scott Simon,"Washington, DC",true,3,43,4,2,-41,1
felixbot,Jeffrey Epstein's circles of complicity https://t.co/Zx9qD9VnEc,2019-09-07T19:50:24.000Z,http://t.co/TAWPOM1c6Y,Felix's Robot,"New York, NY",false,1,7,2,0,-7,1
