user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
sportingnews,"The cheapest ticket for UNC vs. Duke is $2,990.

The reason? Zion Williamson. 

The freshman sensation has set the online ticket resale market on fire: https://t.co/mtLhgaqUK4 https://t.co/EopAq7D5lS",2019-02-19T15:16:01.000Z,https://t.co/8z07tnktOn,𝐓𝐡𝐞 𝐒𝐩𝐨𝐫𝐭𝐢𝐧𝐠 𝐍𝐞𝐰𝐬,United States,true,2085,5722,4334,664,-5058,2249
DukeMBB,UPDATE: Zion Williamson will not return. Knee.,2019-02-21T02:35:04.000Z,,Duke Men’s Basketball,Cameron Indoor,true,3351,9149,4231,896,-8253,880
nytopinion,"Zion Williamson's knee injury notwithstanding, paying students to play would ruin college sports https://t.co/3AiCNpOrqp",2019-02-25T20:56:31.000Z,https://t.co/oy7Q8cSQqk,New York Times Opinion,"NYC, London, Paris, Hong Kong",true,31,127,449,452,325,418
GetUpESPN,.@JalenRose can't see Zion Williamson as an MVP-caliber player in the NBA. https://t.co/ntqdLKFhV8,2019-02-06T14:50:31.000Z,https://t.co/W3G7Gkcg7M,Get Up,"New York, NY",true,509,3555,744,611,-2944,235
ESPNNBA,.@ScottiePippen tells @Rachel__Nichols that Zion is an even better prospect than LeBron was. https://t.co/3ahcwKyIzb,2019-02-02T01:21:18.000Z,https://t.co/4FNCeu2Z1a,NBA on ESPN,ESPN,true,379,1762,566,277,-1485,187
SportsCenter,A lot could be on the line for Zion if he falls in the draft. https://t.co/dQZ2SsIwQw,2019-02-22T15:10:10.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,500,3669,662,411,-3258,162
darrenrovell,"It’s not a material loss to Nike’s business, but I wouldn’t be completely surprised if Nike’s stock, on no other news, didn’t do a little dip tomorrow morning from this prominent event.",2019-02-21T02:40:27.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,168,1191,320,380,-811,152
NBCSports,Nike ‘working to identify issue’ that caused Zion Williamson’s shoe to blow out https://t.co/6LTBnm3qQ6 https://t.co/zMawSZttc9,2019-02-21T19:00:14.000Z,https://t.co/AdLpZD8nGi,NBC Sports,NA,true,22,112,167,27,-85,145
espn,Zion is expected to be the No. 1 pick 🤔 https://t.co/SUUJD9W7Nz,2019-02-21T13:59:03.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,337,3970,466,737,-3233,129
BenStinar,"How good will Zion Williamson be? 

Scale of 1-10. 1 being Anthony Bennett, and 10 being LeBron James.",2019-02-09T19:29:13.000Z,https://t.co/Yg1UX9L1Gr,Ben Stinar,"Atlanta, GA",true,16,378,136,209,-169,120
DevInTheLab,"If you were Zion, would you play another college game?",2019-02-22T19:30:25.000Z,https://t.co/LhSadzADo6,IN THE LAB,United States,false,3,223,88,93,-130,85
PeteThamel,"Zion can dunk, but he can't shoot. Zion is dynamic but lacks a position. Zion makes spectacular plays but is a poor passer. Story on the paradox of Zion the sensation vs. Zion the NBA prospect. https://t.co/PgK8kUrqcw https://t.co/wCMZq8C2cH",2019-02-06T20:52:24.000Z,https://t.co/9YmP4FE9CG,Pete Thamel,Boston MA,true,9,73,80,72,-1,71
GaryParrishCBS,"If Trae Young thinks Zion Williamson should shut it down, I wonder why Trae Young didn’t also think Trae Young should shut it down when he, like Zion, got off to a great start, established himself as the Player of the Year favorite and solidified his status as a top-five pick?",2019-02-21T19:07:09.000Z,https://t.co/WDRf73Nq0z,Gary Parrish,Memphis,true,99,1240,168,243,-997,69
Ramina1690,"if Bulls get Zion, can he wear #1? https://t.co/gCXxO67tdD",2019-01-24T23:54:32.000Z,,raMEANa.,Chicago,false,27,203,84,66,-137,57
RobDauster,"The Naismith committee released their candidates for Defensive Player of the Year, and while they included Zion, they did not include Tre Jones - or Charles Matthews, for that matter. They are, for my money, the best defenders at their position in college hoops. Big miss. https://t.co/d6FlVFPmv8",2019-01-22T16:18:38.000Z,https://t.co/fU3vfiU6dK,Rob Dauster,NA,true,29,134,84,44,-90,55
mafitch5,"based on your star sign, this is your prettymuch soulmate.

aries - edwin
taurus - brandon
gemini - zion
cancer - brandon
leo - austin
virgo -  edwin
libra -   brandon
scorpio - no one
sagittarius - nick
capricorn - nick 
aquarius - zion
pisces-austin",2019-01-31T05:56:10.000Z,,yeah,NA,false,41,445,95,80,-365,54
Krisplashed,The team that drafts Zion Williamson plays him at what position?,2019-01-19T23:32:32.000Z,https://t.co/xd4dXLY8Wo,Kristian Winfield #NFTAllStar,Barclays Center,true,2,66,53,59,-7,51
MeekPhill_,“Zion Williamson can’t dunk” https://t.co/cCMoOxl4fT,2019-02-17T00:06:31.000Z,https://t.co/zoHFaIY5rH,Phill 🥶,"Queens, NY",false,15,255,58,10,-245,43
RealSkipBayless,"Right now I'm a little more sold on 5-9 Kyler becoming a star NFL QB than I am on 6-6 Zion dominating the NBA. Both are uniquely gifted athletes. I just need to see more of Zion, at Carolina then in the NCAA's, especially the Final Four. I've seen enough of Kyler to know.",2019-02-20T04:12:55.000Z,,Skip Bayless,Los Angeles,true,136,1747,179,276,-1471,43
KeyJayandMax,"Zion left in the first 36 seconds of last nights game. 

What is the most you could accomplish in 36 seconds? https://t.co/dM7zaMZ9bJ",2019-02-21T11:36:21.000Z,https://t.co/z0BBG2DmW4,"Keyshawn, JWill & Max","New York, NY",true,15,212,56,306,94,41
Deadspin,Zion Williamson wrecked his shoe and also maybe his leg: https://t.co/2AZSAtIE0i https://t.co/sMYJ9POcaf,2019-02-21T02:26:54.000Z,http://t.co/mhAF2P6Jmb,Deadspin,NA,true,108,307,147,60,-247,39
JeffEisenband,What is the argument for Zion Williamson playing another college basketball game?,2019-02-21T02:47:47.000Z,https://t.co/LeJNO49f9c,Jeff Eisenband,"New York, NY",true,136,735,175,249,-486,39
BenStinar,Let’s be real... You get to choose between Luka Doncic or Zion Williamson. Who you got?,2019-02-10T01:14:21.000Z,https://t.co/Yg1UX9L1Gr,Ben Stinar,"Atlanta, GA",true,4,97,42,62,-35,38
cartierll,"based on your sign, this is which prettymuch members you’ll meet in 2019.

aries- edwin
taurus- brandon &amp; austin
gemini- all
cancer- brandon
leo- zick
virgo- nedwin
libra- nick &amp; austin
scorpio- simon
sagittarius- nick
capricorn- zion 
aquarius- austin
pisces- bredwin",2019-02-01T19:28:09.000Z,,l,NA,false,13,198,48,25,-173,35
TheKnicksWall,Does Zion’s top 3 rappers make you want him more or less? https://t.co/gkJNF5lZN2,2019-01-23T16:03:44.000Z,https://t.co/YH3GC0qYiQ,The Knicks Wall,"New York, NY",false,21,201,54,33,-168,33
UpdateDuke,"If you could add one Duke player from the last 4 years to complete the small ball lineup of Zion, Cam, RJ, Tre &amp; ______. Who would it be? 

Mine would be Quinn Cook. He will slide right into that two spot he played along side tyus and adds much needed consistent shooting from 3.",2019-02-18T14:13:56.000Z,,Duke Update,"Durham, NC",false,5,58,34,55,-3,29
SJUBarstool,Zion clearly didn’t want the smoke from Mustapha https://t.co/kDdM0pd2O5,2019-02-05T04:20:29.000Z,https://t.co/7kbQuwNHcA,Barstool St. John’s,"Queens, NY",true,31,337,59,40,-297,28
espn,".@JalenRose has Zion as an elite prospect, but not as an MVP-caliber talent. 

(via @GetUpESPN) https://t.co/NiwaAW41FY",2019-02-06T17:03:04.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,226,1771,253,251,-1520,27
RandleRant,"In terms of NBA potential? 

PJ Washington &gt; Zion Williamson 

And it’s really not close",2019-02-17T01:49:38.000Z,https://t.co/pjph1mSHGX,Mike Randle,A Hoop Near You,false,32,149,57,39,-110,25
knicktatorship,"Does Tim Hardaway, Kevin Knox and Frank Ntilikina and a 2020 1st rounder get Anthony Davis? 

Still can draft Zion or Morant...
Possibly sign KD, keep Porzingis. 

#Knicks",2019-01-28T16:31:05.000Z,https://t.co/X1aTSuVfVX,The Knicktator™️,United States,false,22,107,45,75,-32,23
mellentuck,"you have one pick to rebuild your mess of a franchise

are you taking:
- ben simmons
- luka doncic
or
- zion williamson

explain...",2019-02-10T01:00:01.000Z,,Matt Ellentuck,"Washington, DC",true,8,96,30,52,-44,22
byDavidGardner,Who's the most recent No. 1 pick you'd rather have than Zion Williamson for your team?,2019-01-20T00:37:40.000Z,https://t.co/U4Chc3mjgp,David Gardner,"New York, NY",true,2,7,23,31,24,21
Mike_Schmitz,Slow-motion look at Zion Williamson’s shooting mechanics from NBA 3. https://t.co/yraG7jtsJU,2019-02-21T01:48:00.000Z,https://t.co/XK1cVffr01,Mike Schmitz,"Los Angeles, CA",true,135,1233,156,87,-1146,21
KicksDeals,"⛳️ The NEW gum-soled Nike Air Max 1 Golf NRG ""Grass"" release will be available at 10 am ET for $140 + FREE shipping with Nike+

BUY HERE -&gt; https://t.co/fDB8N95OE5 https://t.co/BlttUgnFeG",2019-01-31T14:44:19.000Z,https://t.co/HWkyTCy9AY,Kicks Deals,World Wide,true,7,57,27,9,-48,20
JohnnyGun_,Zion at 18 is better than Bron at 18. Y’all are crazy if you think otherwise,2019-02-23T09:18:57.000Z,,Johnny Washington,"Rochester, NY",false,2,13,22,6,-7,20
KicksUnderCost,"Golf Fans get ready this morning: ""Fairway"" Air Max 1 Golf shoe drops at 10am

Click here to order -&gt; https://t.co/TSRCWNsHEa ad https://t.co/SGKJwaR5w1",2019-01-31T14:29:47.000Z,https://t.co/VWe5S8OHpo,Kicks Under Cost ⤵️,Bookmark Our Site-,false,8,27,27,5,-22,19
CBSSportsCBB,"Scottie Pippen thinks Duke's Zion Williamson should shut it down and prepare for the NBA draft

https://t.co/xg1nJlTzIE",2019-01-16T22:35:32.000Z,https://t.co/4xEDSLcKrE,CBS Sports CBB,Bracketville.,true,20,64,37,19,-45,17
PlayoffDWade,"I'd rather have Zion Williamson than Anthony Davis, definitely wouldn't trade the #1 pick in the draft for him.",2019-02-07T00:47:05.000Z,,͏wade,The Trenches,false,27,226,44,49,-177,17
DavidChasanov,"IMAGINE THIS: The #Bulls get the No. 1 pick in the 2019 NBA Draft, and they don’t select Zion Williamson. 

How would you react?",2019-02-13T04:27:01.000Z,https://t.co/PSugTuFZRE,David Chasanov,"Springfield, MO",true,3,87,20,24,-63,17
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/jBbL2aB88s https://t.co/CofAuEbL2k",2019-01-30T15:13:06.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,11,15,27,43,28,16
YahooSports,Is Zion an MVP caliber player? @JalenRose doesn't think so 👀 https://t.co/ktPt9ubX24,2019-02-06T17:54:51.000Z,https://t.co/DboSfxX8dT,Yahoo Sports,NA,true,11,78,27,36,-42,16
FirstTake,Is Zion the greatest show in sports today?,2019-02-20T13:12:42.000Z,https://t.co/BER9OLgAWZ,First Take,"New York, NY",true,23,94,39,135,41,16
PrizePicks,"We talked big so it's time to put our money with our mouth is!

Zion Williamson is a free play for 15 minutes! You have until 4:15 to take advantage of this offer. Good luck! https://t.co/4cPGuH1wtN",2019-02-20T21:00:47.000Z,https://t.co/aAt1wuwtjW,PrizePicks,"Atlanta, GA",true,7,18,23,12,-6,16
JoshEberley,Ben Golliver said on Open Floor that a coach told him he’d rather have Zion right now over Luka. . .,2019-02-24T20:50:21.000Z,,Josh Eberley 🇨🇦,"Calgary, Alberta",true,7,60,22,18,-42,15
langstonwertzjr,"Should Duke star Zion Williamson 'shut it down' and stop playing college basketball immediately? At least one NBA Hall of Famer thinks so

https://t.co/8BBNXgufsi",2019-01-16T02:19:12.000Z,https://t.co/bhKUoHBTjE,Langston Wertz Jr.,"Charlotte, NC",true,12,23,26,12,-11,14
Tjonesonthenba,What if the Atlanta hawks get Zion to go with all of their current young talent?,2019-01-16T02:44:28.000Z,,Tony Jones,Salt Lake City Utah,true,6,89,20,28,-61,14
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/dTV1ZuLqWx https://t.co/fCrRL6jXdl",2019-01-30T03:13:04.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,18,20,32,67,47,14
ForbesSports,The Zion effect: Ticket demand for Duke games has soared https://t.co/k8t1k458tz https://t.co/ObJB7LFzv5,2019-02-09T23:15:00.000Z,https://t.co/ZioKeu42Oh,Forbes SportsMoney,NA,true,7,10,20,2,-8,13
wingoz,"Zion Williamson is the best NBA prospect since...?

https://t.co/38gA5I3Npf",2019-02-20T14:03:06.000Z,https://t.co/Xy7GXmXMB6,trey wingo,"Connecticut, USA",true,7,108,20,180,72,13
darrenrovell,"POLL: If you are Zion Williamson or his parents, do you now advise him to sit out the rest of the season to avoid injury and get ready for the NBA Draft?",2019-02-21T11:57:23.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,9,19,22,77,58,13
scammydanny,"based on your birth month this is your prettymuch soulmate.

jan: brandon
feb: edwin
mar: nick
apr: austin 
may: zion
jun: nick
jul: edwin
aug: brandon
sep: zion
oct: austin
nov: nick
dec: edwin",2019-01-31T21:26:44.000Z,,tåłęāh,love you corey💙,false,9,101,21,26,-75,12
BIGPLAYReflog,"“Would you rather land Zion Williamson in the draft, or lock up Francisco Lindor to a 10 year deal?” 🤔

https://t.co/BFDQ7Ubr2f",2019-02-13T14:00:00.000Z,https://t.co/KfDmyG4DMm,BIGPLAY REFLOG SHOW,"Cleveland, OH",false,18,158,30,101,-57,12
ConfleiCon7UP,"Unpopular opinion:

El verdadero dúo de la historia es Zion y Lennox.

Vengan de a 5.",2019-02-15T01:50:34.000Z,,Luis,NA,false,4,10,16,1,-9,12
tankathon,"Official All-Star break single simulation for the week.

Orlando adds Zion to their crowded front line. Dallas jumps up to keep their pick. https://t.co/PJAFqPbejc",2019-02-15T15:09:13.000Z,https://t.co/apCA6psaE5,Tankathon.com,Chicago,false,16,113,28,32,-81,12
SBN_Ricky,Should Zion Williamson sit out for Duke to save himself for the NBA draft? I have some thoughts https://t.co/EPbtL55WnI,2019-01-17T15:49:23.000Z,https://t.co/UIi8NMM3fJ,Ricky O'Donnell,"Chicago, IL",true,5,27,16,7,-20,11
totally_t_bomb,Zion Williamson might be the best college basketball player ever.,2019-01-20T00:45:36.000Z,https://t.co/m2hB6PJH48,Bart T🏀rvik,Thunderdome,false,26,315,37,50,-265,11
darrenrovell,Paul Pierce said that he thought Duke could beat the Cavs. The @SuperBookUSA’s @JayKornegay said he would make the Cavs a 22.5 point favorite if they played https://t.co/bjv9X1lF7f,2019-01-22T21:43:47.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,21,121,32,30,-91,11
BGN_5,"Potential Bulls starting 5 next season:

1. Kris Dunn 
2 Zach LaVine 
3. Zion Williamson 
4. Lauri Markkanen 
5. Anthony Davis 

👀👀👀",2019-01-29T02:18:45.000Z,,BGN,NA,false,3,27,14,26,-1,11
NBCNews,"Nike has come under fire for the design of its Air Max shoe, with some calling it insulting to the Islamic faith. - @TODAYShow https://t.co/alclWK5Aku",2019-01-30T06:07:04.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,57,96,68,401,305,11
randyjcruz,"KD. Kyrie. Zion. Smith Jr. DeAndre. 

Knicks starting 5 next season.",2019-01-31T21:40:02.000Z,,Randy Cruz,"Manhattan, NY",false,12,40,23,16,-24,11
PoppaCurc,"In my opinion, Zion Williamson should stay at Duke at least another year. He ain’t ready for the NBA. It’s just a different level of competition and he needs to work on his shot. It’s not going to be a dunk contest.",2019-02-02T22:52:59.000Z,,AC,California,false,1,1,12,9,8,11
RealGM,Scottie Pippen: Zion Williamson Best NBA Prospect Since Jordan https://t.co/tIN4PMsR7c,2019-02-03T19:03:29.000Z,http://t.co/xtEhWJWhzk,RealGM,NA,true,22,67,33,27,-40,11
365Knicks,"What if the New York Knicks slide to No. 4 in the 2019 NBA Draft and Zion Williamson, Ja Morant, and R.J. Barrett are all off the board?

Who are some of the players you'd like to see the Knicks consider?",2019-02-13T00:10:41.000Z,https://t.co/0lgAX8MhrD,365 Knicks,New York,false,5,27,16,42,15,11
TheCrossover,"Zion Williamson sweepstakes: Which lottery team do you want to land Duke star?
https://t.co/fIDN8meFsp https://t.co/sYKuYUcHKL",2019-02-20T17:45:06.000Z,https://t.co/S8eVLYy7OL,The Crossover,New York City,true,2,8,13,12,4,11
MedcalfByESPN,"That's a dominant victory for North Carolina, which probably wins this game even if Zion is available. They were the better team.",2019-02-21T04:10:22.000Z,,Myron Medcalf,"Minnesota, USA",true,24,158,35,48,-110,11
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/zkIeCFZeYl https://t.co/xAX8fcWo5t",2019-01-30T14:22:02.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,4,11,14,28,17,10
ESPNCleveland,"If you had a choice between getting Zion Williamson number one in the draft or LeBron James back in Cleveland for the rest of his career, what would you take?",2019-02-13T14:14:11.000Z,https://t.co/wUQ64rxcnL,ESPN Cleveland,"Cleveland, Ohio",false,10,31,20,52,21,10
UPROXXSports,Nike is trying to 'identify the issue' that caused Zion Williamson's shoe to explode https://t.co/AF7oXo7Cip https://t.co/5Zk7BF9GBN,2019-02-21T17:23:02.000Z,https://t.co/22dzT0avcx,UPROXX Sports,NA,true,2,3,12,4,1,10
ZachMilner13,"1) If you could add 3 inches to any non-lottery prospect, who would it be?
2) Is there anyone that passes Zion if they were to have 3 more inches?",2019-02-25T00:34:51.000Z,https://t.co/yK1UvSkAvF,Zach Milner,"Los Angeles, CA",false,4,11,14,28,17,10
GOLF_com,Nike has a new golf-themed shoe that's sure to turn some heads. https://t.co/3pYZPlWIbA https://t.co/3CmTsASWgZ,2019-01-14T14:00:27.000Z,https://t.co/ECPJIqCCY3,GOLF.com,New York City,true,11,32,20,11,-21,9
JimMWeber,Think Marek Dolezaj is feeling this charge from Zion Williamson today? 🤔 #OOF https://t.co/VjIzU8br3U,2019-01-15T14:12:52.000Z,,Jim Weber,Michigan,false,3,32,12,4,-28,9
DimeUPROXX,Scottie Pippen wants Zion Williamson to end his college career and focus on the NBA Draft https://t.co/4VKkleSNz7 https://t.co/5bXuJYzI2n,2019-01-16T21:50:03.000Z,https://t.co/WOtnmZA44R,Dime,Basketball,true,2,13,11,1,-12,9
SBNationNBA,Who's worth more: Zion or Anthony Davis? https://t.co/VMm20MN2rv,2019-01-30T19:22:16.000Z,https://t.co/rNW5YGRGRB,SB Nation NBA,NA,true,1,7,10,4,-3,9
KnicksCentral,"PG: Kyrie
SG: Durant
SF: Knox
PF: Zion
C: Deandre Jordan

Bench:
Smith jr
Ntilikina
Trier
Dotson
Vonleh
Robinson

10 wins to 65 wins in one year for the #Knicks

#dream (even though this isn’t happening)",2019-02-01T03:30:18.000Z,https://t.co/uDy2ruT9md,Alex B.,"New York, NY via LI",false,46,100,55,26,-74,9
stayburgos,"who was ur first prettymuch lane and who is it now? 
mine was nick and now it’s zion but nick is my cheat lane",2019-02-01T17:43:41.000Z,,𝘢𝘫𝘭𝘢 (𝘦𝘺𝘦-𝘭𝘶𝘩 ),🏁esg ♡b ,false,2,76,11,55,-21,9
MedcalfByESPN,Zion will sell more jerseys and shoes than any player in the NBA next season.,2019-02-02T18:13:51.000Z,,Myron Medcalf,"Minnesota, USA",true,3,38,12,4,-34,9
andrewperloff,"The crew is off this week for @dpshow, but I have a poll question: would you rather have your team sign Bryce Harper or draft Zion Williamson?",2019-02-11T14:42:36.000Z,,Andrew Perloff,NA,true,5,108,14,225,117,9
gamaka,Jordan Nwora battles Zion Williamson for the ball. @howielindsey @gamaka @UofLWBB @GoCards #L1C4 #gocards https://t.co/pSegrRCYFs,2019-02-13T03:05:17.000Z,,Gail Kamenish,"Louisville, Ky.",false,28,153,37,16,-137,9
dukebasketball,"UPDATE: Zion Williamson will not return to the game. 
https://t.co/Kdb8yPBOot",2019-02-21T02:42:07.000Z,https://t.co/SoKM5RL1dB,Duke Basketball,"Durham, NC",true,22,65,31,7,-58,9
JesseGladsaget,Is Zion the most physically imposing college player since Shaq?,2019-01-19T23:35:58.000Z,https://t.co/IPLXrDSQh8,Particle Man,"Texas, USA",false,3,14,11,6,-8,8
SBN_Ricky,Who's the NBA executive who said he prefers R.J. Barrett to Zion? Tell me it's Gar Forman. https://t.co/chKKJXbYGS https://t.co/SyElhBQjaA,2019-02-06T00:47:41.000Z,https://t.co/UIi8NMM3fJ,Ricky O'Donnell,"Chicago, IL",true,14,131,22,18,-113,8
livebsktbr,"Lesão no joelho do Zion Williamson!

Não retorna!",2019-02-21T02:36:05.000Z,https://t.co/xTzcOJUJt4,Live Basketball BR 🏀🇧🇷,Brasil,false,4,71,12,9,-62,8
JMacSC,"I'd really like the media who are telling Zion Williamson to stop playing for free to go around campuses and tell all literature majors to stop writing for free. You aren't getting paid to do what you're doing. Leave school, get a publisher. You're wasting your good stuff.",2019-02-21T21:27:58.000Z,,Jason McCallum,"Bristol, CT",false,1,3,9,4,1,8
TheShoeGame,"Grass Air Max 1 for the golfers 

https://t.co/oy4JsEPAxB https://t.co/ehACl8vBwF",2019-01-14T19:44:49.000Z,https://t.co/bfOOE8oube,TheShoeGame.com,"Atlanta, GA",false,1,14,8,4,-10,7
