user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
atmos_usa,"Giveaway! Win the Off White x Nike Air Max 90! 
-
1. RETWEET
2. Follow @ubiqlife
3. Reply your US shoe size and color! 
-
Disclaimer: The winner will be chosen on [2/11] and contacted via direct message. https://t.co/lMUxm7i4P5",2019-02-07T14:00:20.000Z,https://t.co/KM46LqPJXT,atmos USA,NA,true,6091,2640,621,7213,4573,-5470
nytopinion,"Zion Williamson's knee injury notwithstanding, paying students to play would ruin college sports https://t.co/3AiCNpOrqp",2019-02-25T20:56:31.000Z,https://t.co/oy7Q8cSQqk,New York Times Opinion,"NYC, London, Paris, Hong Kong",true,31,127,449,452,325,418
NBCNews,"Nike has come under fire for the design of its Air Max shoe, with some calling it insulting to the Islamic faith. - @TODAYShow https://t.co/alclWK5Aku",2019-01-30T06:07:04.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,57,96,68,401,305,11
andrewperloff,"The crew is off this week for @dpshow, but I have a poll question: would you rather have your team sign Bryce Harper or draft Zion Williamson?",2019-02-11T14:42:36.000Z,,Andrew Perloff,NA,true,5,108,14,225,117,9
theblaze,Muslims are outraged this 'blasphemous' design on a Nike shoe — and they want it taken off shelves https://t.co/Bns024jXzN,2019-01-30T01:56:29.000Z,https://t.co/fzW2udWeEx,TheBlaze,"Dallas, TX",true,46,87,51,195,108,5
ClayTravis,If you were Zion Williamson’s parents would you advise him to sit out the rest of the college basketball season after his knee injury last night?,2019-02-21T13:29:46.000Z,https://t.co/5cIt9LNswn,Clay Travis,Nashville,true,15,32,13,135,103,-2
KeyJayandMax,"Zion left in the first 36 seconds of last nights game. 

What is the most you could accomplish in 36 seconds? https://t.co/dM7zaMZ9bJ",2019-02-21T11:36:21.000Z,https://t.co/z0BBG2DmW4,"Keyshawn, JWill & Max","New York, NY",true,15,212,56,306,94,41
SportsDirectUK,Where are you running today? 👣Tap to shop the @nike Legend React men’s running shoe features a breathable upper and responsive foam to cushion every step you run. 🏃🏽‍♀️ SHOP HERE &gt;&gt; https://t.co/NObltINO79 https://t.co/3oqEcniAj2,2019-02-05T16:12:16.000Z,https://t.co/JVvlzIR4fD,Sports Direct,United Kingdom,true,3,5,1,95,90,-2
dpshow,Where do you WANT Zion Williamson to end up?,2019-02-19T22:43:01.000Z,https://t.co/1ypu7g0mi6,Dan Patrick Show,"Milford, CT",true,7,23,12,102,79,5
BreitbartNews,https://t.co/XLY0DmH3qz,2019-01-31T02:14:37.000Z,http://t.co/2sVbt3n6lO,Breitbart News,NA,true,17,33,14,109,76,-3
wingoz,"Zion Williamson is the best NBA prospect since...?

https://t.co/38gA5I3Npf",2019-02-20T14:03:06.000Z,https://t.co/Xy7GXmXMB6,trey wingo,"Connecticut, USA",true,7,108,20,180,72,13
sidrosenberg,Some of you won’t like this question but if a white player went down with an injury at the UNC/Duke game yesterday would President Obama tweet a “speedy recovery” like he did for Zion last night?,2019-02-21T20:51:26.000Z,,Sid Rosenberg,"New York, NY",false,6,25,9,95,70,3
BreitbartNews,https://t.co/aMny9KkE9I,2019-02-01T00:09:30.000Z,http://t.co/2sVbt3n6lO,Breitbart News,NA,true,15,23,13,85,62,-2
darrenrovell,"POLL: If you are Zion Williamson or his parents, do you now advise him to sit out the rest of the season to avoid injury and get ready for the NBA Draft?",2019-02-21T11:57:23.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,9,19,22,77,58,13
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/dTV1ZuLqWx https://t.co/fCrRL6jXdl",2019-01-30T03:13:04.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,18,20,32,67,47,14
DailyCaller,"Thousands Rage Over Nike Shoe With Allah-Like Logo, Claim It’s Offensive To Muslims https://t.co/w9a5VSiIpe https://t.co/2AXjiRadm6",2019-01-30T02:39:56.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,8,9,4,52,43,-4
FirstTake,Is Zion the greatest show in sports today?,2019-02-20T13:12:42.000Z,https://t.co/BER9OLgAWZ,First Take,"New York, NY",true,23,94,39,135,41,16
ScottKaplan,".@sidrosenberg asks @SidedDebates 

If a white player went down with an injury at the UNC/Duke game yesterday would President Obama tweet a “speedy recovery” like he did for Zion last night? 

https://t.co/E4k24XZ0vL

Sid will be @ScottandBR @Mighty1090 5pm",2019-02-22T00:49:08.000Z,https://t.co/ZMBCodpPyp,Scott Kaplan,Southern California ,true,2,10,0,50,40,-2
ESPNCleveland,"Survey Wednesday: Who will win the AFC North in 2019? On a scale of 1-10, rank your interest in the Ohio State basketball team? LeBron for the rest of his career or Zion in the draft? Predict the next BIG piece of Cleveland sports news?",2019-02-13T15:46:48.000Z,https://t.co/wUQ64rxcnL,ESPN Cleveland,"Cleveland, Ohio",false,2,21,4,57,36,2
newscomauHQ,‘Outrageous and appalling of Nike to allow the name of God on a shoe.’ https://t.co/a1pWKY89iV,2019-02-01T02:24:59.000Z,https://t.co/2imUDGKnpC,news.com.au,Australia,true,1,7,6,40,33,5
PrizePicks,"Contest time!

1) Retweet
2) Follow
2) Tag a friend
3) Reply with who has more blocks: Zion Williamson or UNC as a team?

1 entry into contest per user. Winner announced 2/21 and awarded $100 promo. 1 win per user per month. Standard rules apply. Contest closes at tip off. https://t.co/uNMcPMtzJC",2019-02-20T22:00:43.000Z,https://t.co/aAt1wuwtjW,PrizePicks,"Atlanta, GA",true,47,16,10,46,30,-37
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/jBbL2aB88s https://t.co/CofAuEbL2k",2019-01-30T15:13:06.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,11,15,27,43,28,16
nypost,Nike Air Max shoe logo sparks outrage for Allah-like design https://t.co/ENI9hjZjDV https://t.co/aWURuTqLuf,2019-01-30T19:33:58.000Z,https://t.co/MwyanWdKnl,New York Post,"New York, NY",true,15,9,8,37,28,-7
SethDavisHoops,Love Coach K not calling the time out. Zion gets fouled headed to the line down 1.,2019-01-15T02:05:27.000Z,,Seth Davis,By the beach,true,2,30,6,56,26,4
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/OXknTrPYXD https://t.co/jzpuOqDraq",2019-01-30T04:55:06.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,8,9,6,34,25,-2
Thomas1774Paine,"Thousands Rage Over Nike Shoe With Allah-Like Logo, Claim It’s Offensive To Muslims https://t.co/F48jXkEYE1",2019-01-31T20:01:22.000Z,,Thomas Paine,Muckraker Thomas Paine Podcast,false,6,10,11,35,25,5
byDavidGardner,Who's the most recent No. 1 pick you'd rather have than Zion Williamson for your team?,2019-01-20T00:37:40.000Z,https://t.co/U4Chc3mjgp,David Gardner,"New York, NY",true,2,7,23,31,24,21
