user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
BarackObama,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.,2019-02-21T04:41:44.000Z,https://t.co/kHvnxozw8x,Barack Obama,"Washington, DC",true,28172,282699,1914,3506,-279193,-26258
spidadmitchell,Again let’s remember all the money that went into this game.... and these players get none of it.... and now Zion gets hurt... something has to change @NCAA,2019-02-21T02:41:23.000Z,https://t.co/zj2D0eSfxR,Donovan Mitchell,NA,true,16396,78157,1373,1882,-76275,-15023
TheOnion,Nike Fires 8-Year-Old Shoemaker Responsible For Zion Williamson Injury https://t.co/aPLeHP7A6w https://t.co/yj3sVApz7E,2019-02-21T23:17:06.000Z,https://t.co/McSMshhidB,The Onion,NA,true,12787,43035,1159,324,-42711,-11628
BleacherReport,"Zion just destroyed all of Virginia in one sequence 🤯

(via @CBSSports)
https://t.co/bk9KTZ4LpI",2019-01-19T23:33:37.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,10821,39893,2211,361,-39532,-8610
NBAonTNT,"“That’s what we do, we play basketball.”

Charles Barkley weighs in on Zion Williamson's situation at Duke. https://t.co/7foEecc6la",2019-02-22T06:33:41.000Z,,NBA on TNT,"Atlanta, GA",true,9493,30831,2668,800,-30031,-6825
SportsCenter,Zion's shoe: destroyed 😳 https://t.co/LqQ2te0Jay,2019-02-21T02:09:41.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,9041,37422,3897,1767,-35655,-5144
Koreaboo,"10 idols have been promoted to full members of the Korea Music Copyright Association (KOMCA)

iKON's B.I
Highlight's Yong Junhyung
Zico
Akdong Musician's Lee Chanhyuk
CNBLUE's Jung Yonghwa
Jinyoung
Zion.T
GRAY
Bumzu
SEVENTEEN's Woozi

Congratulations to all of the new members!",2019-01-23T01:15:33.000Z,https://t.co/x8BnPbnUeX,Koreaboo,Worldwide,true,8195,17437,1244,424,-17013,-6951
KySportsRadio,This block by Zion is one of the most athletic plays I have ever seen https://t.co/SEWQo61g4E,2019-02-10T02:30:18.000Z,https://t.co/Plm8dmlJzJ,Matt Jones,"Lexington, Kentucky",true,7856,28753,1949,609,-28144,-5907
atmos_usa,"Giveaway! Win the Off White x Nike Air Max 90! 
-
1. RETWEET
2. Follow @ubiqlife
3. Reply your US shoe size and color! 
-
Disclaimer: The winner will be chosen on [2/11] and contacted via direct message. https://t.co/lMUxm7i4P5",2019-02-07T14:00:20.000Z,https://t.co/KM46LqPJXT,atmos USA,NA,true,6091,2640,621,7213,4573,-5470
ThatDamnJosh_,“Zion Williamson will not return tonight.” https://t.co/USmDE7aWR2,2019-02-21T02:43:50.000Z,https://t.co/kCfC8M6n8X,JT,NA,false,5634,20105,419,55,-20050,-5215
Bballforeverfb,GOOD GOD Zion Williamson! 😱 https://t.co/e13rP7McYD,2019-02-10T01:02:06.000Z,https://t.co/dBl1XlF82J,Basketball Forever,NA,false,5414,20020,1488,259,-19761,-3926
espn,"""He said he don't coach losers, only coach winners.""

Zion shared how Coach K got his team to rally back from a 23-point deficit. https://t.co/EtCtEzJTET",2019-02-13T04:46:14.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,5300,32887,507,212,-32675,-4793
mentnelson,Barack Obama pointing out the fact that Zion’s “shoe broke” will forever go down in history https://t.co/pVFqEBgbFo,2019-02-21T02:52:54.000Z,https://t.co/7VUGFABuJD,ment nelson,"South Carolina, USA",false,5015,21464,340,135,-21329,-4675
isaiahthomas,"Let these kids go straight out of HS!!! Too much on the line to be messing with college if you got a legit chance to turn pro. One injury can change somebody career,  Zion sit yo ass down lol and we will be ready for you in the big boy league #LookingOutForThePlayers",2019-02-21T03:28:03.000Z,https://t.co/87yPHVjv6B,Isaiah Thomas,"Tacoma, WA",true,5002,29709,300,285,-29424,-4702
DimeUPROXX,"My goodness, Zion. https://t.co/vtM63TCCFG",2019-02-10T00:47:04.000Z,https://t.co/WOtnmZA44R,Dime,Basketball,true,4746,14278,1652,306,-13972,-3094
ComplexSports,Nike trying to explain why Zion was seriously injured in their shoe https://t.co/J47rNspWC4,2019-02-21T03:08:22.000Z,https://t.co/BI38UneyEa,Complex Sports,NA,true,4466,13048,348,124,-12924,-4118
GilbertAgent0,"Zion Williamson : “I’m about to drop 40 on UNC tonight” 

Zion Williamson’s Nikes : https://t.co/qs38pVm12F",2019-02-21T02:41:53.000Z,,Gilbert Arenas,NA,false,4201,13426,259,44,-13382,-3942
SportsCenter,AND. ONE. ZION. 😱 #SCtop10 https://t.co/q4DawORzJG,2019-01-19T23:36:14.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,3961,15191,892,179,-15012,-3069
NOTSportsCenter,"The Bulls don’t need Zion Williamson, they need Jesus https://t.co/RHcv9bsM7T",2019-01-18T04:43:05.000Z,https://t.co/6mBaqARfWd,NOTSportsCenter,Everywhere ,false,3623,17626,507,221,-17405,-3116
BleacherReport,"“Clowns on television are saying ‘Don’t play.’ That’s what we do. We play basketball”

Chuck didn’t hold back on the Zion debate 

(via @NBAonTNT)

https://t.co/Fo50JpiYE1",2019-02-22T22:04:33.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,3577,13977,647,216,-13761,-2930
anthonyVslater,"DeMarcus Cousins: “Knowing what I know now, college basketball is bullshit.” Advises Zion Williamson to get ready for the NBA. https://t.co/k3B1JA0E42",2019-02-21T19:17:39.000Z,https://t.co/2TubOvxS97,Anthony Slater,NorCal - OKC - NorCal,true,3465,10422,733,337,-10085,-2732
DukeMBB,UPDATE: Zion Williamson will not return. Knee.,2019-02-21T02:35:04.000Z,,Duke Men’s Basketball,Cameron Indoor,true,3351,9149,4231,896,-8253,880
JakeRepNY,"“I just spent $10,000 on a ticket, I can’t wait to see Zion play”

Nike shoes: https://t.co/AeRTCPue5b",2019-02-21T02:43:22.000Z,https://t.co/5JrWgYROFY,Ｊａｋｅ,NA,false,3035,14289,88,23,-14266,-2947
KingJosiah54,"Nike: ""Hey buddy, we just wanted to apologize for your shoe explod--""

Zion Williamson: https://t.co/Wj24vQOT5P",2019-02-21T02:40:36.000Z,https://t.co/9YtATJadJF,Josiah Johnson,The Field,true,2992,10340,102,36,-10304,-2890
NBA_Skits,"Zion Williamson is a monster! 

 https://t.co/DRpfOqvy38",2019-02-10T03:54:49.000Z,,NBA SKITS,Los Angeles ,false,2845,9845,449,104,-9741,-2396
suttonimpaQt,Adidas execs watching Zion blow out his shoe https://t.co/2cpNi1gxGe,2019-02-21T03:28:45.000Z,https://t.co/R4dC1NfnPG,Agent00Sutton • ⚖️|🏈,"New Orleans, LA",false,2776,7341,251,31,-7310,-2525
espn,"Is the #WoodenAward Zion's to lose? You tell us. Time to vote!

(📍@Wendys)",2019-02-05T19:31:34.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,2538,17352,357,201,-17151,-2181
parscale,Maybe it is time for @Nike to bring factories back to the US where quality manufacturing will protect our athletes. @realDonaldTrump https://t.co/wlqjzI6Cf2,2019-02-21T22:13:16.000Z,https://t.co/Kv9kj3z2NX,Brad Parscale,"Ohio, USA",true,2511,8853,304,780,-8073,-2207
SportsCenter,Luka Doncic seems to have the perfect solution for Zion 🤔 https://t.co/6vcTleH8GX,2019-02-21T16:59:28.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,2493,24600,185,180,-24420,-2308
BleacherReport,"Zion out of NOWHERE

(via @CBSSports)

https://t.co/tnhLh10HRg",2019-02-10T00:48:45.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,2345,11282,619,131,-11151,-1726
RealJayWilliams,This Zion Williamson injury is exactly why players should be able to go directly to the @nba from high school. The league needs to change this rule. PERIOD @GetUpESPN @espn,2019-02-21T03:21:28.000Z,https://t.co/wHVQQ8wFd2,JayWilliams.ETH,Everywhere,true,2299,10712,311,631,-10081,-1988
SportsCenter,Breaking: Zion Williamson will not return to the UNC-Duke game after leaving with a knee injury. https://t.co/JDMYKF7qIO,2019-02-21T02:37:47.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,2280,8492,1354,522,-7970,-926
DukeMBB,"NEWS: Zion Williamson was diagnosed with a Grade 1 right knee sprain. He is progressing as expected, and his status is day-to-day. https://t.co/H8YUZGnOyc",2019-02-21T22:58:41.000Z,,Duke Men’s Basketball,Cameron Indoor,true,2264,9307,750,343,-8964,-1514
espn,"DOWN GO THE BLUE DEVILS!

No. 8 UNC hands No. 1 Duke a big loss at home in a game that Zion left with a knee injury. https://t.co/0fgx6iA1pY",2019-02-21T04:10:19.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,2168,7400,408,237,-7163,-1760
BleacherReport,"Zion went down with an injury, his foot blew through his sneaker 😳 https://t.co/JMyNsDbZFX",2019-02-21T02:09:03.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,2146,10460,1430,446,-10014,-716
basketenzona,"Pero QUÉ BARBARDIDAD es ESTA 

¡Zion Williamson! 😱 https://t.co/GMSeONt6jJ",2019-02-10T07:11:17.000Z,,Basket En Zona 🏀,NA,false,2142,5114,185,61,-5053,-1957
brkicks,Introducing the Nike Adapt BB. Nike's first smart shoe designed for on-court performance. https://t.co/y3OwNwHfvO,2019-01-15T14:34:04.000Z,https://t.co/VykgnMdbdL,B/R Kicks,NA,true,2120,9603,491,93,-9510,-1629
OmilloDior,“ Zion Williams will not return to the game ”https://t.co/mCX8PaHEum,2019-02-21T02:55:26.000Z,https://t.co/hcz5bg2ynU,“O” ☄️,"Greenville , SC📍ATL 🌇",false,2101,7891,203,27,-7864,-1898
BleacherReport,"Zion Williamson has an $8M insurance policy that would only kick in if he slips past No. 16 in the draft due to injury, per @darrenrovell https://t.co/q7VSz3XXg7",2019-02-21T14:28:11.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,2089,9911,566,184,-9727,-1523
sportingnews,"The cheapest ticket for UNC vs. Duke is $2,990.

The reason? Zion Williamson. 

The freshman sensation has set the online ticket resale market on fire: https://t.co/mtLhgaqUK4 https://t.co/EopAq7D5lS",2019-02-19T15:16:01.000Z,https://t.co/8z07tnktOn,𝐓𝐡𝐞 𝐒𝐩𝐨𝐫𝐭𝐢𝐧𝐠 𝐍𝐞𝐰𝐬,United States,true,2085,5722,4334,664,-5058,2249
DragonflyJonez,Zion is as sure a bet as I've ever seen. Franchise player. But college ball is funny bc his season prob ends when he meets a white dude named Eric Prezywikxsi who has the game of his life then averages 2.4ppg for 3 NBA seasons before playing for the Oslo Red Bull Flying Dynamos,2019-02-10T01:03:22.000Z,https://t.co/Wcf1veyWAy,✨🦦America Is Musty🦦✨,40 ounces to freedom,false,2060,11732,139,90,-11642,-1921
alfranken,Trump’s latest tweet: I blame Kaepernick for Zion’s knee injury. Money Nike paid him came out of quality control. SAD!,2019-02-22T00:02:59.000Z,https://t.co/ZEEK59Ml9O,Al Franken,Minnesota,true,2056,13468,261,1627,-11841,-1795
KingJosiah54,LeBron &amp; Zion mic'd up at Duke game 😂 https://t.co/tsKKwXmioy,2019-02-10T03:16:25.000Z,https://t.co/9YtATJadJF,Josiah Johnson,The Field,true,1997,7232,200,38,-7194,-1797
stephenasmith,"HELL NO, ZION SHOULDN'T SIT OUT THE REST OF THE SEASON! https://t.co/Dar0a7DFJb",2019-02-21T18:26:16.000Z,https://t.co/5kjP7He2ds,Stephen A Smith,NA,true,1917,9575,453,538,-9037,-1464
NSB_Bot,"RANDOM RT WINS NSB COPY

Pre-orders LIVE!🔥

FCFS. Limited. 48 Hours Only. 10% Off.

GO: https://t.co/gxMnHPR1HR

Coupon Code: PREORDER10

First to order will instantly receive his key 🔥

Retail MAY increase after!",2019-02-02T16:58:29.000Z,,NSB Bot,NA,false,1895,603,20,164,-439,-1875
ShamsCharania,Duke star Zion Williamson has a Grade 1 right knee sprain and will be day-to-day. Sigh of relief for the possible No. 1 overall pick.,2019-02-21T22:59:19.000Z,https://t.co/7qTdIALhcb,Shams Charania,"Chicago, IL",true,1881,9026,414,221,-8805,-1467
SportsCenter,"Roy Williams has been coaching college ball since the 70s.

He said he's never seen anyone quite like Zion 😳 https://t.co/NFMVMDCLy0",2019-02-18T22:17:13.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,1796,11658,147,97,-11561,-1649
TheSportsman,"👟📉 Nike's stock has gone down 1.41% after Duke Basketball star Zion Williamson's PG 2.5 Sneakers fell apart and he sprained his knee...

That would equate to $1.48 Billion lost from an 18-year-old injuring himself! https://t.co/Xlk7ff3jjM",2019-02-21T15:03:06.000Z,https://t.co/JtDomJOE6I,The Sportsman,"Manchester, England",true,1726,3706,488,128,-3578,-1238
SportsCenter,"You'll need at least $2,500 if you want to see UNC-Duke on Wednesday 😮 https://t.co/Ro00VxfVkY",2019-02-19T22:30:51.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,1709,7734,1048,490,-7244,-661
SportsCenter,"""College basketball, the NCAA, is bulls---."" 

–DeMarcus Cousins on Zion's situation https://t.co/ER8i4S0oOF",2019-02-21T20:55:36.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,1686,7973,205,195,-7778,-1481
