user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
LBC,The reality in the UK is that people from all aspects of life use sex workers. Are we guilty of a terrible double standard against the Oxfam staff? https://t.co/dDCrhQCLQD,2018-02-19T15:07:53.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,16,29,73,149,120,57
globeandmail,Oxfam deputy head quits as Haiti sexual-misconduct scandal escalates https://t.co/H9ca8xLWzo,2018-02-12T20:38:25.000Z,https://t.co/et2oIjDfo5,The Globe and Mail,Canada,true,9,7,2,85,78,-7
LBC,"After it was revealed that Oxfam staff hired prostitutes during Haiti's earthquake relief effort, the government is reviewing its relationship with the charity. Does this scandal make you reluctant to donate to charity? https://t.co/ilwkh1YIAX",2018-02-10T09:10:22.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,22,38,15,114,76,-7
JeremyVineOn5,"Is it churlish to cancel your Oxfam donations because of a few rotten apples? 7,000 have walked away since the Haiti sex scandal and the Government has withdrawn millions in funding just as workers head to Syria. Will you carry on giving, or save your cash for a better-run cause?",2018-02-21T07:12:42.000Z,https://t.co/AVLig9qLcb,Jeremy Vine On 5,"London, England",true,8,29,3,102,73,-5
Independent,Glastonbury 'will stand by Oxfam' after aid workers sex scandal https://t.co/psPwOJ1I1p,2018-02-17T20:38:00.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,14,39,10,103,64,-4
itvnews,"Would you still donate to @Oxfam? As the charity faces the fallout of the sexual exploitation scandal, ITV News asked people if it would stop them shopping at Oxfam's stores or donating to it in the future https://t.co/EFaRkAGT1x https://t.co/idYfG7u9cm",2018-02-13T18:21:01.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,19,15,5,77,62,-14
thismorning,International aid charity Oxfam has been accused of sexual misconduct and abuse both in their UK shops and their foreign disaster zones. Has this scandal put you off donating to them? https://t.co/5OvhAUaFqB,2018-02-14T10:47:44.000Z,https://t.co/pwq4GURi36,This Morning,"London, England",true,15,76,4,134,58,-11
LBC,"Thousands have canceled donations to Oxfam, and ex-Save The Children boss, Justin Forsyth, has ""apologised unreservedly"" to the three workers - are you surprised this scandal has hit the charity sector? https://t.co/di55SGxKRJ",2018-02-21T07:05:23.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,8,13,8,58,45,0
oxfam_es,"Reacción de Oxfam a la historia de comportamiento sexual inapropiado en Haití: https://t.co/fOdMKx7Ipu
Esperamos poder reconstruir la confianza con nuestros seguidores, quienes saben, al igual que nosotros, que las acciones de unos pocos no representan los valores de Oxfam.",2018-02-09T16:39:01.000Z,https://t.co/aplatx7aga,Oxfam en español,América Latina y el Caribe,true,38,52,73,95,43,35
TalkTV,Has the Oxfam scandal made you think twice about giving to charity? @JuliaHB1 https://t.co/ASBItJH7fr,2018-02-12T06:38:07.000Z,https://t.co/LYQHmLq5lA,TalkTV,United Kingdom,true,8,22,10,64,42,2
LBC,Oxfam boss Mark Goldring has apologised after further allegations. What more do Oxfam need to rebuild trust? https://t.co/g1g4UX2qQi,2018-02-20T17:08:52.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,2,4,4,43,39,2
MirrorPolitics,"'It's not like we murdered babies': Oxfam chief hits out at 'unfair' backlash over sex scandal
https://t.co/EoJmb1uRzG https://t.co/7tL6rlYybD",2018-02-16T23:27:22.000Z,https://t.co/dKUAJDaQIC,Mirror Politics,UK,true,21,9,74,46,37,53
LBC,The Government's threatening to cut aid funding for charities accused of sexual exploitation after the Oxfam revelations. Would this be the right approach? https://t.co/hCNGF4hd5h,2018-02-12T07:15:07.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,6,28,6,63,35,0
Independent,'We must continue to fund Oxfam despite the Haiti scandal' https://t.co/0Bn9nmhWWn,2018-02-12T08:16:09.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,15,32,36,67,35,21
Independent,Aid worker who used prostitutes: Judge me by my work not what I do in my spare time https://t.co/BU5QhwGRtS https://t.co/lhxN8Eolwj,2018-02-13T13:56:43.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,14,12,27,45,33,13
MartinSLewis,"Today's twitter poll:  A number of big charities, especially Oxfam, have been in the news due to upsetting stories of sexual inappropriateness/criminality by aid workers; and how it's been handled.

Does this put you off donating to them?",2018-02-22T08:02:36.000Z,https://t.co/EKPUw0pvm4,Martin Lewis,IG @martinlewismse ,true,21,11,2,44,33,-19
Oxfam,"""This is appalling. It hurts me very deeply.

Our priority is to stand alongside the women who were abused, and to root out sexual misconduct from our organization and we are working on that.""

Oxfam Internat'l Executive Director @Winnie_Byanyima responds: https://t.co/URzVmyftYE",2018-02-12T16:12:18.000Z,https://t.co/XRURUyTsjM,Oxfam International,NA,true,86,99,26,131,32,-60
LBC,An investigation found top Oxfam staff paid earthquake survivors in Haiti for sex. How do big charities restore public trust? https://t.co/bZINOXreBd,2018-02-09T14:10:31.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,26,18,10,49,31,-16
BNR,"Oxfam Nederland wist al in 2012 van de seksfeesten in Haïti. Hoewel het niet mocht, had ik mijn mond open moeten trekken, zegt @Farah_Karimi: https://t.co/KswKxGX7ZG",2018-02-14T08:20:12.000Z,https://t.co/8ZfzfXtsxF,BNR Nieuwsradio,Nederland,true,38,18,38,47,29,0
GMB,"ON NOW we’re speaking to Michelle Russell, the Director of Investigations at the Charity Commission over Oxfam’s handling of claims of sexual misconduct.",2018-02-12T06:36:06.000Z,https://t.co/ZZKX14E7X3,Good Morning Britain,London,true,1,7,1,32,25,0
LBC,Minnie Driver has become the first celebrity to quit Oxfam in protest at the sex scandal; are you more cautious about donating to big charities now? https://t.co/LP21IkQ1dB,2018-02-14T07:07:05.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,3,5,1,30,25,-2
BBCNewsnight,"“I don’t know whether I knew of this particular case, I can’t be sure… ” Andrew Mitchell was Secretary of State for International Development when Oxfam investigated staff sexual misconduct in 2011 #newsnight https://t.co/GEXNJlYeOv",2018-02-09T22:58:17.000Z,https://t.co/kOz7JcH6BR,BBC Newsnight,"London, UK",true,26,14,7,34,20,-19
LBC,"Can Oxfam survive this scandal? That's what @RichSuchet is discussing in the latest episode of The Daily Debrief.
Download it for free now: https://t.co/E7D0p4kL9w https://t.co/PGxHXvQAEL",2018-02-13T07:49:02.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,1,2,0,22,20,-1
LBC,Oxfam scandal: How concerned are you that this is a widespread issue in development and what can be done to stop it? https://t.co/By5xmkOWPi,2018-02-13T17:00:25.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,3,8,0,27,19,-3
TalkTV,Oxfam’s former Head of Safeguarding says teenage volunteers at UK shops had been abused and overseas staff had traded aid for sex... What’s your gut reaction? Should we stop their funding? What’s the solution? @JuliaHB1 https://t.co/ECpu6Wgjp0,2018-02-13T06:36:14.000Z,https://t.co/LYQHmLq5lA,TalkTV,United Kingdom,true,12,13,1,31,18,-11
telegraaf,"’Oxfam hield seksfeesten op Haïti, mogelijk met minderjarigen’ https://t.co/iRJCtlsBX2",2018-02-09T07:18:24.000Z,http://t.co/dBiNMEJFM2,De Telegraaf,Amsterdam,true,29,6,15,23,17,-14
labourpress,Charity Commission and Government have questions to answer on Oxfam scandal - @KateOsamor  https://t.co/RPy2SUgiC8,2018-02-13T11:25:22.000Z,https://t.co/ArqnDGS4Rz,Labour Press,UK,true,22,24,25,40,16,3
LBC,"EXCLUSIVE: Former Secretary for International Development Andrew Mitchell tells LBC that Oxfam ""did report the matter"" to DFID, but insists it wasn't brought to his attention because Oxfam ""didn't specify the nature of the allegations.""
https://t.co/oxJqUdG6lM",2018-02-11T16:06:31.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,10,6,4,21,15,-6
cathynewman,Boss of @oxfamgb tells me not all adult volunteers working in UK charity shop get full criminal record check &amp; for years even managers didn’t. This despite allegations young volunteers were abused. #c4news,2018-02-12T19:40:59.000Z,https://t.co/821wMuhOqv,Cathy Newman,London,true,12,17,3,32,15,-9
ewmagazinenl,Oxfam-directeur Goldring door het stof om seksschandaal Haïti en 'onhandige uitspraak' over baby's: 'Ik had al zes nachten niet geslapen': https://t.co/FXaiZJ9mc2 https://t.co/HWk4MWbd3q,2018-02-20T14:42:18.000Z,https://t.co/T97bRjwFRm,EW,NA,false,4,1,4,16,15,0
Oxfam,"Our reaction to sexual misconduct story in Haiti: https://t.co/xPSISBal84

We hope we can rebuild our trust with our supporters who know, as we do, that the actions of a few do not represent all that Oxfam stands for.",2018-02-09T15:56:23.000Z,https://t.co/XRURUyTsjM,Oxfam International,NA,true,80,89,45,103,14,-35
RTLnieuws,'Oxfam betaalde prostituees voor seksfeesten na ramp op Haïti'  https://t.co/D56jLhdnm3 https://t.co/MQtiKuKFXm,2018-02-09T13:01:05.000Z,http://t.co/CdGxqigxAM,RTL Nieuws,Nederland,true,15,4,6,17,13,-9
LBC,Oxfam are facing allegations of sexual misconduct by aid workers in Haiti. @MatthewStadlen asks: Will this make you think twice about giving to charity? https://t.co/fMPmu7yHyZ,2018-02-11T01:05:05.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,9,8,1,21,13,-8
NOS,'Medewerkers Oxfam betaalden overlevenden aardbeving Haïti voor seks' https://t.co/HYI0aF2ALg,2018-02-09T09:50:46.000Z,https://t.co/FPpCgbIEVT,NOS,Hilversum,true,13,10,10,22,12,-3
bbcquestiontime,"The news that Oxfam staff used prostitutes in Haiti has led to renewed focus on how the aid sector works, and what measures are in place to prevent abuse by aid workers #bbcqt https://t.co/whDMz6paJt https://t.co/GsG2tKYMdS",2018-02-15T22:49:05.000Z,https://t.co/4lee8kYIUH,BBC Question Time,UK,true,5,9,0,21,12,-5
rachaelvenables,Theresa May tells me the behaviour of Oxfam employees in Haiti was “absolutely horrific” adding “we will not work with anybody who does not meet the high standards that we set” @LBC https://t.co/kEGetai5Vh,2018-02-19T11:17:38.000Z,,Rachael Venables,"London, Mostly.",true,13,23,5,35,12,-8
Telegraph,"Oxfam did not ban staff from using prostitutes as it would infringe their 'civil liberties'
https://t.co/LLtKZWG40R",2018-02-14T16:18:13.000Z,https://t.co/ALkkPczVm5,The Telegraph,"London, UK",true,7,9,8,20,11,1
itvnews,The boss of charity @Oxfam say he is 'deeply ashamed' over accusations its staff used prostitutes in Haiti in the aftermath of the 2011 earthquake https://t.co/gVPsIuMe7J https://t.co/fANrgFKLxL,2018-02-10T23:15:03.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,19,7,8,17,10,-11
LBC,This call from a brutally-honest aid worker could make you think again about the Oxfam scandal @mrjamesob https://t.co/ayhjFvNZu3,2018-02-12T12:00:45.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,14,28,9,38,10,-5
LBC,Oxfam's deputy resigns amid scandal. What is best for those who need the most help: the government continuing or ceasing to fund Oxfam? https://t.co/kjpfoMGGDF,2018-02-12T17:07:41.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,3,5,2,15,10,-1
SkyNews,"Oxfam's chair of trustees has given her full backing to the charity's beleaguered chief executive, insisting he is doing a ""brilliant job"" https://t.co/TE8ES62GV3",2018-02-13T19:35:06.000Z,https://t.co/UuWgHECmV8,Sky News,"London, UK",true,10,10,3,20,10,-7
BBCNews,Oxfam scandal: Ex-director hits out at 'lies and exaggerations' https://t.co/MGcIw8K9FH,2018-02-15T12:16:09.000Z,https://t.co/vBzl7LNCCQ,BBC News (UK),London,true,10,8,3,18,10,-7
europapress,"El responsable de Oxfam Reino Unido reprocha las críticas ""desproporcionadas"" por el escándalo de Haití: ""¿Hemos asesinado a bebés en sus cunas?"" https://t.co/5katsg4Xde",2018-02-17T19:10:28.000Z,http://t.co/c2SmdP8GEw,Europa Press,NA,true,18,6,15,16,10,-3
bbc5live,"Ministers could cut off funding for Oxfam, if it can't account for the way it handled claims of sexual misconduct by aid workers. https://t.co/sDSs9I8hs1",2018-02-11T22:24:09.000Z,https://t.co/D5qJsJFNt8,BBC Radio 5 Live,"Salford, United Kingdom",true,3,9,3,18,9,0
