user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
wmarybeard,"Of course one can’t condone the (alleged) behaviour of Oxfam staff in Haiti and elsewhere. But I do wonder how hard it must be to sustain “civilised” values in a disaster zone. And overall I still respect those who go in to help out, where most of us wd not tread.",2018-02-16T21:32:56.000Z,https://t.co/DqPvEoRaGH,mary beard,NA,false,274,1873,711,657,-1216,437
DavidLammy,Oxfam abuse scandal is built on the aid industry’s white saviour mentality. I agree  with @afuahirsch must read article + analysis. The old-fashioned and colonial model of aid - gap year kids and Westerners flying in to Africa to 'do good' needs to change. https://t.co/v5XSU4sd5p,2018-02-23T09:12:43.000Z,https://t.co/PfjeSx0di9,David Lammy,Tottenham,true,284,586,193,573,-13,-91
JohnSimpsonNews,Haiti was disgusting. But @Oxfam has done superb work for 70+ years &amp; I for one am not abandoning it now.,2018-02-20T15:57:48.000Z,,John Simpson,"Live in UK, travel anywhere",true,1394,5336,149,261,-5075,-1245
LBC,"Priti Patel, the former secretary for international development, says Oxfam should be stripped of its government funding over the allegations it covered up a sex scandal involving aid workers. Is she right? https://t.co/vB7GK44PPM",2018-02-10T12:20:33.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,100,261,55,200,-61,-45
cathynewman,Terrible and disturbing story which should have far-reaching repercussions... https://t.co/zS57q8115s,2018-02-09T18:21:44.000Z,https://t.co/821wMuhOqv,Cathy Newman,London,true,157,231,33,168,-63,-124
DPJHodges,"Oxfam CEO Mark Goldring: “The intensity and the ferocity of the attack makes you wonder, what did we do? We murdered babies in their cots? Certainly, the scale and the intensity of the attacks feels out of proportion to the level of culpability"". Genuine quote.",2018-02-17T09:07:28.000Z,,(((Dan Hodges))),NA,true,220,317,124,161,-156,-96
LBC,The reality in the UK is that people from all aspects of life use sex workers. Are we guilty of a terrible double standard against the Oxfam staff? https://t.co/dDCrhQCLQD,2018-02-19T15:07:53.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,16,29,73,149,120,57
DPJHodges,So Labour finally issue a statement on Oxfam. They attack the Charity Commission and the Government. But not the organisation that was actually responsible for the abuse and cover-up.,2018-02-13T13:32:06.000Z,,(((Dan Hodges))),NA,true,854,1426,73,142,-1284,-781
EmmaManzini,"Remember, just £30 a month will provide clean prostitutes for up to six aid workers. Even a fiver could help pay for a blow job. So please give what you can, very good, very long time. #Oxfam",2018-02-12T09:17:55.000Z,,Emma Manzini,NA,false,1381,2828,79,135,-2693,-1302
thismorning,International aid charity Oxfam has been accused of sexual misconduct and abuse both in their UK shops and their foreign disaster zones. Has this scandal put you off donating to them? https://t.co/5OvhAUaFqB,2018-02-14T10:47:44.000Z,https://t.co/pwq4GURi36,This Morning,"London, England",true,15,76,4,134,58,-11
Oxfam,"""This is appalling. It hurts me very deeply.

Our priority is to stand alongside the women who were abused, and to root out sexual misconduct from our organization and we are working on that.""

Oxfam Internat'l Executive Director @Winnie_Byanyima responds: https://t.co/URzVmyftYE",2018-02-12T16:12:18.000Z,https://t.co/XRURUyTsjM,Oxfam International,NA,true,86,99,26,131,32,-60
BBCBreaking,"Penny Lawrence resigns as Deputy Chief Executive of Oxfam saying she takes ""full responsibility"" for behaviour of staff in Chad &amp; Haiti at the time when she was programme director https://t.co/oys0cwbdPW",2018-02-12T14:44:08.000Z,http://t.co/vBzl7LOaso,BBC Breaking News,"London, UK",true,289,512,82,129,-383,-207
itvnews,"As Oxfam ambassadors Minnie Driver and Desmond Tutu quit their roles amid the Haiti sex scandal, @simonpegg explains why he is sticking by the charity https://t.co/gyDSel88DE https://t.co/6sqOgMtucQ",2018-02-15T21:24:30.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,814,2388,174,128,-2260,-640
toryboypierce,Oxfam covered-up use of prostitutes by aid workers in earthquake torn Haiti. what on earth has happened to our once proud charities,2018-02-09T18:16:37.000Z,https://t.co/ZSgkhn15iq,Andrew Pierce,london,false,200,483,29,127,-356,-171
GeorgeMonbiot,"Yes, the #oxfamscandal is terrible. But please don't let it be used to shut down the invaluable work that #Oxfam does around the world. Millions of people in desperate need would suffer as a result.",2018-02-12T07:23:02.000Z,http://t.co/DWv0C2B9q5,George Monbiot,NA,true,866,2050,58,123,-1927,-808
