user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
_Zeets,"""Kendall please! Give him a Pepsi!"" https://t.co/IntFNmCpTr",2017-04-04T23:21:19.000Z,,Zito,"Pallet Town, Kanto",true,53407,105765,1532,483,-105282,-51875
Phil_Lewis_,"""Now just wait one second officers.

I have a Pepsi."" https://t.co/NW0sddKOOI",2017-04-05T00:22:43.000Z,https://t.co/NiNrsmOc28,philip lewis,"Washington, DC",true,38979,73704,994,262,-73442,-37985
JamilahLemieux,Imagine putting your life on the line like this to fight for justice only to have it parodied by a soda company and a Kardashian https://t.co/g55s09owVf,2017-04-04T23:18:32.000Z,https://t.co/JYH9gWxKnn,Jamilah Lemieux,"Los Angeles, CA",true,38898,77040,870,354,-76686,-38028
ignant_,"""Yo Kendall, im gonna need you to come through with a pepsi, these cops are wildin"" https://t.co/dOpKnTq8LU",2017-04-05T01:09:23.000Z,,Tunde,NA,false,25482,45512,541,103,-45409,-24941
Julian_Epp,Someone handed this cop a Pepsi at this protest and it exploded so he stormed off https://t.co/rJwlmSpysC,2017-04-11T22:14:40.000Z,https://t.co/pFSbt14rqU,Jules,"New York, NY",true,17383,47140,1137,156,-46984,-16246
_TARYNitUP,"Kendall Jenner gives a Pepsi to a cop and rids the world of -isms. Y'all can go somewhere with this tone-deaf, shallow and over-produced ad. https://t.co/CEr4cAw3Ld",2017-04-04T21:49:34.000Z,https://t.co/vrfVVUyVTY,Taryn Finley,NYC,true,17066,31653,7118,643,-31010,-9948
mattufford,Pepsi deleted its crap ad from its YouTube page! But not before I made a GIF of Kendall seeing poor people for the first time. https://t.co/O6Wy0jHjFn,2017-04-05T17:18:00.000Z,https://t.co/chVcY912Qu,Matt Ufford,Connecticut,true,16212,35566,666,106,-35460,-15546
stormisbirkin,"""Kendall get your can of Pepsi, we're going to Syria."" #AmericaIsOverParty https://t.co/Xko0jjfioY",2017-04-07T03:53:47.000Z,,j,NA,false,12494,23435,535,87,-23348,-11959
nuffsaidny,"That one Black Marketing intern at Pepsi coming into work this morning like... 🤷🏾‍♀️

Re: Kendall Jenner's Pepsi Ad https://t.co/GAoLy4eAR2",2017-04-05T14:27:08.000Z,https://t.co/qu2Qi9iSGS,NUFF,NYC,false,11575,23644,372,79,-23565,-11203
deray,".@Pepsi, this ad is trash. https://t.co/x4iUd6hJYm",2017-04-04T23:16:19.000Z,https://t.co/xXkdEPyxGQ,deray,Wakanda,true,9031,16574,3585,872,-15702,-5446
EricHaywood,"""I'M TELLIN' YOU I GAVE THE OFFICER A PEPSI AND HE TOOK HIS HAND OFF HIS NIGHT STICK!""

""Whoa slow down lemme get this straight..."" https://t.co/pM1uy66vft",2017-04-05T00:32:40.000Z,https://t.co/lAaWjzAJiB,Eric Haywood,"Pfizered Up, Ready To Go",true,8773,16105,272,73,-16032,-8501
WANDASWlTCH,"Kendall Jenner giving a pepsi to Hitler, to put an end to World War II. https://t.co/Mi2ZNQf3xo",2017-04-07T06:28:41.000Z,,jz,NA,false,8537,11567,383,43,-11524,-8154
TreMelvin,the one black intern that tried to warn the rest of pepsi's marketing team walking into work today https://t.co/JYBinI0KVQ,2017-04-05T19:15:51.000Z,https://t.co/cKyv3EmncI,Tré Melvin,"Los Angeles, CA",true,8384,17814,249,36,-17778,-8135
longwall26,"*smiling black man approaches cops with gift of Pepsi*

Subsequent headline: No Charges Against Officers Who Thought Pepsi Can Was Gun",2017-04-05T07:03:12.000Z,https://t.co/58sI7rwW6l,Jason,"Nashville, TN",true,7493,14352,170,50,-14302,-7323
erwoti,BREAKING: Kendall Jenner is on a chartered flight to Syria with a can of Pepsi as Trump calls off the air strikes. https://t.co/w6DgSCgJGr,2017-04-07T02:08:09.000Z,,A Karani O,NA,false,7240,10806,571,77,-10729,-6669
Travon,The Kendall Jenner Pepsi fiasco is a perfect example of what happens when there's no black people in the room when decisions are being made.,2017-04-04T23:51:56.000Z,https://t.co/ifbAd75C4H,Travon Free,Mars Bitches.,true,7008,19158,370,228,-18930,-6638
davidschneider,"After losing my job as head of ad content for Pepsi, I have to say my 1st day running customer services for United Airlines has been lively.",2017-04-10T17:28:21.000Z,,David Schneider,London,true,5132,15040,185,118,-14922,-4947
deray,It's incredible that @pepsi apologized to Kendall. She chose to be a part of that ad. Pepsi needs to apologize to the protestors.,2017-04-05T18:45:17.000Z,https://t.co/xXkdEPyxGQ,deray,Wakanda,true,4680,12208,238,171,-12037,-4442
Travon,"Between Nivea's ""white is purity"" ad and Pepsi's ""Black soda matters"" ad I think it's time to open my ""Ask A Black person"" consulting firm.",2017-04-05T17:02:03.000Z,https://t.co/ifbAd75C4H,Travon Free,Mars Bitches.,true,4584,17736,220,284,-17452,-4364
girlswithtoys,So you mean to tell me this whole time all we had to do was offer a cop a Pepsi and they wouldn't kill unarmed Blacks during routine stops? https://t.co/pvqNEpLTz6,2017-04-05T03:28:48.000Z,,𝕹𝖆𝖓𝖆 𝕵𝖎𝖇𝖗𝖎𝖑,Peep @k_sinatra7 or you fake,false,4581,6403,105,38,-6365,-4476
adilahlovatic,Im sorry but this is the BEST PEPSI COMMERCIAL of all time🙌🏻😏 https://t.co/eZ2mVFfkBa,2017-04-05T09:41:38.000Z,https://t.co/b9zSkoDbhc,❥,Mystic Falls,false,4136,5295,538,54,-5241,-3598
slchen_,the new @Pepsi ad evoking imagery of @IeshiaEvans in Baton Rouge is total exploitative brand social activism bs 👋🏼 https://t.co/YzAFtWEzDO,2017-04-04T20:42:16.000Z,https://t.co/DW3sBDgV30,Sherry,"Phoenix, AZ",false,4021,8626,261,79,-8547,-3760
cjbydesign,"Kendall: ""Pepsi choose me to just be the face, I didn't do anything."" 

Twitter: https://t.co/vp492rSEvQ",2017-04-05T23:50:53.000Z,,𝘾𝙅,NA,false,4007,5443,122,14,-5429,-3885
VSAngelsTH,"“ฉันไม่เคยไปกรุงเทพมาก่อน ดังนั้นการที่มีโอกาสได้ไปกรุงเทพ มันก็เป็นอะไรที่น่าสนใจ"" -Kendall พูดถึงการถ่ายทำโฆษณา Pepsi ที่กรุงเทพผ่าน WWD https://t.co/sJplWqviuR",2017-04-04T10:37:11.000Z,,VS Angels TH,NA,false,3363,257,6,0,-257,-3357
BillRatchet,imagine the peace we would have in the world if kendall jenner handed ISIS a pepsi,2017-04-05T15:04:18.000Z,https://t.co/PTh92w3B5o,billiam,"Los Angeles, CA",false,3204,8057,43,10,-8047,-3161
