user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
erodalightsup,"Harry: protesting 
Liam: protesting 
Niall: protesting 
Ariana: protesting 
Halsey: protesting 
Kylie: Jenner 
Kendall: pepsi https://t.co/O0m06yq0tD",2020-06-03T15:30:20.000Z,,♡²⁸,🇮🇪 she/her,false,4530,32761,186,141,-32620,-4344
Bambi3D,"TIL this Sprite commercial was entirely improvised.

Drake was in the room with a camera pointed on him. Everyone hushed to let him work. He smirked, opened his eyes, and said ""watch this"" before erupting soda from every hole https://t.co/qca6pnJGvR",2020-06-29T05:06:19.000Z,https://t.co/X7BzSuIcNA,bammi ✨Bottom 1% SillyGirlz,she/they,false,4493,25641,52,51,-25590,-4441
MurderBryan,Cops are always like “someone cummed in my Pepsi and now I’m in the hospital” and a day later they issue a small print press release that says “there was no cum in the Pepsi” because a cop doesn’t know what a panic attack is,2020-06-16T15:51:05.000Z,,Bяyan,Ohio,false,2718,21750,31,60,-21690,-2687
oranicuhh,i haven’t seen one kardashian/jenner at a protest. lmfao. y’all ran outta pepsi?,2020-06-01T11:27:40.000Z,https://t.co/OJ9b5nK2zQ,CHIKA 🌪,"Los Angeles, CA",true,4219,21135,223,98,-21037,-3996
hestarfoxrry,SOMEONE REALLY TRIED TO PULL A KENDALL AND OFFERED A COP A PEPSI IM WHEEZING https://t.co/af0YdMcFwQ,2020-06-03T16:50:43.000Z,,patty 🍂,NA,false,2319,9399,401,81,-9318,-1918
bocxtop,last night I was so inspired by the videos of cops and protestors marching together I went down to my towns protest and started handing out Pepsi’s to the cops. I’ve just been released from the ICU after getting curb stomped because they mistook the soda can for a weapon,2020-06-01T12:22:18.000Z,https://t.co/V0dSomiihy,first-mate prance,la,false,706,8329,10,10,-8319,-696
harrehmercury,"me desculpem mas eu tô rindo pra caralho disso

a amiga do harry postou isso mos stories: ""e p/ aqueles que se perguntam se algum de nós é Kendall - não, lol.  Ela não estava no protesto.  Ela estava procurando uma Pepsi""

O SHADE MEU PAI https://t.co/BunCiScuNn",2020-06-03T16:24:24.000Z,https://t.co/wAmqqsxb02,Bruna. 🏠 VAI VER O HARRY,"Manaus, Brasil",false,970,5359,161,94,-5265,-809
Saisailu97,Kendall Jenner and her can of Pepsi are real quiet rn,2020-05-30T14:09:51.000Z,,sai,satan’s lair,true,884,4957,33,22,-4935,-851
McJesse,Kendall Jenner has the Pepsi to stop all of this yet she does nothing.,2020-05-30T23:28:54.000Z,,Jesse McLaren,NA,true,578,4948,10,11,-4937,-568
KEEMSTAR,"Please for the love of god @KendallJenner we need to to hand out  @pepsi right now!!! 
End this madness!!! https://t.co/p8T7wGknRr",2020-05-30T04:02:19.000Z,https://t.co/l24dnYAZtv,KEEM 🍿,"Buffalo, NY",true,406,4763,19,69,-4694,-387
