user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
notcapnamerica,White people: watch the Starbucks arrest video.  See the white folks arguing with the police and asking why two innocent black men were being arrested?  THIS is how you use your privilege.  Because if one of us had said something we’d get arrested too.,2018-04-14T23:15:41.000Z,https://t.co/UxA5gtxwXe,chris evans,"New York, NY",false,65325,275517,1466,2421,-273096,-63859
elijahdaniel,when starbucks doesnt have your venti iced chai pumpkin spice unicorn  latte with two shots of espresso and also you’re a racist https://t.co/KuFRdsiZ4n,2018-05-14T00:37:22.000Z,,elijah daniel,he/him,true,18397,119922,236,182,-119740,-18161
Phil_Lewis_,Racial bias training at Starbucks: https://t.co/C8ZPT7qg9U,2018-04-17T18:28:28.000Z,https://t.co/NiNrsmOc28,philip lewis,"Washington, DC",true,43018,99190,3214,499,-98691,-39804
Humble_Slim,Me ordering my caramel makey e auto at starbucks during the boycott https://t.co/oVZyjvIX8O,2018-04-16T13:44:31.000Z,https://t.co/2BDYDZSXKs,Slim,The Gym,false,24327,64984,2983,231,-64753,-21344
Astronomikal1,"Starbucks employee: what y’all doing here? 

“I’m just waiting for a friend.” 

Starbucks employee: 

 https://t.co/k3N2wbgeQS",2018-04-16T13:17:35.000Z,https://t.co/huVziol0cC,"Paradoxe, The Great",Detroit ,false,28275,61395,2276,226,-61169,-25999
AP,BREAKING: Black men arrested at Starbucks settle with Philadelphia for $1 each and a city pledge of $200K for young entrepreneurs.,2018-05-02T16:19:18.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,17161,59889,4439,1068,-58821,-12722
keithboykin,"A few reasons people called the cops on black people:
• waiting in @Starbucks
• napping in a @Yale dorm
• renting an @AirBnB
• golfing at @GrandviewGC
• shopping at @NordstromRack
• buying a belt at @BarneysNY 
• BB gun shopping at @Walmart
• wearing a hoodie in the rain",2018-05-10T03:49:31.000Z,https://t.co/mwHLxQwWys,Keith Boykin,"Los Angeles, CA",true,31006,59081,1512,1314,-57767,-29494
adamcbest,"Donald Trump has now tweeted TWICE today about Kanye West. 

He never tweeted about James Shaw Jr., the hero of the Waffle House shooting. 

He never tweeted about racial profiling of innocent black men at Starbucks. 

Tells you all you need to know about who our President is.",2018-04-25T21:38:07.000Z,https://t.co/it2PtJ1xIw,Adam Best,"Huntsville, AL",true,10429,29995,450,738,-29257,-9979
ananavarro,"Two men were arrested for waiting at Starbucks. Police called on a Yale student for sleeping. Elderly driver was sworn at, dragged out of her car by 3 policemen for swerving into wrong lane. They were all black.

America, what is happening in our country?
 https://t.co/t61EnRs6wE",2018-05-12T11:57:10.000Z,https://t.co/IaghNWqyKC,Ana Navarro-Cárdenas,"Coral Gables, Fl",true,13150,29906,1516,4225,-25681,-11634
GeorgeTakei,"If you are angry about @Starbucks closing for a day to train staff and help stop racial profiling, you are kind of part of the problem.",2018-04-18T13:36:19.000Z,https://t.co/FESrB1JExy,George Takei,"Broadway - New York, NY",true,4292,26426,199,673,-25753,-4093
