user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
NRO,Women’s March Leader Calls for Starbucks Boycott Due to Partnership with Jewish Group https://t.co/YbayqTI5xP https://t.co/alW79VUPux,2018-04-22T02:31:14.000Z,https://t.co/s00ora6By7,National Review,New York,true,273,250,260,507,257,-13
USATODAY,The arrests at Starbucks raise a question: Is it ever OK to kick you out of a store? https://t.co/nOVB82MuiQ (Photo: AP) https://t.co/bDvRlKHvbT,2018-04-18T15:40:03.000Z,https://t.co/yNKGMNvztv,USA TODAY,"USA TODAY HQ, McLean, Va.",true,36,98,138,341,243,102
WalshFreedom,"New policies coming to politically correct @Starbucks: 

1. Only white people must buy something in order to use the bathroom. 

2. No employee can call the police to report on a black person, even a black person committing a crime. 

3. Only white people must pay for coffee.",2018-04-17T19:58:01.000Z,https://t.co/UsBcAXBRZO,Joe Walsh,NA,true,89,258,92,480,222,3
FoxNews,".@Starbucks closing 8,000 US stores for one day to conduct 'racial bias training' https://t.co/ZmPhjfWtWA",2018-04-17T19:36:33.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,88,279,75,492,213,-13
NEWS_MAKER,Black men arrested at STARBUCKS say feared for lives...,2018-04-19T11:46:46.000Z,,NEWS MAKER,US,false,23,64,33,245,181,10
FoxNews,"Protesters pack into Philadelphia Starbucks after controversial arrest, chant store is 'anti-black' (via @RyanGaydos) https://t.co/wegzRPOsw0",2018-04-16T13:02:25.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,46,162,37,311,149,-9
FoxNews,Protesters march to various Starbucks cafes in Philadelphia following controversial arrests https://t.co/cqZ10fIDAe,2018-04-17T00:13:00.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,67,232,34,361,129,-33
BreitbartNews,https://t.co/7MJ99YHjRS,2018-04-15T21:30:31.000Z,http://t.co/2sVbt3n6lO,Breitbart News,NA,true,16,43,15,146,103,-1
NEWS_MAKER,STARBUCKS Schultz Opens Bathrooms To Everyone... https://t.co/SI3zZROsDu,2018-05-11T12:32:22.000Z,,NEWS MAKER,US,false,18,34,37,133,99,19
RAMRANTS,"After what happened to two innocent black men at a Philadelphia Starbucks, Hillary Clinton’s “super predator” remark comes to mind. Her and her husband’s administration paved the way for this type of discrimination and that shouldn’t be disregarded. 

It was only 22 years ago.",2018-04-15T19:54:20.000Z,https://t.co/pziIbRrqsb,RAM (Richard Armande Mills),"Oregon, USA",true,6,23,14,120,97,8
