user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
united,United CEO response to United Express Flight 3411. https://t.co/rF5gNIvVd0,2017-04-10T16:27:47.000Z,https://t.co/672Qvc9oMM,United Airlines,NA,true,18021,6239,17662,50574,44335,-359
BuzzFeed,"The man dragged off a United flight says “everything"" is injured https://t.co/3uazQ9Nkc3 https://t.co/yjTaiH47b7",2017-04-11T19:47:01.000Z,https://t.co/9tsxyq9gNZ,BuzzFeed,New York,true,4953,7683,5614,392,-7291,661
MerriamWebster,📈'Volunteer' means “someone who does something without being forced to do it.” https://t.co/qNAcMyplhZ,2017-04-11T01:08:58.000Z,https://t.co/ezW3fH0kGo,Merriam-Webster,"Springfield, MA",true,33599,56550,4238,945,-55605,-29361
RyanRuggiero,INBOX: @united CEO sends letter to employees about United Express flight. https://t.co/obVdl6G2E0,2017-04-10T23:26:28.000Z,https://t.co/svpCeOBAs8,Ryan Ruggiero,NA,true,3289,2480,3960,1573,-907,671
thepileus,"If you visit the USA, never ever EVER fly with United Airlines. Here is innocent customer in trauma after being assaulted on the plane https://t.co/INPYckM5m9",2017-04-10T18:11:50.000Z,https://t.co/xMLgCMvBtz,The Pileus,UK,false,39177,33193,3783,542,-32651,-35394
USATODAY,United CEO apologizes again after it turns out the controversial flight wasn't even overbooked. https://t.co/J1BgxcWQII,2017-04-12T10:43:06.000Z,https://t.co/yNKGMNvztv,USA TODAY,"USA TODAY HQ, McLean, Va.",true,5035,4028,2955,295,-3733,-2080
ajplus,United Airlines says this man was forcibly dragged off the flight because it was overbooked. https://t.co/zSYgXmUKVd,2017-04-11T00:34:13.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,16096,5823,2196,277,-5546,-13900
Gizmodo,United loses $800 million in value after passenger dragged off plane https://t.co/7oRJz1rp9L https://t.co/p3EC5BtXPJ,2017-04-11T13:43:08.000Z,http://t.co/TKRR4S1jOT,Gizmodo,NA,true,4929,6546,1984,214,-6332,-2945
RoyalJordanian,We are here to keep you #united Dragging is strictly prohibited 🚫 https://t.co/CSjZD7fM4J,2017-04-10T20:04:42.000Z,https://t.co/MG80aZe6dk,Royal Jordanian,"Amman, Jordan",true,5784,10497,1532,229,-10268,-4252
JuddLegum,"Bill O'Reilly laughs at horrific video of passenger being dragged off of United flight. Then says: ""I shouldn't be laughing""

You think? https://t.co/4o4SO1QtjZ",2017-04-11T00:38:22.000Z,https://t.co/SBNSrP7oow,Judd Legum,"Washington, DC",true,4301,5684,1394,1314,-4370,-2907
CNBCnow,"JUST IN: United says all customers on flight 3411, where a man was dragged off, are receiving compensation for the cost of their tickets.",2017-04-12T18:58:17.000Z,https://t.co/xNSucapdhO,CNBC Now,NA,true,1854,2263,1332,372,-1891,-522
ajplus,"""Just kill me ... just kill me.""

New footage has emerged of the man who was forcefully dragged off of a United Airlines flight. https://t.co/10L98le7Lw",2017-04-11T15:31:34.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,11132,7294,1201,173,-7121,-9931
AP,"BREAKING: Lawyer says passenger dragged from United flight suffered significant concussion, broken nose and lost two front teeth.",2017-04-13T15:18:08.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,2466,1922,782,194,-1728,-1684
ReaganBattalion,"This is a doctor who paid for his ticket. He was dragged off his flight, beaten up, so a @united employee could take his seat. Unreal. https://t.co/WR0Z089MHO",2017-04-10T19:50:55.000Z,https://t.co/NIRK1gi4OQ,Reagan Battalion,United States,true,6298,5042,743,272,-4770,-5555
SylviaNgSocial,"This is how @United Airlines treat their paying customers by assaulting them to ""volunteer"" their seats. #united https://t.co/mJlqA9wTJs",2017-04-10T16:43:16.000Z,,Sylvia Ng,US,false,3516,2516,711,209,-2307,-2805
NBCNightlyNews,"BREAKING: Dragged United passenger Dr. David Dao has settled with the airline for an undisclosed amount, his attorneys say.",2017-04-27T19:05:25.000Z,https://t.co/siVgviWIA1,NBC Nightly News with Lester Holt,New York,true,624,502,707,97,-405,83
AP,"BREAKING: United CEO apologizes for treatment of passenger dragged off plane, saying ""No one should ever be mistreated this way.""",2017-04-11T19:16:26.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,725,944,674,467,-477,-51
Joshua__Nash,"This video is so disturbing. I hope this man sues United for everything they have. 

https://t.co/oqIOyftbOD",2017-04-10T18:04:27.000Z,,Joshua   🌙,"St John, IN",false,8956,8274,661,88,-8186,-8295
BuzzFeedNews,This man was dragged off a United plane after the airline overbooked the flight https://t.co/EaCZxwT05y,2017-04-10T19:33:32.000Z,https://t.co/zNicBkWJ5l,BuzzFeed News,NA,true,1777,1323,612,222,-1101,-1165
cnnbrk,United Airlines loses some $250 million in market value as it scrambles to address video of man dragged off flight. https://t.co/8EB6lXhzyc https://t.co/WX2rqOmKLm,2017-04-11T20:34:41.000Z,https://t.co/ojQgQKzKzX,CNN Breaking News,Everywhere,true,3077,4540,576,536,-4004,-2501
trixiemattel,Me on that United flight: YES MAMA DRAG HERRRRRRR. https://t.co/BDDidpBVGM,2017-04-11T00:29:21.000Z,https://t.co/ebhNWSf6nm,Trixie Mattel™,"West Hollywood, CA",true,509,2635,549,373,-2262,40
AP,"BREAKING: Lawyer for passenger dragged from United flight says city of Chicago is also responsible, not just airline.",2017-04-13T15:24:22.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,700,1057,516,128,-929,-184
CNN,United CEO: We won't let police drag people off our planes anymore https://t.co/gaCN2mKMFu https://t.co/EtF0qAOaLv,2017-04-12T12:46:57.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,357,635,506,486,-149,149
CNN,A man was dragged off a United Airlines plane after refusing to give up his seat on an overbooked flight https://t.co/evMDWHxWra https://t.co/oz72J2ytTf,2017-04-10T17:39:01.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,1519,943,483,402,-541,-1036
washingtonpost,"United says the flight — where a man was dragged off, screaming — was not overbooked https://t.co/w4m7Cw1ZvO",2017-04-11T18:56:14.000Z,https://t.co/1KN78z0bbe,The Washington Post,"Washington, DC",true,937,780,465,249,-531,-472
BraddJaffy,!  cover of the @NewYorker is Sessions dragging Comey off a plane https://t.co/phZPJRQWgR,2017-05-11T20:35:11.000Z,,Bradd Jaffy,New York,true,3193,6111,412,148,-5963,-2781
ABC,Video appears to show a man being forcibly removed from a United plane by law enforcement in Chicago. https://t.co/5pZCEgrBzz https://t.co/f6h0HYmTNT,2017-04-10T20:03:22.000Z,https://t.co/26XEt8onYo,ABC News,New York City / Worldwide,true,1092,661,379,553,-108,-713
nytimes,"A United spokesman said that the man was “asked several times, politely” to give up his seat before force was used https://t.co/oQVMHMO1O6",2017-04-10T19:47:04.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,385,355,376,558,203,-9
CNBCnow,"United shares down 4.4%, erasing about $990M in market value from the airline's shares amid scandal https://t.co/6o4PKoyseS https://t.co/O2Hg8DLYnS",2017-04-11T15:00:23.000Z,https://t.co/xNSucapdhO,CNBC Now,NA,true,1316,1732,370,65,-1667,-946
9GAG,"United Airlines Is Underfire For Their Non-Apology After Passenger Dragged From Plane
https://t.co/cG72wK5f7I https://t.co/ezaTj9ORMA",2017-04-11T04:30:02.000Z,https://t.co/3wvgbbhpjs,9GAG ❤️ Memeland,Memeland,true,2351,1700,366,36,-1664,-1985
auntytrue,"I hope this abused, assaulted passenger, deprived of a most basic human right, sues the hell out of #United Airlines. https://t.co/Yai8YiSvMy",2017-04-11T03:13:16.000Z,,💧Christina,Yorta Yorta Land. Australia,false,5471,6434,360,137,-6297,-5111
nytimes,Videos show a man being forcibly removed from his seat and dragged from an overbooked United flight https://t.co/poR9XgMEFZ,2017-04-10T16:59:02.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,916,694,359,240,-454,-557
RawStory,‘Just kill me’: Disturbing new video shows removed United passenger with his face covered in blood https://t.co/H8T833Huwr https://t.co/TmqXdnBsYR,2017-04-10T19:02:14.000Z,https://t.co/mClFX8BKOx,Raw Story,"Washington, DC",true,1823,1433,358,106,-1327,-1465
AP,BREAKING: Chicago aviation department says officer involved in dragging man off United flight placed on leave.,2017-04-10T19:11:05.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,1726,2615,356,296,-2319,-1370
