user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
united,United CEO response to United Express Flight 3411. https://t.co/rF5gNIvVd0,2017-04-10T16:27:47.000Z,https://t.co/672Qvc9oMM,United Airlines,NA,true,18021,6239,17662,50574,44335,-359
RyanRuggiero,INBOX: @united CEO sends letter to employees about United Express flight. https://t.co/obVdl6G2E0,2017-04-10T23:26:28.000Z,https://t.co/svpCeOBAs8,Ryan Ruggiero,NA,true,3289,2480,3960,1573,-907,671
JuddLegum,"Bill O'Reilly laughs at horrific video of passenger being dragged off of United flight. Then says: ""I shouldn't be laughing""

You think? https://t.co/4o4SO1QtjZ",2017-04-11T00:38:22.000Z,https://t.co/SBNSrP7oow,Judd Legum,"Washington, DC",true,4301,5684,1394,1314,-4370,-2907
MerriamWebster,📈'Volunteer' means “someone who does something without being forced to do it.” https://t.co/qNAcMyplhZ,2017-04-11T01:08:58.000Z,https://t.co/ezW3fH0kGo,Merriam-Webster,"Springfield, MA",true,33599,56550,4238,945,-55605,-29361
nytimes,"A United spokesman said that the man was “asked several times, politely” to give up his seat before force was used https://t.co/oQVMHMO1O6",2017-04-10T19:47:04.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,385,355,376,558,203,-9
ABC,Video appears to show a man being forcibly removed from a United plane by law enforcement in Chicago. https://t.co/5pZCEgrBzz https://t.co/f6h0HYmTNT,2017-04-10T20:03:22.000Z,https://t.co/26XEt8onYo,ABC News,New York City / Worldwide,true,1092,661,379,553,-108,-713
AnnCoulter,"Sorry about the dragging, but the convicted pill-mill doctor should be deported. Dreamland https://t.co/Vp5tH4CYe6 https://t.co/vLBcA88xUB",2017-04-11T20:18:36.000Z,https://t.co/w8Jbizj7j1,Ann Coulter,Los Angeles/NYC,true,504,1288,257,552,-736,-247
thepileus,"If you visit the USA, never ever EVER fly with United Airlines. Here is innocent customer in trauma after being assaulted on the plane https://t.co/INPYckM5m9",2017-04-10T18:11:50.000Z,https://t.co/xMLgCMvBtz,The Pileus,UK,false,39177,33193,3783,542,-32651,-35394
cnnbrk,United Airlines loses some $250 million in market value as it scrambles to address video of man dragged off flight. https://t.co/8EB6lXhzyc https://t.co/WX2rqOmKLm,2017-04-11T20:34:41.000Z,https://t.co/ojQgQKzKzX,CNN Breaking News,Everywhere,true,3077,4540,576,536,-4004,-2501
nytimes,"A United spokesman said that the man was “asked several times, politely” to give up his seat before force was used https://t.co/XMIzrNf7xR",2017-04-11T04:01:02.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,348,360,299,495,135,-49
CNN,United CEO: We won't let police drag people off our planes anymore https://t.co/gaCN2mKMFu https://t.co/EtF0qAOaLv,2017-04-12T12:46:57.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,357,635,506,486,-149,149
AP,"BREAKING: United CEO apologizes for treatment of passenger dragged off plane, saying ""No one should ever be mistreated this way.""",2017-04-11T19:16:26.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,725,944,674,467,-477,-51
BBCBreaking,"CEO of @united Airlines apologises for ""truly horrific"" removal of passenger from overbooked flight https://t.co/22geK42mDF",2017-04-11T19:21:31.000Z,http://t.co/vBzl7LOaso,BBC Breaking News,"London, UK",true,734,892,353,452,-440,-381
CNN,A man was dragged off a United Airlines plane after refusing to give up his seat on an overbooked flight https://t.co/evMDWHxWra https://t.co/oz72J2ytTf,2017-04-10T17:39:01.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,1519,943,483,402,-541,-1036
RealJamesWoods,"Man claiming to be doctor bloodied, dragged off United Airlines - Fly the #FriendlySkies  https://t.co/0wuaqOvdsd",2017-04-11T01:28:09.000Z,,James Woods,NA,true,526,1005,97,397,-608,-429
BuzzFeed,"The man dragged off a United flight says “everything"" is injured https://t.co/3uazQ9Nkc3 https://t.co/yjTaiH47b7",2017-04-11T19:47:01.000Z,https://t.co/9tsxyq9gNZ,BuzzFeed,New York,true,4953,7683,5614,392,-7291,661
GeorgeTakei,"After that passenger was bloodied being dragged out of his seat, United asked if there was a doctor onboard. Awkward.",2017-04-11T03:02:12.000Z,https://t.co/FESrB1JExy,George Takei,"Broadway - New York, NY",true,5565,17028,213,376,-16652,-5352
trixiemattel,Me on that United flight: YES MAMA DRAG HERRRRRRR. https://t.co/BDDidpBVGM,2017-04-11T00:29:21.000Z,https://t.co/ebhNWSf6nm,Trixie Mattel™,"West Hollywood, CA",true,509,2635,549,373,-2262,40
CNBCnow,"JUST IN: United says all customers on flight 3411, where a man was dragged off, are receiving compensation for the cost of their tickets.",2017-04-12T18:58:17.000Z,https://t.co/xNSucapdhO,CNBC Now,NA,true,1854,2263,1332,372,-1891,-522
