user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
CBSMornings,"Ex-employee: #WoundedWarriorProject conduct ""makes me sick."" Part 2 of our investigation: https://t.co/E2Wg7nxXts https://t.co/uTEOOq9l2I",2016-01-27T21:37:21.000Z,https://t.co/jLzzFAF7Ld,CBS Mornings,United States,true,2344,1598,0,6,-1592,-2344
nytimes,"Special Report: The Wounded Warrior Project’s lavish staff spending is raising questions about its mission
https://t.co/avjH3oRgoB",2016-01-27T19:28:35.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,1254,460,1,28,-432,-1253
nytimes,"As Wounded Warrior Project became a big name, it spent millions on things that seemed more lavish than appropriate https://t.co/Vk1XIMPaaT",2016-01-28T10:02:05.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,1353,309,0,22,-287,-1353
nytimes,"As Wounded Warrior Project became a big name, it spent millions on things that seemed more lavish than appropriate https://t.co/jlsWTw7n0S",2016-01-31T02:45:09.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,172,186,0,25,-161,-172
nytimes,"As Wounded Warrior Project has grown, it has also embraced aggressive styles of management https://t.co/qBEVtHl2NK https://t.co/66SD75bT28",2016-01-28T05:06:03.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,143,161,0,41,-120,-143
nytimes,"As Wounded Warrior Project became a big name, it spent millions on things that seemed more lavish than appropriate https://t.co/FywbkagTd8",2016-01-28T02:06:03.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,197,160,0,14,-146,-197
BettyBowers,"Trump, pretending to be a Christian, will #BoycottFoxNewsDebate to help Wounded Warriors, pretending to be a charity.https://t.co/AUsJdBinYu",2016-01-28T02:36:18.000Z,https://t.co/jSfd62F38U,Mrs. Betty Bowers,A Country Not in Bible,false,181,146,0,18,-128,-181
nytimes,"As Wounded Warrior Project has grown, it has also embraced aggressive styles of management https://t.co/zyuj7lLEe0 https://t.co/ise4b24Zdj",2016-01-27T19:33:34.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,128,130,0,16,-114,-128
riseagainst,"RA fan &amp; veteran blowing the whistle: Wounded Warrior Project Spends Lavishly on Itself, Insiders Say, via @nytimes https://t.co/ryP8SKUonQ",2016-01-29T04:20:05.000Z,https://t.co/3E4yeedn2L,Rise Against,"Chicago, IL",true,51,121,0,3,-118,-51
CBSNews,Wounded Warrior Project accused of wasting donation money -- A CBS News investigation: https://t.co/aKuEZolTjL https://t.co/sBTn93tvPL,2016-01-27T06:00:09.000Z,https://t.co/WWGo4zp06H,CBS News,"New York, NY",true,210,115,0,29,-86,-210
