user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
JayWeber3,Very disappointing: Wounded Warrior Project under new CEO only using 60% of donations on vets. https://t.co/UijR4JlKdt,2016-01-27T11:27:40.000Z,,Jay Weber,NA,false,4,2,0,4,2,-4
JessicaChasmar,Wounded Warrior Project accused of wasting donor money: ‘It just makes me sick’ https://t.co/yYte5Mb7ZD https://t.co/g5kN5ReODa,2016-01-27T15:42:01.000Z,https://t.co/AcLIrCr553,Jessica Chasmar,"Florida, USA",true,19,8,0,10,2,-19
WEdwarda,"Uh No. Wounded Warriors accused of spending lavishly on executives &amp; not soldiers.
https://t.co/OdS3Du6QxB https://t.co/BdjZwiMnsO",2016-01-27T23:47:32.000Z,https://t.co/pB2EV1kAyh,Ava- I Love My USA! 🇺🇸,Louisiana,false,8,4,0,6,2,-8
Militarydotcom,Wounded Warrior Project Accused of Wasting Donor Money https://t.co/NwOeKnWVXT https://t.co/qzojF1zy1Y,2016-01-27T14:23:20.000Z,http://www.Military.com,Military.com,United States,true,10,4,0,5,1,-10
TejasKat,@realDonaldTrump Pls ask @stevenardizzi @wwp WHY HE'S GETTING RICH ON BACKS OF WOUNDED WARRIORS? + Lavish expenses! https://t.co/MpIsQDUSm8,2016-01-27T21:32:01.000Z,,TejasKat,South Central Tejas,false,2,2,0,3,1,-2
MandyConnell,"I'm not saying not to donate here, but be aware of how your money is being spent. https://t.co/UIrsAsCapF",2016-01-27T21:36:19.000Z,https://t.co/I7Ux7CzVbf,The Grateful Mandy Connell,"Denver, CO",false,5,1,0,2,1,-5
GeoffShac,Wounded Warrior Execs Spending Lavishly On...Themselves?:  https://t.co/YWiE0LGiU5,2016-01-27T22:20:11.000Z,https://t.co/0T7NN9fmpJ,Geoff Shackelford,California,true,1,1,0,2,1,-1
sdmattpotter,"Wounded Warrior Project Spends Lavishly on Itself, Insiders Say https://t.co/tSxRBLI8yi  via @nytimes",2016-01-27T22:34:00.000Z,http://t.co/Chfg7ixHjL,sdmattpotter,"San Diego, CA",false,5,1,0,2,1,-5
paeznyc,"Wounded Warrior Project Spends Lavishly on Itself, Insiders Say - The New York Times https://t.co/Sk1nxXkXIC",2016-01-27T22:53:57.000Z,,Margie,"ɮօօɢɨɛ ɖօառ ɮʀօռӼ, ռɛա ʏօʀӄ",false,1,1,0,2,1,-1
DJLeeBird,"Hi all,. 
As we all know by now, and for those who are not aware of the report that aired on CBS Evening News on... https://t.co/koO3NbMXjo",2016-01-28T03:40:48.000Z,http://t.co/9lHmIMYNHb,THE HILLBILLY HOOT,"Chicago, Ilinois",false,1,1,0,2,1,-1
MoonAngelWings,CBS Investigation Raises Questions About Wounded Warrior Project - https://t.co/99q87oww4U via https://t.co/9Dej0C38Qo,2016-01-28T09:03:28.000Z,https://t.co/eQoKmGeebK,"MoonAngelWings....NO DM, Lots of Silent Screaming❄",USA No Trumpsters #RESIST,false,2,1,0,2,1,-2
raemd95,"Wounded Warrior Project Spends Lavishly on Itself, Insiders Say https://t.co/EEPEvRI7Sn",2016-01-28T11:19:28.000Z,http://t.co/g2b1DqRwwP,raemd95,NA,false,4,1,0,2,1,-4
annmariepoli,"Wounded Warrior Project Spends Lavishly on Itself, Insiders Say https://t.co/q79vfOl5u6",2016-01-28T12:40:47.000Z,,Ann-Marie Poli,Garden State Resident,false,1,1,0,2,1,-1
michelekirkBPR,"Investigation: Wounded Warrior Project under fire, only spends 60 percent… https://t.co/dsv8TFvX86 Via @BizPacReview https://t.co/jRWDwjNRTG",2016-01-29T03:11:12.000Z,https://t.co/AEvRC2oZ8l,michelekirkBPR,"WPB, Fla",false,3,1,0,2,1,-3
starsandstripes,"Wounded Warrior Project denies claims of waste, lavish spending: https://t.co/cyFbNI0ihE",2016-01-29T03:51:06.000Z,http://t.co/ZCAvkaEGnV,Stars and Stripes,Washington D.C.,true,8,3,0,4,1,-8
11AliveNews,Wounded Warrior Project under fire for reported overspending | https://t.co/QKWHZ1AZQU https://t.co/g6QYyt6FAt,2016-01-30T21:58:12.000Z,https://t.co/7dHdCaeArh,11Alive News,Atlanta,true,2,1,0,2,1,-2
npquarterly,A Segway for $3 million dollars!? Wounded Warriors Project is under fire for out-of-control spending: https://t.co/Nwnxn4AF2t,2016-02-01T18:23:57.000Z,https://t.co/NtRRDyXic0,Nonprofit Quarterly,"Boston, MA",true,4,1,0,2,1,-4
DavidLublin,Really upsetting to read about possible corruption and wasteful spending at the Wounded Warrior Project charity: https://t.co/sYPJJYejAE,2016-02-25T13:50:54.000Z,https://t.co/bOBFIC4FGh,David Lublin,"Brooklyn, NY USA",false,1,1,0,2,1,-1
stormie_doyle,Broken heart! I held Wounded Warrior Project in very high esteem! Just watched news article 40% of funds go to admin and lavish parties!,2016-01-26T23:47:23.000Z,,Stormie Doyle🇺🇸🇺🇸 🌎✌🆘,"Fla, USA",false,1,1,0,1,0,-1
MusicWorm2015,.@wwp 60% of donations to warriors 40% to parties...this is where the @realDonaldTrump s donations will go...! @CBSNews #NOMORE,2016-01-26T23:58:05.000Z,https://t.co/cJuwyMYvQ8,Richard ✌,South Florida 👇🎶✌,false,1,1,0,1,0,-1
bionikmatt5,Wounded Warrior Project accused of wasting donation money - CBS News https://t.co/r8TMwfoKo5,2016-01-27T00:22:36.000Z,https://t.co/r6e0tmQiLy,Matthew Bradford,The Commonwealth of Kentucky,false,3,2,0,2,0,-3
CBSNewsRadio,A @CBSNews investigation into the Wounded Warrior Project finds just 60% of its budget is spent on veterans. https://t.co/Dw0cHZqOf8,2016-01-27T01:05:19.000Z,https://t.co/IR8OCfIPQn,CBS News Radio,United States ,true,8,1,0,1,0,-8
BryanJFischer,Open trench warfare between Trump and Fox: already up with an anti-Wounded Warrior story. https://t.co/wWNacRAmbX,2016-01-27T01:41:35.000Z,https://t.co/8sEAsylOjz,Bryan Fischer,Pacific Northwest,true,5,1,0,1,0,-5
BladdLadd,Shame on you @wwp only 60%to the warriors who gave 100% for their country.,2016-01-27T02:25:41.000Z,,Fred Ladd,NA,false,1,1,0,1,0,-1
torrHL,"Looking for some fraud, waste, and abuse? Wounded Warrior Project has it in spades: https://t.co/mvi7Q1ACjt @wwp https://t.co/ZjDxCyDyBl",2016-01-27T07:38:46.000Z,https://t.co/AKJooSNeC9,Torr Leonard,"Los Angeles, CA",false,2,2,0,2,0,-2
