user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
teeoffforeacaus,Read this piece about a donor to #wwp from North Dakota.  He asked someone at WWP if he had to pay for drinks... https://t.co/nuXpoChhhk,2016-03-06T19:00:36.000Z,http://t.co/30F3EfoaKj,Fred Kane,"Myrtle Beach, SC",false,1,2,0,1,-1,-1
TVAmy,BREAKING CEO AND COO of Wounded Warrior FIRED CBS News reports,2016-03-10T22:21:41.000Z,https://t.co/Pec6UZdfgZ,Amy Wood,"Greenville, South Carolina",true,1,1,0,0,-1,-1
10TampaBay,"#BREAKING: According to CBS, Wounded Warrior Project fires CEO, COO amid questions over spending.",2016-03-10T22:22:47.000Z,https://t.co/rHVdIDVNLL,10 Tampa Bay,"Tampa, Florida",true,1,4,0,0,-4,-1
WSBCamp,"JUST IN: Wounded Warrior Project CEO, COO fired amid controversy over spending .. @CBSRadioNews special report 5:31 @wsbradio",2016-03-10T22:24:35.000Z,http://t.co/LGhJKQEqcm,Chris Camp,NA,false,1,1,0,0,-1,-1
Pmroads,"CEO of the Wounded Warrior Project FIRED, let's see if they can turn it around!!!!",2016-03-10T22:27:40.000Z,,Gary Leader,NA,false,1,1,0,0,-1,-1
PeterKingCBS,@CBSNews  CONFIRMS Wounded Warrior Project has fired CEO and COO after lavish spending revealed in our investigative reports.,2016-03-10T22:32:27.000Z,https://t.co/zKNRFMPmkV,Peter King,Orlando-Kennedy Space Center,true,1,1,0,0,-1,-1
KLFY,Wounded Warrior Project executives fired amid spending controversy https://t.co/QWHrkLzVG5 https://t.co/mvFzoUOv1W,2016-03-10T22:42:17.000Z,https://t.co/uNXwTglTsk,KLFY NEWS 10,"Lafayette, LA",true,1,2,0,0,-2,-1
dilloncollier,.@CBSEveningNews report on the Wounded Warrior Project from earlier this year: https://t.co/ruWTzZw4g2,2016-03-10T22:44:06.000Z,https://t.co/6B25Lgw6Of,Dillon Collier,"San Antonio, TX",true,1,1,0,0,-1,-1
bobarcher1,"RT CBSNews ""A look at CBSNews' three-part investigation into the Wounded Warrior Project: https://t.co/uCHMXL1k0k https://t.co/msjR1cB8y5""",2016-03-10T22:47:09.000Z,,bobarcher,Cleveland ...Rocks!   Ohio,false,1,1,0,0,-1,-1
JJCarafano,"Wounded Warrior Project CEO, COO fired amid controversy over spending https://t.co/HtVl9wJ66N",2016-03-10T22:52:25.000Z,https://t.co/ObUi6a6mHN,James Jay Carafano,"Washington, DC",false,1,4,0,0,-4,-1
KUTV2News,"NOW: Wounded Warrior Project CEO, COO fired after claims the charity wasted millions. https://t.co/tsOnGnzBpk #CBS https://t.co/Vgq6UHEVyN",2016-03-10T22:54:00.000Z,https://t.co/TubYxc5tg5,KUTV2news,Utah,true,1,1,0,0,-1,-1
LauraWalkerKC,CBS News reports Wounded Warrior Project charity dismisses CEO and COO after report on spending irregularities,2016-03-10T22:54:15.000Z,,Laura Walker ⚖🍸🇺🇸 🏴󠁧󠁢󠁳󠁣󠁴󠁿,The space between,false,1,1,0,2,1,-1
whiotv,Report: Wounded Warrior Project fires top executives amid controversy https://t.co/AJLCVMyoIp https://t.co/0e8KsCmWwm,2016-03-10T23:00:23.000Z,https://t.co/VkEJQ271l5,WHIO-TV,"Dayton, OH",true,1,5,0,0,-5,-1
badjin_rank,Wounded Warrior Project execs fired https://t.co/Lm0PIzq9uq #boutdamnedtime via @CBSNews https://t.co/Xb0CWvS48L,2016-03-10T23:08:51.000Z,https://t.co/awgGgQ6kE4,Rank Badjin,"North America, Earth, Sol System",false,1,6,0,1,-5,-1
krqe,#WoundedWarrior Project board fires executives https://t.co/d5r9Ukd7Qe,2016-03-10T23:11:20.000Z,http://t.co/o3pxIgTolk,KRQE News 13,"Albuquerque, New Mexico",true,1,3,0,0,-3,-1
jaxdotcom,"Wounded Warrior board fires two top executives, CBS News reports - https://t.co/fDUkt0vNU1 https://t.co/XppPrKwtze",2016-03-10T23:13:46.000Z,https://t.co/klL8bWODTR,Florida Times-Union,"Jacksonville, FL",true,1,4,0,0,-4,-1
jax_just_in,"Wounded Warrior board fires two top executives, CBS News reports https://t.co/EMdFd5d9rF",2016-03-10T23:16:19.000Z,http://t.co/3pFeSMIFGa,Jacksonville.com,"Jacksonville, FL",false,1,1,0,0,-1,-1
kpaxnews,The Wounded Warrior Project's board has fired the CEO and COO https://t.co/lSDN9zM6u0 https://t.co/86QWw1GDMN,2016-03-10T23:19:45.000Z,http://t.co/x6J3OA9NXb,KPAX Missoula News,"Missoula, MT",true,1,1,0,0,-1,-1
Zeke311,Wounded Warrior Project reportedly fires top executives amid spending controversy | Fox News https://t.co/Yv4ilXNTZ3,2016-03-10T23:20:59.000Z,,Zeke,"Kansas, USA",false,1,1,0,0,-1,-1
10NewsHunt,"#BREAKING: Wounded Warrior Project CEO, COO fired amid spending scandal https://t.co/kNc8Hl5ZvM @WashTimes",2016-03-10T23:26:28.000Z,,Kimberly Hunt,San Diego,true,1,4,0,1,-3,-1
Marklikeswine,Sickening that people use charitable contributions this way #WoundedWarriors    https://t.co/MwHehzJfhf,2016-03-10T23:28:39.000Z,,Mark Edwards,NA,false,1,2,0,1,-1,-1
adfoozsixx,@chriskrokshow Wounded Warrior Project execs fired. https://t.co/iv6QjBwexS Wasn't this Project a topic not too long ago in your broadcast?,2016-03-10T23:29:00.000Z,,A.D. \Mikkhi/ Sixx,Verge Vendor,false,1,2,0,0,-2,-1
Ohiomom6,Wounded Warrior Project execs fired after questions about charity's spending https://t.co/iP9PwJBKuY,2016-03-10T23:33:24.000Z,,Ohiomom,"Ohio, USA",false,1,1,0,0,-1,-1
coldcasejustice,Wounded warrior project top two executives fired for 40-50% donations not used for veterans..about time!,2016-03-10T23:36:04.000Z,https://t.co/d5bbZZqI7w,Cold Case Justice,"Atlanta, GA",false,1,1,0,0,-1,-1
rawolf35,"Wounded Warrior Top Execs Resign Over Accusations of Misuse of Funds and Lavish Lifestyles.  Investigate them 
https://t.co/MbJgeGgxvQ",2016-03-10T23:37:16.000Z,https://t.co/I3rbwFwklC,Richard Wolf,Elkhart Indiana,false,1,1,0,0,-1,-1
VictoryPI,"Wounded Warrior Project: Top executives at US's largest veterans' charity fired after probe into spending
https://t.co/Dtd0L9hGn5",2016-03-10T23:38:21.000Z,http://t.co/H9yokTIdaW,S. Kelly Summey,NC,false,1,1,0,0,-1,-1
rssworldnews,Google News :  Wounded Warrior Project's top execs reportedly resign amid lavish spending scandal - Fox News https://t.co/z9mHvLedse,2016-03-10T23:41:59.000Z,https://t.co/iOjWhnFp8I,RSS - World News,All Around the Globe.,false,1,1,0,0,-1,-1
TroopsDirect,https://t.co/hN6NRmK0ah #greatnews #WoundedWarriors #lltb #wwp,2016-03-10T23:42:34.000Z,http://www.troopsdirect.org,TroopsDirect.org,"San Ramon, CA",false,1,1,0,0,-1,-1
PaulaDuvall2,"Wounded Warrior Project Spends Lavishly on Itself, Insiders Say - The New York Times https://t.co/VWvuNvBVL0",2016-03-10T23:47:38.000Z,,Paula Duvall,NA,false,1,1,0,0,-1,-1
Politics4All,SPENDING CONTROVERSY Wounded Warrior Project reportedly fires top execs https://t.co/Qhwr4IJCT8 #politics,2016-03-10T23:52:03.000Z,http://t.co/CWeXt4kpIP,Politics4All.com,Politics4All HQ,false,1,1,0,0,-1,-1
EntropyPress,"#WounderWarriorProject fires CEO&amp;COO for lavish spending of $800,000,000 worth of  donations  https://t.co/bnn6W8K8op",2016-03-10T23:55:48.000Z,https://t.co/dyKtHDGqDL,Rachael L. McIntosh,"Rhode Island, USA",false,1,2,0,0,-2,-1
snorton901,The @WWP fires CEO &amp; COO over spending irregularities. Spent $26M on meetings/conferences in 2014 https://t.co/EIji0I4O1E,2016-03-10T23:58:50.000Z,,Stephanie Norton,"Memphis, TN",false,1,1,0,2,1,-1
Littlebigsuz,"Wounded Warrior Project Spends Lavishly on Itself, Insiders Say https://t.co/0ISgrlKBBD",2016-03-10T23:59:46.000Z,,Susan Hakala,NA,false,1,1,0,0,-1,-1
lougarduno1,Wounded Warrior Project's top execs reportedly fired amid lavish spending scandal https://t.co/FLQNf6DCG1 via the @FoxNews Android app,2016-03-11T00:02:01.000Z,,CommoScorpio,NA,false,1,1,0,0,-1,-1
PulpNews,"Wounded Warrior board #fires two top executives, CBS News reports - Mar 10 @ 7:07 PM ET  https://t.co/UcUk3GUXzg",2016-03-11T00:07:59.000Z,https://t.co/iQ8c4IcHeC,PulpNews Crime,USA,false,1,1,0,0,-1,-1
JimCoyle4,Wounded Warrior Project's top execs reportedly fired amid lavish spending scandal | Fox News https://t.co/hXDcNWwYNI,2016-03-11T00:15:32.000Z,,Jim Coyle,NA,false,1,1,0,0,-1,-1
membracelets,CBS reports that Wounded Warrior Project spent $26 million on conferences and meetings in 2014. Memorial... https://t.co/DEdpPkxc4D,2016-03-11T00:16:43.000Z,http://t.co/zXPDmCjJCU,Memorial Bracelets,Michigan,false,1,1,0,0,-1,-1
fin487,"Hey Nardizzi! Giordano! 
Go take a flying fuck at a rolling donut
Go take a flying fuck at the moon
#WoundedWarriors https://t.co/OTQxzdLBXx",2016-03-11T00:16:45.000Z,,John Smith Of the Smiths Of the Smithtown Smithy,noosphere,false,1,1,0,1,0,-1
Karney44,"PUT THEM IN JAIL. #Travesty 
Wounded Warrior Project's top execs reportedly fired amid lavish spending scandal  https://t.co/0TYgseUox5",2016-03-11T00:20:01.000Z,https://t.co/xvGXRfV6eE,Mike Karney,"Coto de Caza, CA",false,1,3,0,0,-3,-1
PatriciaPotyka,"Wow. Just wow. 

(Read about some of the items this organization spent donor funds on.) 

Wonder if CNN Politics... https://t.co/44svSpMEBL",2016-03-11T00:20:42.000Z,,"PatriciaSpencerPotyka, M.A.","Austin, Texas",false,1,1,0,0,-1,-1
Ocean_State211,https://t.co/dmCKfcrhT0  @WoundedWarriors BOD fired CEO @stevenardizzi + COO #AlGiordano after accusations of lavish spending went public,2016-03-11T00:23:44.000Z,,Marjorie 😷- Ocean state🌊,Rhode Island,false,1,1,0,0,-1,-1
JupiterFlyer,Wounded Warrior Project's top execs reportedly fired amid lavish spending scandal - Fox News: Fox NewsWounded ... https://t.co/0V27TAzTsH,2016-03-11T00:26:20.000Z,,Jupiter Flyer,NA,false,1,1,0,0,-1,-1
FreeTalkLive,"""The two top executives of the Wounded Warrior Project — among the largest veterans charities in the country —... https://t.co/MW8BzxVXzp",2016-03-11T00:34:21.000Z,http://t.co/lQCW23tqDu,FreeTalkLive,"Keene, New Hampshire",false,1,1,0,0,-1,-1
AGirlOnACliff,From WBZ Boston: The CEO and COO of the Wounded Warrior Project have been fired after a CBS News investigation over lavish spending.,2016-03-11T00:38:57.000Z,,Tric,"Massachusetts, USA",false,1,1,0,0,-1,-1
Kadeene98,Wounded Warrior Project execs fired https://t.co/u8PZubk3nB,2016-03-11T00:38:57.000Z,,Karen Burchill,"Philadelphia, PA",false,1,1,0,0,-1,-1
aionVlad,"Wounded Warrior Project's top execs reportedly fired amid lavish spending scandal 
https://t.co/m7fiGVg21c",2016-03-11T00:39:53.000Z,,Vladiya,Who even knows anymore,false,1,1,0,1,0,-1
patriots928,Making America Victorious Again!   https://t.co/AgaDsEYGxI Wounded Warrior Project's top execs reportedly fired... https://t.co/ArtmyrcBAy,2016-03-11T00:43:19.000Z,https://t.co/9zbVxSuuK5,Timothy Brown,United States,false,1,1,0,0,-1,-1
LiberalVoiceTV,Wounded Warrior Project Fires CEO After Spending Questions: By Ryan Grenoble Top executives at the Wo... https://t.co/Iyi7A54RKG #liberal,2016-03-11T00:44:10.000Z,http://t.co/6ZgCvEWOcx,Liberal Voice,America,false,1,1,0,0,-1,-1
Michael_Yon,"Wounded Warrior Troubles

I warned about them years in advance.... https://t.co/0uPH283b9h",2016-03-11T00:44:59.000Z,https://t.co/jA6aD0agBB,Michael Yon,Global -- Currently on Earth,false,1,1,0,1,0,-1
CrystalQMVA2016,Glad the shareholders nipped in the bud.  I hope the WWP can pull up their boot straps continue to do good things. https://t.co/3k5tOMvSw2,2016-03-11T00:56:44.000Z,https://t.co/IdG1SgJ3HB,Crystal Quezada,"Virginia, USA",false,1,1,0,0,-1,-1
DWongDC,Report: Wounded Warrior Project executives fired amid controversy https://t.co/JbcIPSsOLR,2016-03-11T00:57:04.000Z,,Doug Wong,"Washington, DC",false,1,1,0,0,-1,-1
wcbs880,Top Execs At Wounded Warrior Project Fired After CBS News Probe https://t.co/6VYFvYoVia,2016-03-11T01:04:04.000Z,https://t.co/PfwxMyiQwT,WCBS Newsradio 880,"New York, NY",true,1,1,0,0,-1,-1
ennuigo,"Check your charities out before handing over a check, friends. https://t.co/XyRMHuYVwD Look here first: https://t.co/ShgyWr0Y55",2016-03-11T01:10:35.000Z,https://t.co/UZOHdeU6jc,Kirsten Schofield,Kentucky,false,1,2,0,0,-2,-1
kevinbeaver,"Oopsy, Wounded Warrior Project. https://t.co/VSbcxFo9b9 Partying like gov't officials. I think I'll change my AmazonSmile charity for now.",2016-03-11T01:10:47.000Z,https://t.co/YvjwY0uHFB,Kevin Beaver,"Metro Atlanta, GA",false,1,1,0,1,0,-1
Literatrix,"I am just sick about this: Wounded Warrior Project CEO, COO fired amid spending scandal https://t.co/8mItSbt6sd via @washtimes",2016-03-11T01:14:12.000Z,https://t.co/f675qeCQ9i,Angela St Lawrence,you will find me,false,1,2,0,0,-2,-1
ouramendments,"Wounded Warrior Project top execs reportedly fired amid lavish spending scandal | Fox News | https://t.co/I5xgwoCpzN
YOU BETTER RUN NARDIZZI",2016-03-11T01:18:49.000Z,,JRA,NA,false,1,1,0,0,-1,-1
WFMGINC,Top executives fired from Wounded Warrior Project after spending questions https://t.co/PfA8EfCR1d # via @HuffPostImpact #Capitalism,2016-03-11T01:28:06.000Z,https://t.co/kOtek0Q7Ja,Frank®™,Scottsdale 🛫🛬 La,false,1,1,0,0,-1,-1
Swim4SpecOps,"Good.  Time to give WWP back to the Wounded Warriors #DontLetTheDoorHitYaWhereTheGoodLordSplitYa ✌🏼️

https://t.co/hEkgO1Unp0",2016-03-11T01:36:03.000Z,https://t.co/FrI40X9pMF,Swim for Special Ops,"North Carolina, USA",false,1,1,0,1,0,-1
Scarlettontv,Wounded Warrior Project's top execs reportedly fired amid lavish spending scandal | Fox News | https://t.co/kK4oJA8WmF,2016-03-11T01:49:41.000Z,,Scarlett Horton,"Houston, TX",true,1,1,0,0,-1,-1
therealnews2018,Wounded Warrior Project Fires CEO After Spending Questions https://t.co/E0QRgyegUO https://t.co/hiOkupzr9C,2016-03-11T01:54:34.000Z,,news,United States,false,1,1,0,0,-1,-1
cbinflux,Wounded Warrior Project's top execs reportedly fired amid lavish spending scandal  https://t.co/rVWSmdR3Ma,2016-03-11T02:01:45.000Z,https://t.co/IvqG6IWqOR,JT Badenov,Mid-South,false,1,1,0,1,0,-1
YachtAidGlobal,Be careful who you donate to ask the tough questions about how your donatuon is used read annual reports etc. https://t.co/0fHdU70ZzY,2016-03-11T02:02:46.000Z,https://t.co/KzjcPvhXyo,YachtAid Global,"Encinitas, CA",false,1,1,0,0,-1,-1
5NEWS,"Wounded Warrior Project Execs Fired. 
https://t.co/5Yb6qoh1Tx",2016-03-11T02:03:03.000Z,https://t.co/Hz4hlwnBPW,5NEWS,"Fort Smith - Fayetteville, AR",true,1,2,0,0,-2,-1
bartmckinley,Wounded Warrior CEO &amp; COO  fired amid wasteful spending scandal   https://t.co/tT956sFtl1 #Veterans  #Military,2016-03-11T02:06:23.000Z,,Joe McKinley,NA,false,1,2,0,2,0,-1
therealnews2018,"Wounded Warrior Project Spends Lavishly on Itself, Insiders Say https://t.co/iGhcC6fKVV https://t.co/nJw5FTHDqw",2016-03-11T02:12:26.000Z,,news,United States,false,1,2,0,0,-2,-1
RichardDelToro,Wounded Warrior Project's top execs reportedly fired amid lavish spending scandal via the @FoxNews App https://t.co/SlocUI6mjm,2016-03-11T02:37:56.000Z,,Richard Del Toro,"Florida, USA",false,1,1,0,1,0,-1
