user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
FortuneMagazine,Hillary Clinton says Wells Fargo CEO John Stumpf owes all his customers a ‘clear explanation’ https://t.co/pp3so1rwI8 https://t.co/JpZZDJnHgW,2016-09-20T11:40:04.000Z,https://t.co/lCONu6h82G,FORTUNE,New York,true,10,19,17,14,-5,7
dcexaminer,Elizabeth Warren tells Wells Fargo CEO he should resign and be prosecuted https://t.co/w5EGr2DuDW https://t.co/MKma36feiP,2016-09-20T16:35:29.000Z,https://t.co/rUG6hFZCFo,Washington Examiner,"Washington, DC",true,3,5,10,12,7,7
jennablan,"Wells Fargo CEO Defends Bank Culture, Lays Blame With Bad Employees https://t.co/HePjLGaslT via @WSJ",2016-09-13T21:34:27.000Z,https://t.co/NrWO5G0BVr,Jennifer Ablan,"Manhattan, NY",true,3,1,9,0,-1,6
ReneSolorio,"5,300 Wells Fargo employees fired for creating millions of phony accounts.  https://t.co/STCDnCdCbt",2016-09-08T19:34:48.000Z,https://t.co/43XozvKOpT,renesolorio,"Los Angeles, CA",false,7,3,11,0,-3,4
FOXLA,"Wells Fargo CEO John Stumpf will forfeit 2016 salaries including bonuses
https://t.co/5F4aaKLM2j",2016-09-28T04:24:50.000Z,https://t.co/R7oV4eT8Wh,FOX 11 Los Angeles,"Los Angeles, CA",true,1,11,5,2,-9,4
njdotcom,"Wells Fargo bank fined $185 million, fires thousands over unauthorized accounts https://t.co/XXY4YPAQBf https://t.co/wyKwSJ8Tqn",2016-09-08T21:44:37.000Z,http://t.co/EwBeRIRiVv,njdotcom,New Jersey,true,3,14,6,0,-14,3
CNBC,Wells Fargo CFO blames unauthorized accounts on under-performers https://t.co/y7NtHYi0Up,2016-09-13T14:23:36.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,7,7,10,11,4,3
FoxBusiness,".@SenWarren on @WellsFargo: ""Is this a case of a bank that is so giant that you really can't manage it?"" https://t.co/QU913OqqkY",2016-09-15T17:45:07.000Z,https://t.co/ytWMvJlUP9,FOX Business,"New York, NY",true,8,12,11,35,23,3
m_delamerced,Wells Fargo CEO’s face in the middle of Sen. Warren’s “you should resign … and be criminally investigated” broadside https://t.co/U3XooAaWWT,2016-09-20T16:08:21.000Z,https://t.co/FLWXN6I5Iw,Michael de la Merced,London (& NY) via SF (& NY),true,2,19,5,4,-15,3
jentaub,"Wells Fargo CEO said: ""I disagree with the fact that this is a massive fraud""",2016-09-20T17:04:08.000Z,https://t.co/2gYnXvyx15,Jennifer Taub 🌻 🇺🇸,NA,true,3,2,6,1,-1,3
FromCarl,Four @WellsFargo workers say they were fired for filing ethics complaints. @MattMEgan5 w/ the scoop for @CNNMoney: https://t.co/384vjuD5Sg,2016-09-21T13:40:40.000Z,https://t.co/nGTYb5GBWr,Carl Lavin,"Austin, TX",true,2,2,5,0,-2,3
orlandosentinel,"Wells Fargo could take back more than $50 million from embattled CEO
https://t.co/dVuyzyltLB https://t.co/MLidwvV6GK",2016-09-24T21:48:08.000Z,https://t.co/kw0PfdCcdl,Orlando Sentinel,"Orlando, FL",true,2,3,5,1,-2,3
DanielAlpert,"Unbelievable, widespread fraud at $WFC. I've said for years that the bank's income and provisioning are implausible
https://t.co/pAgqIXeNRN",2016-09-08T19:28:56.000Z,https://t.co/0W3YHeHcdR,Dan Alpert,New York,false,2,2,4,2,0,2
WBTV_News,#BREAKING: Wells Fargo fined $185 million for improper account openings https://t.co/bcmgAlgqOt https://t.co/sLI5yxVPto,2016-09-08T19:29:51.000Z,https://t.co/GKwjEjSkmA,WBTV News,Charlotte & surrounding areas,true,2,1,4,1,0,2
wjxt4,"BREAKING: 5,300 Wells Fargo employees fired for creating millions of phony accounts - https://t.co/pyYly8MCCJ https://t.co/QW0IXc7szD",2016-09-08T19:41:46.000Z,https://t.co/jxNOTgcwdl,News4JAX,"Jacksonville, Fla.",true,9,5,11,0,-5,2
Nanner555,"WELLS FARGO SCAM: Responsible exec Carrie Tolstedt ""retired"" with $124.6 MILLION DOLLAR pay day. #wellsfargoScandal  https://t.co/rW9KhJzd4v",2016-09-13T16:02:33.000Z,,MAGA Patriot 🇺🇸,"TRUMP, USA",false,3,3,5,0,-3,2
jimcramer,I want to thank all of you for helping me with my interview of John Stumpf from Wells Fargo on @MadMoneyOnCNBC Could not do it without you,2016-09-14T02:24:07.000Z,https://t.co/GnLAn0PlX8,Jim Cramer,New York City,true,4,70,6,14,-56,2
DavidASinger,You can't be serious!  Wells Fargo Boss Says Staff at Fault for Scams https://t.co/ysg4aRw7HZ,2016-09-14T12:33:44.000Z,,David A. Singer,NY Metro,false,1,2,3,0,-2,2
DMRegister,#WellsFargo CEO: 'Sorry' but millions of unapproved accounts wasn't a 'scheme' https://t.co/8Co4pqBh9F,2016-09-20T16:35:10.000Z,https://t.co/l1zKlTUG8R,Des Moines Register,"Des Moines, Iowa, USA",true,1,1,3,0,-1,2
globeandmail,Wells Fargo CEO to apologize for betraying customers’ trust https://t.co/bVDObeRw19 from @GlobeBusiness https://t.co/npSOVRvSBX,2016-09-20T19:03:44.000Z,https://t.co/et2oIjDfo5,The Globe and Mail,Canada,true,1,1,3,1,0,2
PierParty,Elizabeth Warren Destroys Wells Fargo’s CEO: ‘You Should Be Criminally Investigated’ via @thenation https://t.co/lsbJgxoKRA,2016-09-21T11:39:36.000Z,,ＰｉｅｒＰａｒｔｙ,NA,false,1,1,3,0,-1,2
