user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
SenWarren,"If you missed my questions for @WellsFargo CEO John Stumpf on his gutless leadership earlier today, take a look. https://t.co/5brb1ARRqC",2016-09-21T00:37:16.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1782,4145,527,572,-3573,-1255
HillaryClinton,Appalling behavior from Wells Fargo. This is exactly why we need a strong @CFPB—and can't let Trump dismantle it. https://t.co/tTA2jz7unf,2016-09-09T21:10:47.000Z,https://t.co/99DVW9q1yt,Hillary Clinton,"New York, NY",true,1531,3963,156,565,-3398,-1375
SenWarren,Watch my questioning of @WellsFargo CEO John Stumpf &amp; his gutless leadership at today’s @SenateBanking hearing: https://t.co/5brb1AAgz4,2016-09-20T19:05:02.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,977,2367,307,348,-2019,-670
SenSanders,"Fraud at big banks:
✅ Bank of America 
✅ Wells Fargo
✅ Goldman Sachs

It's about time to break up these big banks.",2016-10-06T16:31:00.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,1412,3695,266,303,-3392,-1146
SenWarren,".@WellsFargo CEO John Stumpf should resign, give back the money he took while the scam was going on, &amp; be criminally investigated.",2016-09-20T19:03:38.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1468,3739,145,280,-3459,-1323
SenSanders,"How many people at Wells Fargo are going to jail? Zero. But if you smoke marijuana in this country, you get a criminal record.",2016-09-20T13:56:19.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,9022,14503,642,267,-14236,-8380
SenWarren,"As I said: @WellsFargo CEO Stumpf should resign, return every nickel he made during the scam, &amp; face DOJ/SEC investigation. He’s 1 for 3.",2016-10-12T23:08:54.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1519,4485,135,250,-4235,-1384
SenSanders,"It's a disgrace that while Americans were defrauded by Wells Fargo, the executive in charge received $124 million. https://t.co/QKwO5ZTuu3",2016-09-12T15:47:22.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,2406,3220,228,245,-2975,-2178
SenSanders,"How many people at Wells Fargo are going to go to jail? Zero. But if you smoke marijuana in this country, you get a criminal record.",2016-09-16T13:22:01.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,7855,13837,525,233,-13604,-7330
cspan,".@SenWarren #WellsFargo CEO: ""You should resign. You should give back the money that you took..."" https://t.co/aPZViWGJIN",2016-09-20T16:14:39.000Z,https://t.co/L3A4afzX6T,CSPAN,"Washington, D.C.",true,3610,5025,1516,227,-4798,-2094
CNN,"Elizabeth Warren to Wells Fargo CEO: ""You should resign"" and be ""criminally investigated"" https://t.co/K2mdkNfhhm https://t.co/1tTXUhXSm3",2016-09-21T01:36:49.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,994,1845,209,208,-1637,-785
SenSanders,"Wells Fargo has shown that 7 years after the crash, fraud still appears to be the business model on Wall Street. https://t.co/gNGdZbq94X",2016-09-16T20:41:06.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,3496,5641,307,206,-5435,-3189
