user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
DaveAtherton20,"Mr @davidlammy I'm pleased to say I not only didn't pledge any money to Comic Relief, I didn't even watch the show. Your praise for me would be welcome.",2019-03-16T12:30:51.000Z,https://t.co/HFzFHDA2ER,David Atherton,London,false,378,1495,35,153,-1342,-343
RomeshRanga,Guardian article about Comic Relief mate : https://t.co/kXiNpLpZjT,2019-03-16T12:07:19.000Z,https://t.co/3U1ZwjwkPR,Romesh Ranganathan,NA,true,136,1058,14,48,-1010,-122
BritishComedy,"Free tickets to be in the studio audience for @ComicRelief 2019 on 15 March: https://t.co/OF4tWWkvO6 

Confirmed presenters: Sir @LennyHenry, @EmmaWillis, @PaddyMcGuinness, @RomeshRanga, @AleshaOfficial, @ZoeTheBall, David Tennant, @ClaraAmfo, @RobBeckettComic and @Joe_Sugg https://t.co/Hin5EQ8Vwb",2019-02-25T20:27:01.000Z,https://t.co/ErCAozcIO4,British Comedy Guide,London,true,91,994,19,31,-963,-72
CorbynistaEdith,"Every year I go to my mum's and we watch Comic Relief together. I always donate what I can, usually around £20. This year I've decided not to watch or donate as I don't want to perpetuate the ""white saviour"" image. Best of luck to everyone involved this year ❤️",2019-03-08T11:08:13.000Z,,Corbynista Edith #WeAreCorbyn,"Canterbury, England",false,204,750,38,173,-577,-166
rodbishop15,I don’t think the NZ PM is right to call for an end to right wing extremism. She should call for an end to ALL extremism. Remember ALL lives matter and David Lammy criticising white saviours? We don’t need more division we need balance in approach.,2019-03-20T18:18:41.000Z,,Rod Bishop 💎,NA,false,166,711,11,51,-660,-155
MoodySlayerUK,I'm guessing David Lammy thought Stacey Dooley was just a Strictly dancer and not a serious documentary maker. As usual he's made himself look like a complete knob.,2019-02-27T20:05:26.000Z,,Европейский комиссар,"Владивосток, Приморский край",false,78,400,5,22,-378,-73
bobmca1,"David Lammy criticised as Comic Relief hit by drop in donations

https://t.co/yU94cAIkOv",2019-03-16T22:10:58.000Z,,Bob M 💙🇬🇧💫,"Scotland, UK",false,197,347,45,109,-238,-152
Baddiel,I'm hosting #UniversityChallenge for @comicrelief. Teams include @JasonManford @JudgeRinderTV @EmAtack @VickNHope @DarrenHarriott @KerryAGodliman @luisaomielan and Martin Freeman. Sadly no @DavidLammy. https://t.co/F7VpRrBgfE,2019-03-05T12:10:04.000Z,https://t.co/SHJBLweD9g,David Baddiel,London,true,18,251,2,4,-247,-16
kazmc39,"So this year instead of donating to @comicrelief as our money is obviously not wanted according to @DavidLammy why don’t you donate instead to this amazing cause. Minds at War run by @mcguigan_norman helping our veterans suffering with PTSD

https://t.co/zG1WnuV9EB",2019-03-11T06:51:13.000Z,,KazMc 🇬🇧🇬🇧🇬🇧,NA,false,157,233,8,19,-214,-149
campbellclaret,Fan/friend of @DavidLammy but really hope his attack on @comicrelief does not deter donors. In addition to their great work overseas they are one of the biggest supporters of mental health campaigns at home @TimetoChange @MindCharity @Rethink_ we would do a lot worse without them,2019-03-04T15:51:03.000Z,https://t.co/9Hm6oKvJe6,ALASTAIR CAMPBELL,London,true,32,203,3,39,-164,-29
BBCR1,"Very cheeky, David Beckham! 😉 

@Scott_Mills and @Chris_Stark are 20 hours into Radio 1's #LOLathon and even Golden Balls is getting involved! 🔴 

To donate to @comicrelief &amp; for T&amp;Cs please visit https://t.co/48RuyzVNDg https://t.co/2dgNg9zwHE",2019-03-07T09:08:00.000Z,https://t.co/meTBaIOsf1,BBC Radio 1,UK,true,24,195,7,4,-191,-17
Kalimeralynn,Comic Relief.   At Mr Lammy's request your donations are not appreciated as classed as 'White Saviours Donations.' Instead give your money to more worthwhile causes eg Veterans Societies or local animal charities who will be very grateful for your donations https://t.co/soymHbhIQI,2019-03-11T16:35:32.000Z,,Lynn English: I am Immune to Mind Control,East Anglia,false,102,183,9,23,-160,-93
nowhitesaviors,"The @StaceyDooley story with @comicrelief is far worse than any of us thought. The celebrity and the charity lied about the context of the photo. Just as we had assumed based on the child’s expression and well...white saviourism is quite predictable

https://t.co/BWaifuQlQ7",2019-03-09T07:51:41.000Z,https://t.co/Xsxyta4waL,No White Saviors,"Kampala, Uganda",false,102,140,21,5,-135,-81
kazmc39,"I wouldn’t want to be thought of as a do gooder “White Saviour”, as @DavidLammy has said we are, instead I’ll be sending additional money to a local charity @StChrisHospice who were amazing looking after my dad and giving him so much dignity in his final weeks. https://t.co/AzrOzOe3bA",2019-03-10T13:05:54.000Z,,KazMc 🇬🇧🇬🇧🇬🇧,NA,false,53,132,10,23,-109,-43
DuncanWeldon,I now sort of want David Lidington to become PM. Just so journalists and opposition researchers are forced to read through this looking for “unhelpful quotes”. https://t.co/s168JhLOTL,2019-03-24T07:01:10.000Z,https://t.co/67ejUBx3EK,Duncan Weldon,Hertford ,true,30,125,2,2,-123,-28
