user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
bobmca1,"David Lammy criticised as Comic Relief hit by drop in donations

https://t.co/yU94cAIkOv",2019-03-16T22:10:58.000Z,,Bob M 💙🇬🇧💫,"Scotland, UK",false,197,347,45,109,-238,-152
CorbynistaEdith,"Every year I go to my mum's and we watch Comic Relief together. I always donate what I can, usually around £20. This year I've decided not to watch or donate as I don't want to perpetuate the ""white saviour"" image. Best of luck to everyone involved this year ❤️",2019-03-08T11:08:13.000Z,,Corbynista Edith #WeAreCorbyn,"Canterbury, England",false,204,750,38,173,-577,-166
DaveAtherton20,"Mr @davidlammy I'm pleased to say I not only didn't pledge any money to Comic Relief, I didn't even watch the show. Your praise for me would be welcome.",2019-03-16T12:30:51.000Z,https://t.co/HFzFHDA2ER,David Atherton,London,false,378,1495,35,153,-1342,-343
thetimes,"Comic Relief suffered an £8m fall in donations for its Red Nose Day appeal, prompting a backlash against David Lammy, the Labour MP who sparked a debate about the charity’s role in perpetuating a “white saviour” complex https://t.co/BN6NmRJeXV",2019-03-16T23:25:07.000Z,http://t.co/GAsNZkMcoP,The Times,London,true,20,39,23,72,33,3
nowhitesaviors,"The @StaceyDooley story with @comicrelief is far worse than any of us thought. The celebrity and the charity lied about the context of the photo. Just as we had assumed based on the child’s expression and well...white saviourism is quite predictable

https://t.co/BWaifuQlQ7",2019-03-09T07:51:41.000Z,https://t.co/Xsxyta4waL,No White Saviors,"Kampala, Uganda",false,102,140,21,5,-135,-81
BritishComedy,"Free tickets to be in the studio audience for @ComicRelief 2019 on 15 March: https://t.co/OF4tWWkvO6 

Confirmed presenters: Sir @LennyHenry, @EmmaWillis, @PaddyMcGuinness, @RomeshRanga, @AleshaOfficial, @ZoeTheBall, David Tennant, @ClaraAmfo, @RobBeckettComic and @Joe_Sugg https://t.co/Hin5EQ8Vwb",2019-02-25T20:27:01.000Z,https://t.co/ErCAozcIO4,British Comedy Guide,London,true,91,994,19,31,-963,-72
boblister_poole,"Family of Ugandan boy Stacey Dooley posed with in Uganda speak out
I thought Foreign Aid was supposed to help? But of course it goes to dictators to build palaces &amp; buy jets! https://t.co/mByC80MMOF",2019-03-09T08:27:17.000Z,,Bob For A Full Brexit,"South West, England",false,66,103,14,22,-81,-52
RomeshRanga,Guardian article about Comic Relief mate : https://t.co/kXiNpLpZjT,2019-03-16T12:07:19.000Z,https://t.co/3U1ZwjwkPR,Romesh Ranganathan,NA,true,136,1058,14,48,-1010,-122
rodbishop15,I don’t think the NZ PM is right to call for an end to right wing extremism. She should call for an end to ALL extremism. Remember ALL lives matter and David Lammy criticising white saviours? We don’t need more division we need balance in approach.,2019-03-20T18:18:41.000Z,,Rod Bishop 💎,NA,false,166,711,11,51,-660,-155
kazmc39,"I wouldn’t want to be thought of as a do gooder “White Saviour”, as @DavidLammy has said we are, instead I’ll be sending additional money to a local charity @StChrisHospice who were amazing looking after my dad and giving him so much dignity in his final weeks. https://t.co/AzrOzOe3bA",2019-03-10T13:05:54.000Z,,KazMc 🇬🇧🇬🇧🇬🇧,NA,false,53,132,10,23,-109,-43
EdwardAdoo,"My latest @HuffPost piece ...
“Demonising The Likes Of @StaceyDooley Will Only Deter People From Contributing To Charities Like Comic Relief” 
https://t.co/1Ej2ULyh0m",2019-03-04T00:21:27.000Z,https://t.co/VlZEeZplWj,Edward Adoo,London,true,2,4,9,10,6,7
Kalimeralynn,Comic Relief.   At Mr Lammy's request your donations are not appreciated as classed as 'White Saviours Donations.' Instead give your money to more worthwhile causes eg Veterans Societies or local animal charities who will be very grateful for your donations https://t.co/soymHbhIQI,2019-03-11T16:35:32.000Z,,Lynn English: I am Immune to Mind Control,East Anglia,false,102,183,9,23,-160,-93
LiveUpdateSyria,"""I am not a part of any terrorist org the government has said that via their own admission. So why am I being punished and my citizenship being revoked?"" @ttoxsharif #AreWeBritish @sajidjavid @SalmaYaqoob @DavidLammy @ShirazMaher @MaajidNawaz @adamdeen @SadiqKhan @StaceyDooley https://t.co/JFx93JYm2p",2019-03-05T00:49:35.000Z,,Live Updates Family,Syria,false,65,75,8,16,-59,-57
theipaper,"David Lammy is a truly remarkable politician, but his Stacey Dooley takedown was out of order. | @y_alibhai

https://t.co/tqxI2tLssC",2019-03-05T12:35:00.000Z,https://t.co/s9Rj8uSJsl,i newspaper,NA,true,3,21,8,16,-5,5
aidnography,The #whitesaviour debate is an excellent opportunity to look at core elements of ritual communication; I'm suggesting 10 easy steps to keep circular #globaldev debates going without too much painful learning &amp; change...  https://t.co/0WZIkC1glb https://t.co/iTPY3gnpTW,2019-03-05T12:38:14.000Z,https://t.co/NWeniklaJq,Tobias Denskus,Malmö,false,24,50,8,1,-49,-16
kazmc39,"So this year instead of donating to @comicrelief as our money is obviously not wanted according to @DavidLammy why don’t you donate instead to this amazing cause. Minds at War run by @mcguigan_norman helping our veterans suffering with PTSD

https://t.co/zG1WnuV9EB",2019-03-11T06:51:13.000Z,,KazMc 🇬🇧🇬🇧🇬🇧,NA,false,157,233,8,19,-214,-149
Transgendertrd,"BBC Comic Relief awarded £190,000 to Allsorts which runs transgender groups for 5-11 year-olds. ""Given the rising numbers of younger people identifying as transgender over the past few years, it’s easy to see what the strategy is here."" https://t.co/W2fhRdkoEM",2019-03-19T15:44:11.000Z,https://t.co/teOFz74U9H,TransgenderTrend,NA,false,58,100,8,8,-92,-50
dailyyonder,Last week’s New York Times columns by Paul Krugman and David Brooks offer textbook examples of the unhelpful frames that define our conversation about rural America. https://t.co/wnqaAZL7pR,2019-03-25T12:04:47.000Z,http://t.co/zQITdSDD5U,The Daily Yonder,Rural America,false,29,50,8,3,-47,-21
