user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
DaveAtherton20,"Mr @davidlammy I'm pleased to say I not only didn't pledge any money to Comic Relief, I didn't even watch the show. Your praise for me would be welcome.",2019-03-16T12:30:51.000Z,https://t.co/HFzFHDA2ER,David Atherton,London,false,378,1495,35,153,-1342,-343
CorbynistaEdith,"Every year I go to my mum's and we watch Comic Relief together. I always donate what I can, usually around £20. This year I've decided not to watch or donate as I don't want to perpetuate the ""white saviour"" image. Best of luck to everyone involved this year ❤️",2019-03-08T11:08:13.000Z,,Corbynista Edith #WeAreCorbyn,"Canterbury, England",false,204,750,38,173,-577,-166
bobmca1,"David Lammy criticised as Comic Relief hit by drop in donations

https://t.co/yU94cAIkOv",2019-03-16T22:10:58.000Z,,Bob M 💙🇬🇧💫,"Scotland, UK",false,197,347,45,109,-238,-152
rodbishop15,I don’t think the NZ PM is right to call for an end to right wing extremism. She should call for an end to ALL extremism. Remember ALL lives matter and David Lammy criticising white saviours? We don’t need more division we need balance in approach.,2019-03-20T18:18:41.000Z,,Rod Bishop 💎,NA,false,166,711,11,51,-660,-155
kazmc39,"So this year instead of donating to @comicrelief as our money is obviously not wanted according to @DavidLammy why don’t you donate instead to this amazing cause. Minds at War run by @mcguigan_norman helping our veterans suffering with PTSD

https://t.co/zG1WnuV9EB",2019-03-11T06:51:13.000Z,,KazMc 🇬🇧🇬🇧🇬🇧,NA,false,157,233,8,19,-214,-149
RomeshRanga,Guardian article about Comic Relief mate : https://t.co/kXiNpLpZjT,2019-03-16T12:07:19.000Z,https://t.co/3U1ZwjwkPR,Romesh Ranganathan,NA,true,136,1058,14,48,-1010,-122
nowhitesaviors,"The @StaceyDooley story with @comicrelief is far worse than any of us thought. The celebrity and the charity lied about the context of the photo. Just as we had assumed based on the child’s expression and well...white saviourism is quite predictable

https://t.co/BWaifuQlQ7",2019-03-09T07:51:41.000Z,https://t.co/Xsxyta4waL,No White Saviors,"Kampala, Uganda",false,102,140,21,5,-135,-81
Kalimeralynn,Comic Relief.   At Mr Lammy's request your donations are not appreciated as classed as 'White Saviours Donations.' Instead give your money to more worthwhile causes eg Veterans Societies or local animal charities who will be very grateful for your donations https://t.co/soymHbhIQI,2019-03-11T16:35:32.000Z,,Lynn English: I am Immune to Mind Control,East Anglia,false,102,183,9,23,-160,-93
BritishComedy,"Free tickets to be in the studio audience for @ComicRelief 2019 on 15 March: https://t.co/OF4tWWkvO6 

Confirmed presenters: Sir @LennyHenry, @EmmaWillis, @PaddyMcGuinness, @RomeshRanga, @AleshaOfficial, @ZoeTheBall, David Tennant, @ClaraAmfo, @RobBeckettComic and @Joe_Sugg https://t.co/Hin5EQ8Vwb",2019-02-25T20:27:01.000Z,https://t.co/ErCAozcIO4,British Comedy Guide,London,true,91,994,19,31,-963,-72
MoodySlayerUK,I'm guessing David Lammy thought Stacey Dooley was just a Strictly dancer and not a serious documentary maker. As usual he's made himself look like a complete knob.,2019-02-27T20:05:26.000Z,,Европейский комиссар,"Владивосток, Приморский край",false,78,400,5,22,-378,-73
boblister_poole,"Family of Ugandan boy Stacey Dooley posed with in Uganda speak out
I thought Foreign Aid was supposed to help? But of course it goes to dictators to build palaces &amp; buy jets! https://t.co/mByC80MMOF",2019-03-09T08:27:17.000Z,,Bob For A Full Brexit,"South West, England",false,66,103,14,22,-81,-52
LiveUpdateSyria,"""I am not a part of any terrorist org the government has said that via their own admission. So why am I being punished and my citizenship being revoked?"" @ttoxsharif #AreWeBritish @sajidjavid @SalmaYaqoob @DavidLammy @ShirazMaher @MaajidNawaz @adamdeen @SadiqKhan @StaceyDooley https://t.co/JFx93JYm2p",2019-03-05T00:49:35.000Z,,Live Updates Family,Syria,false,65,75,8,16,-59,-57
marcusjdl,"So instead of being a “personal shot at the request of the family” as @comicrelief said, Stacey Dooley grabbed a child she did not know for a photo opportunity. https://t.co/AgBlvw6y7A",2019-03-10T14:01:35.000Z,https://t.co/FQepfmP7GF,marcus 🇧🇧,London,false,59,104,5,5,-99,-54
Transgendertrd,"BBC Comic Relief awarded £190,000 to Allsorts which runs transgender groups for 5-11 year-olds. ""Given the rising numbers of younger people identifying as transgender over the past few years, it’s easy to see what the strategy is here."" https://t.co/W2fhRdkoEM",2019-03-19T15:44:11.000Z,https://t.co/teOFz74U9H,TransgenderTrend,NA,false,58,100,8,8,-92,-50
kazmc39,"I wouldn’t want to be thought of as a do gooder “White Saviour”, as @DavidLammy has said we are, instead I’ll be sending additional money to a local charity @StChrisHospice who were amazing looking after my dad and giving him so much dignity in his final weeks. https://t.co/AzrOzOe3bA",2019-03-10T13:05:54.000Z,,KazMc 🇬🇧🇬🇧🇬🇧,NA,false,53,132,10,23,-109,-43
chootchyface,"Comic Relief suffered an £8m fall in donations for its Red Nose Day appeal, prompting a backlash against @DavidLammy , the LABOUR MP who sparked a debate about the charity’s role in perpetuating a “WHITE SAVIOUR” complex.

 https://t.co/VXDa4RSnoK",2019-03-16T22:23:28.000Z,,Chootchy Face,"London, England",false,47,62,7,16,-46,-40
Frankhaviland,"I wish #DavidLammy would stop playing the black saviour to these poor, disadvantaged white Remain voters. https://t.co/CC6BP92fbJ",2019-03-24T17:39:09.000Z,https://t.co/kqQgEFkAEl,Frank Haviland 🇬🇧,"London, England",false,47,102,2,10,-92,-45
KulganofCrydee,NOT MY FAULT Labour MP @DavidLammy laughs off claims his ‘white saviour’ blast knocked £8m off Comic Relief donations https://t.co/QBCID5sSf0 &lt;Like most socialists Lammy can't accept responsibility for his own actions.,2019-03-19T08:13:18.000Z,,KulganofCrydee,Leicestershire,false,36,80,2,27,-53,-34
bespokeredmayne,"Blowing his (Red) Nose: More of tee-hee-hee-shirt #EddieRedmayne supporting this year’s @comicrelief #RedNoseDay through the sale of @Disney #MickeyMouse T-shirts (sorry, UK only), available for ordering here: https://t.co/M7UXleZGxk (Image from thanks to @SenaArchive) https://t.co/lT8WR6wfB5",2019-02-23T15:03:39.000Z,https://t.co/6SBSY6cqjM,BespokeRedmayne,Heart is in London,false,32,108,1,1,-107,-31
campbellclaret,Fan/friend of @DavidLammy but really hope his attack on @comicrelief does not deter donors. In addition to their great work overseas they are one of the biggest supporters of mental health campaigns at home @TimetoChange @MindCharity @Rethink_ we would do a lot worse without them,2019-03-04T15:51:03.000Z,https://t.co/9Hm6oKvJe6,ALASTAIR CAMPBELL,London,true,32,203,3,39,-164,-29
qzafrica,"British charities have a White Savior Complex when it comes to Africa but are in denial 

https://t.co/ONavauoZgO via @qzafrica",2019-03-06T09:26:11.000Z,https://t.co/IzpNx81nxK,Quartz Africa,NA,true,30,25,5,2,-23,-25
DuncanWeldon,I now sort of want David Lidington to become PM. Just so journalists and opposition researchers are forced to read through this looking for “unhelpful quotes”. https://t.co/s168JhLOTL,2019-03-24T07:01:10.000Z,https://t.co/67ejUBx3EK,Duncan Weldon,Hertford ,true,30,125,2,2,-123,-28
dailyyonder,Last week’s New York Times columns by Paul Krugman and David Brooks offer textbook examples of the unhelpful frames that define our conversation about rural America. https://t.co/wnqaAZL7pR,2019-03-25T12:04:47.000Z,http://t.co/zQITdSDD5U,The Daily Yonder,Rural America,false,29,50,8,3,-47,-21
IamTobiOredein,"I don’t even understand why comic relief still runs.

It does more harm than good. The money is a short term fix but the stereotypes it perpetuates are long lasting. 

It’s a shame white celebs aren’t willing to listen but comic relief is about the ego of white celebs... so? 🤷🏾‍♀️",2019-02-27T23:01:10.000Z,https://t.co/Uo06BMzxB7,Tobi Oredein is on mat leave (no work DMs),LDN,false,24,122,4,8,-114,-20
aidnography,The #whitesaviour debate is an excellent opportunity to look at core elements of ritual communication; I'm suggesting 10 easy steps to keep circular #globaldev debates going without too much painful learning &amp; change...  https://t.co/0WZIkC1glb https://t.co/iTPY3gnpTW,2019-03-05T12:38:14.000Z,https://t.co/NWeniklaJq,Tobias Denskus,Malmö,false,24,50,8,1,-49,-16
BBCR1,"Very cheeky, David Beckham! 😉 

@Scott_Mills and @Chris_Stark are 20 hours into Radio 1's #LOLathon and even Golden Balls is getting involved! 🔴 

To donate to @comicrelief &amp; for T&amp;Cs please visit https://t.co/48RuyzVNDg https://t.co/2dgNg9zwHE",2019-03-07T09:08:00.000Z,https://t.co/meTBaIOsf1,BBC Radio 1,UK,true,24,195,7,4,-191,-17
B49Ian,I think the white population of the UK should take note of the racist MP David Lammy and boycott donating to Comic Relief. #davidlammy #ComicRelief,2019-03-07T08:13:26.000Z,,Ian ♀️♂️,"England, United Kingdom",false,23,53,4,13,-40,-19
davidtennantcom,David Tennant To Co-Host Red Nose Day Live Show On BBC One https://t.co/OSa5FIeCy0 @comicrelief https://t.co/N2jjpZwvN5,2019-02-25T22:24:42.000Z,https://t.co/giFILzyVGH,David-Tennant.com 💙,UK,false,21,66,4,0,-66,-17
FlorianeVldrn,"Avec l'absence de stéréotypes genrés et d'inégalités induites par le congé maternité, les couples gays sont très égalitaires dans le partage des tâches ménagères et parentales. Un modèle inspirant que deux couples de pères m'ont montré pour @komitid_fr https://t.co/mpK2DN2VuO",2019-03-14T15:42:48.000Z,https://t.co/i7G28GQ2yn,Floriane Valdayron,France,false,21,69,1,3,-66,-20
MaltesersUK,"We challenge you to take an EPIC #FunnyFace selfie as a family. Upload your image using #FunnyFace, tag us @MaltesersUK and we'll donate £10 to @comicrelief Relief on your behalf PLUS you could win a Maltesers Hamper and we’ll donate a further £100 on behalf of the winner! https://t.co/wh1GwXkTvh",2019-03-04T11:06:22.000Z,https://t.co/JEcf1h5wZ1,Maltesers UK,United Kingdom,true,20,28,3,17,-11,-17
