user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
yomzansilive,Word on Street: H&amp;M is closing down its stores in SA &amp; will exit the country - following the publishing of the company's racist advert https://t.co/fLS1evuvrp,2018-01-22T13:59:56.000Z,https://t.co/5ecmrspmm2,YOMZANSI Live,South Africa,false,71,49,75,16,-33,4
designtaxi,"Following worldwide criticism for posing a black child in a ""monkey"" hoodie, H&amp;M has hired a diversity expert https://t.co/093pbIpCSa",2018-01-21T01:45:06.000Z,http://t.co/Wf7dULD4hP,TAXI,Everywhere,true,2,8,4,1,-7,2
Blavity,Is it too little too late? @HM hires 'global leader for diversity and inclusiveness' following backlash to 'coolest monkey' hoodie https://t.co/EZSv409XUc https://t.co/DXku4qvYvZ,2018-01-21T02:00:15.000Z,https://t.co/CUmFmynfet,Blavity News,"Los Angeles, CA",true,3,2,4,4,2,1
AVofNazareth,"S2:E7 | Back, Black &amp; Better. The Cheat Codes crew welcomes Erin to the camp, discusses Tarana Burke and the #MeToo movement, colorism in the Afro-Latinx community, reactions to H&amp;M’s monkey add, Cardi B’s response to cheating and Nipsey’s take on the “gay agenda.”

Link in bio! https://t.co/g5dOTXeEqR",2018-01-21T16:44:18.000Z,,The Portable Mentor,NA,false,1,1,2,0,-1,1
Independent,H&amp;M recall socks over confusion about Arabic writing https://t.co/lFRO8BeIsp https://t.co/QDTS7a6Pzz,2018-01-30T14:52:50.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,3,3,4,2,-1,1
alexmadialevi,"Sometimes I wonder who does their #branding and what drugs they’re on.
I’m livid. A #black kid casually sporting ‘the coolest #monkey in the jungle’ while the #white kid gets a #tiger?
#advertising #marketing #racism @hm https://t.co/a7SAhSXtMH",2018-01-07T23:50:57.000Z,https://t.co/3s2idYrWVq,Alex Madia Levi,"London, UK",false,1,1,1,0,-1,0
southafricanmag,H&amp;M boy's mom breaks silence with perfect response to racism row [video] - #hm #handm #coolestmonkeyinthejungle #LiamMango https://t.co/2eeIWUn05q https://t.co/jSabbpu6CB,2018-01-21T09:07:37.000Z,https://t.co/3iQHos9cZT,South African Magazine,South Africa,false,1,1,1,1,0,0
PaleoInDaHouz,Is H&amp;M really closing down? Let's get Cotton On next to move on. Not because they are racist. Just because I don't like them.,2018-01-22T14:58:30.000Z,,AbolishThePolice/FreePalestine,Occupied Azania,false,2,1,2,0,-1,0
GuardianTeach,"""The recent controversy over an H&amp;M advert sparked heated debate among the secondary students I teach. Some were confused; others understood it was a sensitive issue but weren’t sure why"" https://t.co/4SvB9LHe0e",2018-01-22T15:35:00.000Z,http://t.co/FKQtHbHifp,GuardianTeach,"London, King's Cross",true,1,1,1,0,-1,0
LADN_EU,"En 2018, c'est H&amp;M et son « coolest monkey in the jungle » qui ouvrent le bal des #BadBuzz https://t.co/NJUdAOIFHB",2018-01-24T07:30:48.000Z,https://t.co/gak9XJEX2N,L'ADN 🧬,"Paris, FRANCE",false,1,2,1,0,-2,0
rinmor,"This doctor hasn’t heard of the whole H&amp;M furore over the monkey hoodie .... you must be the only person not to have, I say https://t.co/wCxKU2R7YG",2018-01-30T07:34:20.000Z,,Karin Morrow,Durban,false,1,8,1,0,-8,0
rekaamaeexoxo,Black ppl kill me . Everything is not racist . First y’all wanted to start with H&amp;M . Y’all but y’all ugly ass kids clothes with monkeys on em all the time . But that was an issue . Now the Walmart is racist ?? Nah tell y’all cousins stop stealing shit !! It’s simple !,2018-01-30T16:03:35.000Z,,Chanelica,Bella Noches,false,1,3,1,0,-3,0
ALEVYWORLD,H&amp;M took a 34% 4th quarter hit because of the monkey shirt. Now they're closing 170 stores. Fairly certain the backlash was bigger globally then in America because we.....nvm,2018-02-03T17:54:21.000Z,https://t.co/pYoFV2I1Uy,A.Levy,"New Orleans, LA",false,1,1,1,0,-1,0
nvpsoffice,We have a black quilted H&amp;M coat age 6-7 and an M&amp;S black 5-6 year old coat.  If your child has lost one please collect from the office.  If they are not collected by Tuesday they willl be taken to the charity shop.,2018-01-05T08:53:38.000Z,,Nene Valley Office,NA,false,1,1,0,0,-1,-1
Habeeb_Akande,"Black child modelling a ""Coolest Monkey in the Jungle"" jumper for clothing retailer H&amp;M. A 'clever' marketing tactic to get attention online or a PR disaster? 
@hm @hmunitedkingdom will soon be trending on Twitter #H&amp;M... https://t.co/a42WkABpDt",2018-01-07T22:18:23.000Z,https://t.co/ROB81mPCwy,Habeeb Akande,"London, England",false,1,3,0,2,-1,-1
MJFINESSELOVER,@HM racist af. I don’t understand how grown ass white adults really thought putting this young Black boy in a “Strongest Monkey In The Jungle” hoodie sweater would be ok. https://t.co/lJRFG4aw2G,2018-01-07T22:47:43.000Z,https://t.co/b86tbgoPB0,𝙱𝚎𝚌𝚌𝚊.,"𝙽𝚎𝚠 𝚈𝚘𝚛𝚔, 𝙽𝚈",false,1,1,0,0,-1,-1
