user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
stillgray,"Things that are racist and/or sexist in January 2018:

Non-black people of color
Meritocracy
Memes made by Ugandan Wakaliwood filmmakers
Monster Hunter World
Capitalism
Intellectual rigor
James Bond
12 Strong
H&amp;M
Monty Python
Thomas the Tank Engine
The Spanish word for ""black.""",2018-01-28T15:21:29.000Z,https://t.co/zeCKyEiTgB,Ian Miles Cheong,Telegram,true,343,1253,26,112,-1141,-317
RickeySmiley,Worse than H&amp;M's monkey hoodie?? https://t.co/CKU7wfzoDS,2018-01-24T22:04:00.000Z,https://t.co/3au9HQKfgS,Rickey Smiley,"Birmingham, AL",true,79,63,26,62,-1,-53
Blayofficial,"“Coolest Monkey in the jungle”

@hm I hope this was a coincidence and not intentional. https://t.co/QbjG0nYEio",2018-01-07T23:35:02.000Z,https://t.co/aVBgyGzAOS,Blay 🤞🏿🇬🇭,"London, England",false,335,372,32,17,-355,-303
yomzansilive,Word on Street: H&amp;M is closing down its stores in SA &amp; will exit the country - following the publishing of the company's racist advert https://t.co/fLS1evuvrp,2018-01-22T13:59:56.000Z,https://t.co/5ecmrspmm2,YOMZANSI Live,South Africa,false,71,49,75,16,-33,4
eNCA_backchat,"[ON AIR] : With regards to the H&amp;M and EFF incident,  is vandalism the best way to respond to racism? | #BackChat",2018-02-09T07:45:36.000Z,https://t.co/apfW1nxAk7,BackChat,South Africa,false,6,10,0,13,3,-6
glimpsx,ok please update me. why tf r ppl saying if you wear h&amp;m youre racist. did i miss something,2018-02-05T20:39:33.000Z,https://t.co/xMOmoJB9xl,ッ,NA,false,13,176,0,12,-164,-13
Bongani_Wale,"When Malema said your fav celebrities are on anc pay roll , you wanted to eat him alive . When the EFF dealt with the H&amp;M racist acts , your favs like Pearl Thusi jumped to condemn the EFF . Today the ANC behaved like savages and they're silent .🤔😏 #ThabangSetona https://t.co/ngamQPDByh",2018-02-05T17:05:30.000Z,,⭐️💫 KhweziLomso 🌟✨,"Soweto, Afrique Du Sud",false,77,92,9,11,-81,-68
theGrio,"First @hm with their ""monkey"" sweatshirts, and now @amazon is selling ‘slavery gets sh** done’ t-shirts. When will they learn? https://t.co/jhVNo4nOfs https://t.co/Ze4kUK6utb",2018-01-24T22:20:02.000Z,https://t.co/KDYODnx1kj,theGrio.com,NA,true,20,9,8,10,1,-12
theGrio,"First @hm with their ""monkey"" sweatshirts, and now @amazon is selling ‘slavery gets sh** done’ t-shirts. When will they learn? https://t.co/sxX8FP4cxs https://t.co/SBzYFzLATI",2018-01-24T15:20:05.000Z,https://t.co/KDYODnx1kj,theGrio.com,NA,true,13,6,3,7,1,-10
Boon__ZA,"White people will have stupid black people believe that protesting H&amp;M racism the way EFF did is bad because people will lose their jobs, but the demise of ANN7 must be celebrated as if there won't be job loses there.",2018-01-31T14:27:23.000Z,,a don, eThembeni,false,64,85,0,7,-78,-64
Blavity,"So, now they wanna be responsible? @HM hires 'global leader for diversity and inclusiveness' following backlash to 'coolest monkey' hoodie https://t.co/ThbrFCAHwP https://t.co/euS3GcjIRx",2018-01-21T03:30:38.000Z,https://t.co/CUmFmynfet,Blavity News,"Los Angeles, CA",true,7,14,3,6,-8,-4
BoF,H&amp;M has appointed a diversity leader after having been accused of racism over its latest ad. https://t.co/jgJqOAsBFW,2018-01-21T08:05:03.000Z,https://t.co/789URHYlq8,The Business of Fashion,London,true,16,59,13,6,-53,-3
Independent,H&amp;M forced to recall a range of socks after they appeared to show the word Allah upside-down in Arabic https://t.co/lFRO8BeIsp,2018-01-29T17:37:23.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,35,13,22,6,-7,-13
Independent,H&amp;M forced to recall a range of socks after they appeared to show the word Allah upside-down in Arabic https://t.co/lFRO8BeIsp https://t.co/6upmpuG58u,2018-01-29T18:58:58.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,16,2,10,6,4,-6
Independent,H&amp;M forced to recall a range of socks after they appeared to show the word Allah   https://t.co/shWIekli5M,2018-01-30T11:14:23.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,21,12,9,6,-6,-12
yayahCreative,"I had faith in EFF until they trashed H&amp;M bathi they're fighting racism ekbeni they did nothing at Spur, farms etc. They literally fought clothing rails. Lol I'm still bored.",2018-02-06T05:25:21.000Z,https://t.co/lAvQii6Wre,¥eezy.,Mam Winnie's Heart,false,26,22,7,6,-16,-19
TheRoot,H&amp;M has hired a diversity lead after running a racist ad that featured a Black boy in a “coolest monkey in the jungle” hoodie: https://t.co/wUeTvfGrVO https://t.co/xmC4y9GsU9,2018-01-21T18:00:39.000Z,https://t.co/KLVGN9DpOP,The Root,"New York, NY",true,14,17,10,5,-12,-4
BET,"This is was what happens when you engage in ""monkey business"" https://t.co/djgI6xZGPP",2018-02-02T21:55:00.000Z,https://t.co/PfEk7Mqf43,BET,"New York, NY",true,29,48,5,5,-43,-24
Blavity,Is it too little too late? @HM hires 'global leader for diversity and inclusiveness' following backlash to 'coolest monkey' hoodie https://t.co/EZSv409XUc https://t.co/DXku4qvYvZ,2018-01-21T02:00:15.000Z,https://t.co/CUmFmynfet,Blavity News,"Los Angeles, CA",true,3,2,4,4,2,1
BoF,H&amp;M will now have to invest huge amounts into an enormous campaign to change consumers perceptions. https://t.co/NnWdtbwplm,2018-02-04T18:35:04.000Z,https://t.co/789URHYlq8,The Business of Fashion,London,true,37,48,9,4,-44,-28
