user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
tariqnasheed,"The African parents of the child H&amp;M model who appeared in a racist ad, are on tv buck dancing...BTW, who does that dad look like? 🚂🚂😂😂 https://t.co/2rn6BbQTD8",2018-01-16T00:44:54.000Z,https://t.co/yAUICwSl4j,Tariq Nasheed 🇺🇸,Los Angeles,true,341,589,113,408,-181,-228
CNN,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/QK2tetYYML https://t.co/TxmJ7tnrKD",2018-01-18T00:09:06.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,180,307,112,201,-106,-68
yomzansilive,Word on Street: H&amp;M is closing down its stores in SA &amp; will exit the country - following the publishing of the company's racist advert https://t.co/fLS1evuvrp,2018-01-22T13:59:56.000Z,https://t.co/5ecmrspmm2,YOMZANSI Live,South Africa,false,71,49,75,16,-33,4
CNN,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/xG0hR6S9Jz https://t.co/1V9WZEK8WE",2018-01-18T06:52:38.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,107,214,74,111,-103,-33
ajplus,H&amp;M closed its South African stores after protests over a racist ad. https://t.co/7GW0u1XfT4,2018-01-16T04:51:10.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,305,392,65,31,-361,-240
CNN,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/I8eZI6IZIL https://t.co/CSqNVkNgYL",2018-01-18T08:31:04.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,95,188,61,66,-122,-34
cnni,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/ahem5WmMAI https://t.co/LLEgFJEzwe",2018-01-18T06:42:30.000Z,http://t.co/kdkv08KSgi,CNN International,Everywhere,true,110,151,48,58,-93,-62
BBCWorld,H&amp;M child model's mum says ad 'not racist' https://t.co/l69E4sFLWk,2018-01-16T23:16:46.000Z,https://t.co/7NEgoMwJy3,BBC News (World),"London, UK",true,124,306,44,100,-206,-80
Airthuggin,Y’all made H&amp;M drop prices by 80% I need y’all to find the most racist thing gucci ever done so I can go shopping,2018-01-17T23:00:58.000Z,,Big Stepper,UPTOWN,false,492,735,44,4,-731,-448
Timelin3Show,"Another snippet from our new show #TimeLin3, this time discussing the
H&amp;M ""Coolest Monkey in the Jungle"" fiasco. 

Safe to say it got pretty heated 👀 https://t.co/7D5CUJki7n",2018-01-17T21:29:46.000Z,https://t.co/XhueK9DZec,#Timelin3,United Kingdom,false,58,85,40,7,-78,-18
TheSun,Sick troll photoshops Madeleine McCann's face onto an H&amp;M jumper https://t.co/iecVZwbqUa https://t.co/0r0MxOyqur,2018-01-12T13:25:27.000Z,https://t.co/JDrksMhBkC,The Sun,London,true,13,36,34,38,2,21
