user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Nigel_Farage,"Boris Johnson now has the chance to save Brexit, he will be a hero if he walks away from the betrayal of voters’ trust.",2018-07-09T12:36:40.000Z,https://t.co/BckceNszCb,Nigel Farage,NA,true,1882,7600,185,582,-7018,-1697
Keir_Starmer,Hard to argue with that verdict. https://t.co/ubQGkKxwON,2018-07-09T20:37:47.000Z,https://t.co/lc4eHHyqlr,Keir Starmer,United Kingdom,true,463,1335,22,65,-1270,-441
BleacherReport,Chad Johnson Jr. has trained with AB and says Alabama wants him. Just don’t tell him he’s only being recruited because he shares a name with his legendary WR dad https://t.co/6J6qoz41WE https://t.co/YyMlqeDhtj,2018-07-18T21:57:47.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,202,1175,27,26,-1149,-175
Quicktake,Monsanto was ordered to pay $289 million for causing Dewayne Johnson's cancer. Doctors didn’t think he would live long enough to testify #tictocnews https://t.co/USLKYKb4KL https://t.co/qOlqdJugNx,2018-08-15T02:55:23.000Z,https://t.co/VtjZNinDYb,Bloomberg Quicktake,NA,true,705,1135,142,54,-1081,-563
iamrodneysmith,"We just had the pleasure of mowing Ms.Johnson’s lawn for her on this beautiful Friday morning . Sadly she’s battling Stage 4 cancer, but that’s a battle she’s going to win. Please have her in your prayers. Making a difference one lawn at a time https://t.co/3rF9w3zhyj",2018-07-27T16:24:48.000Z,https://t.co/tP2bbJYauS,Rodney Smith Jr,"Huntsville, AL",false,142,1054,12,25,-1029,-130
NASA_Johnson,"This week, Dr. Mike Barratt, NASA astronaut, physician and flight surgeon, shares his story of living in space. Barratt addresses 5 hazards of human spaceflight and why these challenges must be addressed to make deep-space missions successful. https://t.co/fI91x3DHPO https://t.co/aePAedyjEs",2018-08-04T17:00:02.000Z,https://t.co/RZLaq2a7UQ,NASA's Johnson Space Center,"Houston, TX",true,172,940,11,16,-924,-161
NASA_Johnson,"Houston, We Have A Podcast features Tabi Taliwaku Kalisa, program manager of NASA's Small Business Programs, who shares how NASA helps small businesses get involved in space and science by working with them from ideas to being a part of the space industry. https://t.co/Cl5U0Opv9T https://t.co/LGzX0DH0N0",2018-07-20T19:09:11.000Z,https://t.co/RZLaq2a7UQ,NASA's Johnson Space Center,"Houston, TX",true,116,873,5,11,-862,-111
BriefcaseMike,Ye gods! Matt Hancock becomes Health Secretary. To borrow a phrase of Lyndon Johnson's you wouldn't trust him to pour piss out of a boot if the instructions were written on the heel. #Reshuffle #bbcnews,2018-07-09T20:19:32.000Z,,Briefcase Michael,England,false,407,811,11,24,-787,-396
lesleyraekelly,"To consumers who buy food from my farm,

I’m sorry for losing your trust in us and about the safe products, like glyphosate, we use. 

But help me earn it back. 

Sincerely,
A farmer and mom who uses #glyphosate 

Blog 👉🏻 https://t.co/Us2DZ8IbT0 https://t.co/QNGpuxhsYi",2018-08-16T17:30:24.000Z,https://t.co/5p6LD42Fl7,highheels&fields,"Saskatchewan, Canada",false,210,713,37,35,-678,-173
bigricanman,Rest In Peace PO Paul Johnson of @NYPDnews who was murdered on 9/11/01 and passed away today 7/22/18 due to cancer from working at ground zero. Please retweet to honor him #NeverForget #TheSacrificeContinues #ESUStrong #NYPD #September11 💙🙏🏼😞 https://t.co/wLxGk6vwKc,2018-07-22T18:02:47.000Z,,Angel L Maysonet🇵🇷🇺🇸👮🏻‍♂️💙🖤 ✭,New York ,false,350,619,42,67,-552,-308
