user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
SallyRideSci,"Sally Ride, America’s 1st woman in space, died #OTD in 2012 after a 17-month battle with pancreatic cancer. She was 61. This plaque marks a live oak planted in Ride’s honor in Astronaut Memorial Grove @NASA_Johnson Space Center Houston. https://t.co/g0h8hzlii8 #NASA #WomenInSTEM https://t.co/c0MISM7LXj",2018-07-23T16:30:12.000Z,http://t.co/9smuzNaGjl,SRS @ UCSD,"San Diego, CA",false,2,7,3,0,-7,1
afc2nfc,Fwiw I don’t believe trading Corey Coleman means the Browns are moving Duke Johnson to full time slot WR. He did that for 1 game (Week 1) last year. I think it’s stock up for Antonio Callaway and Rashard Higgins. Sounds like Higgins has been Mayfield’s go-to guy,2018-08-06T16:32:17.000Z,https://t.co/AGDLyM26MM,Justin,Anywhere ,false,1,20,2,2,-18,1
hbaldwin,Inspiring visit to Royal Hospital for Sick Children #Edinburgh where I met Dr Emma Johnson and heard about link with #Ghana @WChildCancer – doing amazing work to ensure children with cancer receive world class care #UKAidMatch https://t.co/SXbXL5SbAS,2018-08-15T16:12:09.000Z,https://t.co/G8OCWgQBfa,Harriett Baldwin MP,Malvern,true,1,11,2,1,-10,1
UDelaware,"#UDel rising junior, Natalie Zimmerman, has an exciting internship this summer at @NASA_Johnson Space Center in Houston. Follow along as she shares her experiences in a series of articles here: https://t.co/Ny4A1F3QfK https://t.co/iIp3HXXi4l",2018-07-07T16:00:29.000Z,https://t.co/lH3bvEaXfF,Univ. of Delaware,"Newark, DE, USA",true,3,29,3,0,-29,0
AdamAmbrogi,"Let's be clear. While there's no evidence votes were changed, the attacks on our election system is a huge threat to our trust in the election system. Any other approach is folly. RT After Moscow Trip, Ron Johnson Says Election Meddling Overblown https://t.co/hvMVwnjMdO",2018-07-09T23:32:28.000Z,,Adam Ambrogi,"Washington, DC",true,2,4,2,0,-4,0
tru_law,Profits more important to Johnson &amp; Johnson than people -- the company sold their talcum powder for DECADES  with the knowledge that it contained cancer-causing asbestos fibers.   #talcumpowder #asbestos #ovariancancer #mesothelioma https://t.co/c2SWYCZCv5 https://t.co/j9HvXIiNRG,2018-07-18T22:00:56.000Z,https://t.co/GNL30SfHWG,TruLaw,"Illinois, USA",false,1,3,1,0,-3,0
PureArtistMusic,Anna Johnson @annajohnsonmm shares a rendition of her original of Why Did You  https://t.co/vrwCAL0hn7,2018-07-19T01:29:58.000Z,,Wes Inaba,Edmonton,false,1,5,1,0,-5,0
francis_abban,Johnson and Johnson under pressure. Made to pay billions to women who’d won a suit in the USA stating their talcum powder has caused them to suffer ovarian cancer. Scientists argue correlation much different from causation. Source:@BBCWorld,2018-07-19T10:36:11.000Z,,Francis Abban,"Accra, Ghana",true,1,4,1,0,-4,0
TEDMED,"Jim Johnson, former police chief of Huntington, W.V., shares lessons learned from the center of America's opioid epidemic. https://t.co/V2Mz4NA02i https://t.co/MqBDO6MAqS",2018-07-20T15:10:08.000Z,https://t.co/Aemfg0AtBp,TEDMED,NA,false,1,2,1,0,-2,0
private_punter,"Boris Johnson, would anyone really trust this man? Would you buy a second hand car from him?!!! 

https://t.co/VEU6VIREYm https://t.co/fodUL084As",2018-07-22T15:46:14.000Z,,Martin Flitton,Cambridge,false,1,3,1,0,-3,0
