user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
SenToddYoung,"Today, I met with families from Franklin who founded the non-profit “If It Was Your Child” to raise awareness of the high pediatric cancer rate in Johnson County. I want to thank these families for their advocacy &amp; bravery. https://t.co/LVfaWfr1oI https://t.co/5y7CpEsvYX",2018-08-01T22:41:29.000Z,https://t.co/mDRZE8vzzH,Senator Todd Young,Indiana,true,6,15,5,25,10,-1
NoisyHuevos,"POLL DANCING: Sony Michel, Ronald Jones and Kerryon Johnson have nearly identical ADPs in the 60s overall. Who do you trust more?",2018-08-15T14:16:22.000Z,https://t.co/lp8FTMQA7I,Brad Evans,Dregs of the keg,true,3,9,0,14,5,-3
superfooty,"MRO VERDICT

Andrew Gaff referred directly to the Tribunal, Francis fined for O'Meara bump, Johnson fined for Gaff hit and plenty more.

AFL DAILY: https://t.co/nqd0SpjX8O https://t.co/SAEpOqaI5t",2018-08-06T07:05:47.000Z,https://t.co/u3lRiC7MK6,SuperFooty (AFL),"Herald Sun, Melbourne",true,3,4,1,8,4,-2
bigthink,"""In God We Trust"": Every public school in Florida must now display this sign: https://t.co/BaZxnAB2dQ https://t.co/m24ymfeSVk",2018-08-14T19:13:55.000Z,https://t.co/d7r7dG2XOq,Big Think,"New York, NY",true,2,1,2,3,2,0
ProfligateGrace,"Monsanto 'bullied scientists' and hid weedkiller cancer risk, lawyer tells court https://t.co/NozK4022Od",2018-07-11T21:14:10.000Z,https://t.co/BfHWTgWfln,Amy Laura Hall,"Durham, NC",false,3,1,0,2,1,-3
RimauXI,Johnson &amp; Johnson diperintah oleh mahkamah di US untuk membayar gantirugi 4.7 bilion dolar kepada 22 wanita yang mendakwa menghidapi kanser akibat penggunaan bedak Johnson &amp; Johnson yang mengandungi asbestos. https://t.co/l4ZmzMgElN,2018-07-16T03:48:53.000Z,https://t.co/umJpJxzPHP,وطن 🇲🇾,NA,false,8,1,0,2,1,-8
wxyzdetroit,Colorado woman says her ovarian cancer is linked to Johnson &amp; Johnson baby powder https://t.co/bRttuofzR4,2018-07-16T18:37:27.000Z,https://t.co/ZVUK8rvwaw,WXYZ Detroit,"Detroit, MI",true,2,1,0,2,1,-2
_MfundoZungu,▶️Pierre Johnson - Trust Like No Other,2018-08-04T08:05:49.000Z,https://t.co/WnxOJiyYnU,🥷🏽,NA,false,1,1,0,2,1,-1
hardiyakubu,GMO is deadly. How many warnings do we need? https://t.co/rIaHnzuWW3,2018-08-12T06:02:11.000Z,,Hardi Yakubu,Ghana,false,1,1,0,2,1,-1
GMOFreeMom,"Check it out: thousands of pages of new #MonsantoPapers documents just placed online, regarding first #Monsanto Roundup #cancer trial Dewayne Johnson v. Monsanto Company https://t.co/w9cCIivQMC",2018-07-07T23:30:37.000Z,https://t.co/nSMjvckPpl,Rachel Linden,Everywhere,false,2,2,1,2,0,-1
