user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
brutofficiel,"Atteint d’un cancer incurable, Dewayne Johnson a attaqué en justice Monsanto. C’est le premier au monde à avoir gagné un procès contre le géant américain. @EliseLucet raconte toute l’histoire pour Brut.

Soirée spéciale glyphosate ce soir à 21h dans @EnvoyeSpecial sur @France2tv https://t.co/eoCROTKg5J",2019-01-17T07:30:00.000Z,https://t.co/cEjwW7dj2q,Brut FR,France,true,1591,1994,68,56,-1938,-1523
Jacob4009,No wonder AB recently got an attitude he's been hanging out with Chad Johnson. That dude is a cancer,2019-01-06T06:09:15.000Z,,Jacob,"Hays, Kansas",false,9,146,32,50,-96,23
Robbiejamesking,"West Ham fans have seen

Rio Ferdinand
Frank Lampard
Joe Cole
Jermain Defoe
Michael Carrick
Glenn Johnson
Paolo Di Canio
Dimitri Payet

Leave their club

Trust Me.. There won't be a melt down if Arnautovic leaves for China

X",2019-01-10T22:12:50.000Z,https://t.co/iWAfh1DdV7,RJK,E13 9AZ,false,117,742,21,37,-705,-96
SenDonnelly,WATCH: Joe joined @IIWYCJC from Johnson County to renew their calls for @EPA to take over the investigation and cleanup of any contamination resulting from the Amphenol and Webb Wellfield sites in Franklin. https://t.co/5DeSmcMxqa,2018-12-10T23:10:21.000Z,http://t.co/fSOunnwiXz,Archive: Senator Joe Donnelly,NA,true,22,51,0,33,-18,-22
ActualidadRT,"Johnson &amp; Johnson emplea asbesto en sus polvos de talco, una sustancia que provoca cáncer de pulmón cuando se inhala, a pesar de que se supone que los productos de este tipo fabricados en EE.UU. prescindieron de ese mineral desde los años 70 https://t.co/oMPEh3Wz3P https://t.co/ujR8j1DRZj",2018-12-22T05:23:14.000Z,https://t.co/lo2KB3neoz,RT en Español,NA,true,1536,791,68,29,-762,-1468
CNN,India drug regulators testing Johnson &amp; Johnson baby powder for asbestos https://t.co/5OFVwxDEx4 https://t.co/CWTf8exT9U,2018-12-26T18:56:04.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,96,140,11,28,-112,-85
BethRigby,"Johnson: “To extend article 50 now would do nothing but erode trust in politics” adds that he doesn’t think we’ll leave with No Deal. “[I think it’s] overwhelmingly likely, that we will leave with a deal – we just won’t leave with this deal”",2019-01-18T11:13:13.000Z,https://t.co/D6uc7Fr9qb,Beth Rigby,NA,true,17,40,8,27,-13,-9
EricLiptonNYT,"Hiroko Tabuchi takes us to  JOHNSON COUNTY, Ind, where the children have fallen ill, one by one, with cancers that few families in this suburban community had ever heard of. What role should the Trump-era EPA play in protecting public health?@HirokoTabuchi https://t.co/g0YM4yNMHd",2019-01-03T01:55:26.000Z,https://t.co/8s6H8PW6Fs,Eric Lipton,"Washington, DC",true,317,416,20,25,-391,-297
CNN,India drug regulators are testing Johnson &amp; Johnson baby powder for asbestos https://t.co/NmPBmD45dM https://t.co/xYuuh8qxlS,2018-12-27T00:31:04.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,83,138,10,24,-114,-73
CNN,India drug regulators are testing Johnson &amp; Johnson baby powder for asbestos https://t.co/BmGk7i2mk9 https://t.co/tatlEU2Qnk,2018-12-27T13:50:02.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,100,184,15,22,-162,-85
ZachWahls,"You made this possible—thank you for placing your trust in me. The opportunity to serve the people of Johnson, Cedar, &amp; Muscatine County is a deep honor, and I will do my best to treat every day like it is my first day. I am profoundly grateful to everyone who made this possible. https://t.co/CFij7bPXJU",2019-01-15T03:24:03.000Z,https://t.co/beaBE6hlnl,Zach Wahls,"Coralville, IA",true,45,1170,9,21,-1149,-36
CNN,India drug regulators are testing Johnson &amp; Johnson baby powder for asbestos https://t.co/4n5hxT11vg https://t.co/B6HBagXrJD,2018-12-27T07:01:02.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,117,207,20,20,-187,-97
ArgyleLoz,"I joined @UKLabour because of Mr. Corbyn his values chime with me, we help the poor/disabled, i am a remainer, i don't want to leave the EU, but i trust Mr. Corbyn to look after the interest of the many, not the few, if you think May/Rees-Mogg/Johnson/Gove are with you fuck off.",2018-12-28T19:01:32.000Z,,Loz Argyle ⚓,Argyle world ,false,101,341,4,20,-321,-97
EnvoyeSpecial,"Il a fait plier Monsanto. Ce jardinier, en phase terminale d’un cancer, vient de gagner un procès historique face au géant américain.

Exceptionnellement, Dewayne Johnson s’est confié. Un entretien exclusif avec @TristanWaleckx. 

🌿#Glyphosate #EnvoyeSpecial
📺 Jeudi 21h00 https://t.co/f1e5ZbSWq4",2019-01-14T16:12:46.000Z,https://t.co/Gw0Pcenp2I,Envoyé spécial,"Paris, France",true,493,724,21,19,-705,-472
RichCimini,"Christopher Johnson says he understands backlash from fans, adding that he still hasn't earned trust of fan base. CJ: ""I think they will see, if not right now, they'll see pretty soon this is a great hire. I'm not trying to win Twitter. I'm trying to win football games."" #Jets",2019-01-14T21:21:06.000Z,https://t.co/nU5OP17YhS,Rich Cimini,NA,true,35,177,24,16,-161,-11
bradalmquist13,"#49ers have allowed one 100-yard rusher this year (Melvin Gordon). They have contained some top RBs:

Phillip Lindsay: 14 rushes, 30 yds
Saquon Barkley: 20 rushes, 67 yds
Todd Gurley: 15 rushes, 63 yds
David Johnson (2 games): 34 rushes, 114 yds
Kareem Hunt: 18 rushes, 44 yds",2018-12-10T22:13:17.000Z,,Brad Almquist,"San Francisco, CA",false,156,588,33,15,-573,-123
profwolff,"Yet another giant capitalist pharma corporation - Johnson &amp;Johnson - exposed by Reuters as knowingly producing dangerous products (including talcum powder for babies), and not for the first time either. 

Capitalism in healthcare: unnecessary, dangerous.

https://t.co/dXEg6XoOPQ",2018-12-22T18:12:00.000Z,http://t.co/5PkglVcJgI,Richard D. Wolff,"New York, NY",true,277,561,7,15,-546,-270
ArgyleLoz,"The abuse dished out to Anna Soubry is absolutely disgusting, this is #Brexit, it's opened up a cesspit of racism/hatred/division/xenophobia, the like of which most of us have never seen, but i trust Johnson/Gove/Raab/Farage/Patel etc are proud of their cretinous supporters.",2019-01-07T16:52:13.000Z,,Loz Argyle ⚓,Argyle world ,false,76,141,5,15,-126,-71
OFOCBrexit,"Boris Johnson says shoes will get cheaper under his Brexit plan.

Who do you trust more: a politician who said ""Fuck business"" or a businessman with years of high street experience in the North East? 🤔 https://t.co/MUbNMVLnpo",2019-01-18T11:44:11.000Z,https://t.co/pwFm9ghoBn,"Our Future, Our Choice",United Kingdom,true,115,174,3,15,-159,-112
