user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Aramaithea,"2 MIT Media Lab Educators Leaving  Institute Over’Ties to Epstein
MIT Media Lab accepted $$ from Epstein to teach toddlers computer programming
Virgina Giuffre a teenager at the time was forced to have sex with Minsky co founder of the AI lab &amp; other men
https://t.co/6DLg4ryNEX",2019-08-25T16:15:44.000Z,,Dawn Orlando,"New York, NY",false,85,56,10,8,-48,-75
EpochTimes,Two educators affiliated with the @MIT Media Lab announced they would be cutting off their relationships with the institute because of its ties to now-deceased sex offender #JeffreyEpstein who had been facing trial on child sex #Trafficking charges. https://t.co/CaxibnUQfh,2019-08-25T16:55:00.000Z,https://t.co/udZgeB9zvZ,The Epoch Times,"New York, USA",true,36,51,6,1,-50,-30
jeffjarvis,"Oof. 
@nytimes headline might also want to mention his membership on NYTimes board. 

Director of M.I.T. Media Lab Apologizes for Ties to Jeffrey Epstein.
https://t.co/OoezuWxxnJ

via @GoogleNews",2019-08-17T22:39:21.000Z,http://t.co/B7nfjHn9fP,Jeff Jarvis,"New York, NY",true,127,221,5,10,-211,-122
m_sekijima,"M.I.T.の学長がエプスタインからの寄付への感謝状に署名していたというNYTの報道。伊藤穰一氏の辞任やmedia labという範囲では収まらなくなりM.I.Tに激震が走っていそう。
M.I.T. President Says He Thanked Jeffrey Epstein for Gift in Letter https://t.co/qyc4vFDBYk",2019-09-13T00:17:49.000Z,https://t.co/DEck6sO2q5,Masakazu Sekijima,NA,false,92,105,4,3,-102,-88
jimwindolf,"The M.I.T. Media Lab was embarrassed when its connections to Jeffrey Epstein were revealed. Now there are questions about one of its high-profile science projects (it involves a ""food computer""). https://t.co/KPCDAKefXB",2019-09-22T23:50:00.000Z,https://t.co/tRRzPKMqYz,Jim Windolf,New York,false,23,52,4,4,-48,-19
thedailybeast,"M.I.T. Media Lab director: I’m ""deeply sorry"" for ties to Jeffrey Epstein    https://t.co/V7y6dv6g10",2019-08-17T03:59:22.000Z,https://t.co/F8Dfnikrz3,The Daily Beast,"New York, NY",true,18,25,3,5,-20,-15
xeni,"“A week after Joichi Ito, the director of the M.I.T. Media Lab, apologized for his ties to the disgraced New York financier Jeffrey Epstein, @MIT announced that the university would investigate its dealings with Mr. Epstein.” https://t.co/d4QX3R8HVK via ⁦@nytimes⁩",2019-08-24T18:51:43.000Z,https://t.co/oPUS6E3o6l,Xeni,👁📝,true,23,38,3,2,-36,-20
HeerJeet,"Honestly, both M.I.T. and Harvard (which too far, far more from Epstein than M.I.T.) should set up a fund where all that money is given to victims. They have the money to do this. https://t.co/6Vb1IRMHJp",2019-08-22T23:37:08.000Z,https://t.co/f9gUyz1Tc0,Jeet Heer,NA,true,67,266,2,3,-263,-65
dogpoopelosi1,Two MIT Media Lab Educators to Leave Over Institute’s Ties to Epstein https://t.co/IVC5PxAZ5W via @epochtimes,2019-08-24T23:13:08.000Z,,Nancy,"Maryland, USA",false,2,1,2,0,-1,0
yutakashino,"M.I.T. Media Lab, Already Rattled by the Epstein Scandal, Has a New Worry https://t.co/hVOofwy9AS メディアラボのOpenAgの成果の捏造がNYTで報道されましたね…。これは完全にアウト案件。ブランドをネタにした外部資金だけで運営されるメディアラボは、エプシュタイン+捏造で存亡の危機では。",2019-09-23T01:57:36.000Z,http://t.co/DjGpni1O38,Yuta Kashino,Tokyo,false,64,81,2,0,-81,-62
gaitifuji,Director of M.I.T. Media Lab Apologizes for Ties to Jeffrey Epstein https://t.co/CmcNpr0vlk,2019-08-21T13:26:24.000Z,https://t.co/7arJlFUwTR,ガイチ,NA,false,9,5,1,0,-5,-8
nytimesbusiness,"L. Rafael Reif, M.I.T.'s president, said he did not remember signing a thank-you letter to Jeffrey Epstein in 2012, four years after Mr. Epstein pleaded guilty to a sex charge in Florida https://t.co/pa2DAMEaZQ",2019-09-13T00:01:02.000Z,http://t.co/OKrfdBy4ch,NYT Business,"New York, NY",true,2,2,1,0,-2,-1
dealbook,"L. Rafael Reif, M.I.T.'s president, said he did not remember signing a thank-you letter to Jeffrey Epstein in 2012, four years after Mr. Epstein pleaded guilty to a sex charge in Florida https://t.co/xWsdnKOYY6",2019-09-13T09:01:54.000Z,http://t.co/pLYLk4P6xz,DealBook,"New York, NY",true,2,1,1,0,-1,-1
maggieNYT,M.I.T. President Says He Thanked Jeffrey Epstein for Gift in Letter - The New York Times https://t.co/5bPVWsDJXW,2019-09-13T21:25:05.000Z,,Maggie Haberman,NA,true,16,10,1,6,-4,-15
jflier,"M.I.T. Media Lab, Already Rattled by the Epstein Scandal, Has a New Worry - “You seem to think endlessly reiterating untrue claims will lend them credibility, but it won’t,” - unfortunately, it too often does. The New York Times https://t.co/XxenzDdDDy",2019-09-22T15:36:36.000Z,,Jeffrey Flier,"Boston, MA",false,1,3,1,0,-3,0
3L3V3NTH,"Click

M.I.T. Media Lab, Already Rattled by the Epstein Scandal, Has a New Worry https://t.co/xXpNVTAV9N",2019-09-22T21:59:12.000Z,,≡l≡v≡nth,Cyclades,false,7,21,1,2,-19,-6
Joseph_Santoro,"M.I.T. Media Lab, Already Rattled by the Epstein Scandal, Has a New Worry… Now, researchers who worked at the lab say that one of its high-profile scientific projects, #OpenAg, was promoted with misleading claims! IT'S A FAAAAAKE!

https://t.co/wGH07QKbmE #EpicFail #ItsAFake",2019-09-28T17:15:08.000Z,https://t.co/bmdChfG4g2,Dr. Joseph Santoro,"Washington, DC 20009",false,1,1,1,0,-1,0
tiffkhsu,"Joichi Ito, the director of the M.I.T. Media Lab and a member of the NYT board, apologized for his ties to Jeffrey Epstein, which included donations and investments. w/ @marcatracy https://t.co/aS2LrlQWOl",2019-08-16T21:13:52.000Z,https://t.co/btzTYAGyNr,Tiffany Hsu,"New York, NY",true,1,2,0,0,-2,-1
nytimesbusiness,"The director of M.I.T.'s Media Lab pledged to raise the same amount of money the school received from Jeffrey Epstein and give it to ""nonprofits that focus on supporting survivors of trafficking."" https://t.co/MIdXA0x2Xj",2019-08-17T01:35:03.000Z,http://t.co/OKrfdBy4ch,NYT Business,"New York, NY",true,3,7,0,0,-7,-3
nytimesbusiness,"The director of M.I.T.'s Media Lab pledged to raise the same amount of money the school received from Jeffrey Epstein and give it to ""nonprofits that focus on supporting survivors of trafficking."" https://t.co/nMQRCW6i1v",2019-08-17T22:21:04.000Z,http://t.co/OKrfdBy4ch,NYT Business,"New York, NY",true,4,2,0,0,-2,-4
