user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
SarahTaber_bww,"It's alive!

I wrote an article on Jeff Epstein, the MIT Media Lab, gee-whiz demos that don't work in real life, and the problem that unites them:

Sugar Daddy Science.

https://t.co/a3HjJoLJvC

#sugardaddyscience",2019-09-18T11:36:52.000Z,https://t.co/2GSiIqRfNC,Dr Sarah Taber,"Fayetteville, NC",false,645,1607,101,60,-1547,-544
sarahkendzior,"MIT Media Lab, funded in part by pedophile sex trafficker Jeffrey Epstein, purposefully dumped chemicals into local water that can kill fish and deprive infants of oxygen https://t.co/f7kgfDH4OM",2019-09-20T12:52:34.000Z,https://t.co/6OIpRaQfUC,Sarah Kendzior,St. Louis,true,305,429,12,29,-400,-293
jeffjarvis,"Oof. 
@nytimes headline might also want to mention his membership on NYTimes board. 

Director of M.I.T. Media Lab Apologizes for Ties to Jeffrey Epstein.
https://t.co/OoezuWxxnJ

via @GoogleNews",2019-08-17T22:39:21.000Z,http://t.co/B7nfjHn9fP,Jeff Jarvis,"New York, NY",true,127,221,5,10,-211,-122
nytimes,The president of the Massachusetts Institute of Technology announced that the university would investigate its dealings with Jeffrey Epstein https://t.co/wv2qYPnC39,2019-08-23T02:09:03.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,94,301,8,24,-277,-86
phylogenomics,"All the scientists, almost all of which were, shockingly, men, who took money from Epstein, and also hobnobbed w/ him &amp; helped boost his credibility, need to do a lot more than just apologize (e.g., https://t.co/Ml2xwNOYVC and https://t.co/1WPzlfZeGf)",2019-08-16T14:49:48.000Z,https://t.co/htSPGkxt3i,Jonathan Eisen,"Davis, CA, USA",true,93,194,8,9,-185,-85
m_sekijima,"M.I.T.の学長がエプスタインからの寄付への感謝状に署名していたというNYTの報道。伊藤穰一氏の辞任やmedia labという範囲では収まらなくなりM.I.Tに激震が走っていそう。
M.I.T. President Says He Thanked Jeffrey Epstein for Gift in Letter https://t.co/qyc4vFDBYk",2019-09-13T00:17:49.000Z,https://t.co/DEck6sO2q5,Masakazu Sekijima,NA,false,92,105,4,3,-102,-88
VickyPJWard,"Experiments show the psychology underlying accepting money from the Jeffrey Epsteins of the world: “People would rather have $99 from a good guy than $100 from a bad guy. However, when the differential becomes big enough, people abandon their principles.” https://t.co/Q7NtmspEoE",2019-09-22T00:38:38.000Z,https://t.co/Z3sPzTHHtF,Vicky Ward,"New York, NY",true,91,199,5,11,-188,-86
Aramaithea,"2 MIT Media Lab Educators Leaving  Institute Over’Ties to Epstein
MIT Media Lab accepted $$ from Epstein to teach toddlers computer programming
Virgina Giuffre a teenager at the time was forced to have sex with Minsky co founder of the AI lab &amp; other men
https://t.co/6DLg4ryNEX",2019-08-25T16:15:44.000Z,,Dawn Orlando,"New York, NY",false,85,56,10,8,-48,-75
MichaelRosenYes,How odd: in July one media narrative was that Tom Watson had helped foment antisemitism by lending credence to Carl Beech’s false accusations against Lord Janner and he had to resign. Now the media narrative is that Watson is a hero. (Am not a member of Lab party.),2019-09-21T08:51:44.000Z,https://t.co/2VA5E39LcJ,Michael Rosen 💙💙🎓🎓,"London, UK",false,79,165,2,6,-159,-77
someone5963,"My apology regarding Jeffrey Epstein — MIT Media Lab

ツイッター崩壊w

MITメディアラボ所長で、ツイッターの大株主デジタガレージの共同創業者の伊藤穣一は、エプスタインとベッタリだったw

逮捕・処刑か？ https://t.co/ITrLTgTvAv",2019-08-20T07:06:58.000Z,,人類の敵、目玉カルト粉砕,鍵アカウントフォローは非国民につき、発見次第ブロック,false,77,94,6,1,-93,-71
propublica,"New: Documents and interviews show the Media Lab, already under fire for accepting contributions from Jeffrey Epstein, is being investigated for an apparent violation of state environmental regulations. They paused operations after we asked questions.https://t.co/uvaJ5QHgMg",2019-09-20T09:15:44.000Z,http://t.co/Fqv83dHVfq,ProPublica,"New York, NY",true,76,119,5,3,-116,-71
xeni,"I want to speak for a moment to those of you who like me were women on the edge of Edge, or MIT Media Lab, or Harvard, or anywhere else Jeffrey Epstein’s filthy money and power may have tainted through the generous cooperation of his science bros.",2019-08-29T14:50:10.000Z,https://t.co/oPUS6E3o6l,Xeni,👁📝,true,64,221,6,10,-211,-58
bykenarmstrong,"MIT Media Lab accepted $ from Jeffrey Epstein, sex offender, while trying to keep it secret.
The same lab, below ground, dumped water w/ dangerous levels of nitrogen, while keeping regulators in the dark.
@propublica @WBUR @lisalsong @jmlarkin
@TaliaBuford
https://t.co/DcWD7U52ES",2019-09-20T13:20:23.000Z,https://t.co/cdvmKkczHV,Ken Armstrong,"Seattle, WA",true,64,66,2,0,-66,-62
yutakashino,"M.I.T. Media Lab, Already Rattled by the Epstein Scandal, Has a New Worry https://t.co/hVOofwy9AS メディアラボのOpenAgの成果の捏造がNYTで報道されましたね…。これは完全にアウト案件。ブランドをネタにした外部資金だけで運営されるメディアラボは、エプシュタイン+捏造で存亡の危機では。",2019-09-23T01:57:36.000Z,http://t.co/DjGpni1O38,Yuta Kashino,Tokyo,false,64,81,2,0,-81,-62
xeni,That’s very interesting. I did not know that MIT media Lab chief Joichi Ito traveled to Jeffrey Epstein‘s homes. How exactly is it possible to not know what was going on? https://t.co/7anxqJpiy0,2019-08-20T13:32:58.000Z,https://t.co/oPUS6E3o6l,Xeni,👁📝,true,58,154,10,10,-144,-48
propublica,"Documents and interviews show the Media Lab, already under fire for accepting contributions from Jeffrey Epstein, is being investigated for an apparent violation of state environmental regulations. They paused operations after we asked questions. 
https://t.co/Ow5mfDq9Vp",2019-09-20T10:31:00.000Z,http://t.co/Fqv83dHVfq,ProPublica,"New York, NY",true,52,65,8,0,-65,-44
blmohr,"Ok.
“Hoffman invited Joi Ito, director of the MIT Media Lab, and Epstein to an August 2015 dinner in Palo Alto with Elon Musk, Mark Zuckerberg and Peter Thiel.” https://t.co/2aKUmpGRdW",2019-09-13T03:59:57.000Z,https://t.co/LwN1w27t7z,blmohr,"Chicago, IL",false,50,52,6,12,-40,-44
axios,"The Jeffrey Epstein story is going to far outlive Jeffrey Epstein, as is evidenced by the latest blockbuster report about the criminal’s ties to the MIT Media Lab and revelations about the number of university officials who knew about Epstein’s donations.

https://t.co/VRf3ewQjfx",2019-09-14T17:45:00.000Z,https://t.co/B5SXhPF5gM,Axios,NA,true,48,75,2,7,-68,-46
evgenymorozov,"Only in America could someone like Joi Ito head a major academic institute (MIT Media Lab), sit on three major boards (NYT, MacArthur, Knight) *all WHILE running a private investment business* AND get away with being completely untransparent about it, even after Epstein.",2019-08-23T07:53:16.000Z,https://t.co/x7BmeIEc46,Evgeny Morozov,NA,false,47,164,8,6,-158,-39
Popehat,"""I apologize for my complete ignorance of Google and Nexis"" - director of MIT's Media Lab, New York Times editorial board member.

https://t.co/tOK3Y34mwr",2019-08-18T01:18:49.000Z,https://t.co/WHJPylylr2,SatanicBeanbagHat,Los Angeles,false,46,197,4,12,-185,-42
BostonGlobe,"Students are calling for Joi Ito, leader of MIT’s Media Lab, to resign amid the Jeffrey Epstein fallout. https://t.co/OK6pXtv1mu",2019-08-23T15:29:30.000Z,https://t.co/6S0BAXe9dO,The Boston Globe,"Boston, MA",true,40,50,8,4,-46,-32
BGrueskin,"Some supporters of Joi Ito have written a letter fulsomely backing the MIT Media Lab director, who has acknowledged significant financial ties w/ Jeffrey Epstein. https://t.co/pwgqxbVKmi

As with previous MIT letters, this one ignores key issues.

So, another annotated version: https://t.co/Sk3HZFZnpo",2019-08-28T11:01:19.000Z,https://t.co/OzyMVwcYer,Bill Grueskin,IA-CO-CA-IT-ND-SD-IT-DC-FL-NY,false,39,70,4,10,-60,-35
EpochTimes,Two educators affiliated with the @MIT Media Lab announced they would be cutting off their relationships with the institute because of its ties to now-deceased sex offender #JeffreyEpstein who had been facing trial on child sex #Trafficking charges. https://t.co/CaxibnUQfh,2019-08-25T16:55:00.000Z,https://t.co/udZgeB9zvZ,The Epoch Times,"New York, USA",true,36,51,6,1,-50,-30
RuMboya,"Of course all these MIT prof’s are rallying behind Ito. OF COURSE THEY ARE! The fact that they see this as a witch hunt against Ito shows just how little they understand how he, and others, perhaps themselves, contributed to the harm of Epstein’s victims.
 https://t.co/WwqaqyzpwA",2019-09-01T10:56:06.000Z,https://t.co/3ArEeRGnQc,Arwa Michelle Mboya,Los Angeles,false,34,109,2,5,-104,-32
mdiplo,"Fermer le Media Lab, mettre un terme aux conférences TED (…). 

Sans ces changements drastiques, le puissant complexe industrialo-de-mes-deux qu’est la « tierce-culture » restera intact et pourra servir de couverture au prochain Epstein. @evgenymorozov https://t.co/yhDd9o1Ohr",2019-09-21T06:15:01.000Z,https://t.co/6TZE6IRciH,Le Monde diplomatique,Paris,true,34,57,3,1,-56,-31
rising_serpent,"A Harvard Professor Doubles Down: ""If You Take Epstein’s Money, Do It in Secret""
This interview with Lawrence Lessig, a friend of disgraced MIT media lab director Joichi Ito is quite disturbing.
These are the people in charge of educating your children. https://t.co/g4ZWNHDjtd",2019-09-14T18:21:16.000Z,,Rising serpent 🇺🇸,United States,false,33,28,3,1,-27,-30
IBJIYONGI,"Jeffrey Epstein:
1. HOW IS NO ONE TALKING ABOUT BILL GATES MAKNG PERSONAL NON FOUNDATION DONATIONS VIA EPSTEIN????

2. This Neri Oxman — of “totems of melanin” fame — story is wild. Her billionaire husband threatened the former head of the Media Lab: https://t.co/mfySgm0vMf",2019-09-15T18:57:43.000Z,https://t.co/WGnaYEZN16,#JusticeForJulius | Chanda Prescod-Weinstein,DurhamNH/CambridgeMA/EastLos,true,31,80,0,4,-76,-31
SarahTaber_bww,"Hat tip to Babak Babakinejad (@flypolitics), who'd been trying to get the press to cover the fraud at the MIT Media Lab's Open Food Initiative for months. Nothing happened until the Epstein news broke, &amp; now suddenly it's getting a lot of traction.

https://t.co/GrddTN13cx",2019-09-22T22:05:26.000Z,https://t.co/2GSiIqRfNC,Dr Sarah Taber,"Fayetteville, NC",false,28,98,1,1,-97,-27
xeni,"“Peter Cohen, a former director of development and strategy, said in a statement that when he joined MIT Media Lab in 2014, it already had established procedures for handling Jeffrey Epstein’s contributions.” @fernandesglobe @BostonGlobe reporting. https://t.co/ie7Yx6HoNP",2019-09-11T14:42:12.000Z,https://t.co/oPUS6E3o6l,Xeni,👁📝,true,27,35,1,5,-30,-26
propublica,"Documents and interviews show the Media Lab, already under fire for accepting contributions from Jeffrey Epstein, is being investigated for an apparent violation of state environmental regulations. They paused operations after we asked questions. 
https://t.co/7XEN62cZDD",2019-09-24T21:30:13.000Z,http://t.co/Fqv83dHVfq,ProPublica,"New York, NY",true,27,57,4,1,-56,-23
Kelangdbn,スタンフォード大学が2004年にジェフリー・エプスタインから$5万の寄付を受けていた事が判明　https://t.co/KDUGXNKi6t　少女買春容疑での刑事告発の2年前のことで金額も小さいので騒ぐことではない。ひたすらMedia Labを糾弾しよう。プレゼンだけでe-inkぐらいしかイノベーションがないポンコツ研究所,2019-09-15T18:06:50.000Z,https://t.co/M6IcDtzZAe,Spica,NA,false,26,57,2,0,-57,-24
RuMboya,"I'm rolling my eyes. I said it before, when nobody listened and I'll say it again 'this is not a Joi Issue, this not an MIT issue, this is a national and international issue.'

I'll just wait for enough white people to talk about it for y'all to catch up.

https://t.co/KHyBhPmy3N",2019-09-11T10:25:26.000Z,https://t.co/3ArEeRGnQc,Arwa Michelle Mboya,Los Angeles,false,25,82,3,1,-81,-22
MollyMcKew,"This line: ""In the parallel moral universe known as the tech industry, the MIT media lab was Valhalla.""

Only it turns out Epstein and his massive, sprawling taint would be the chooser of the slain.  https://t.co/OZrXTt7YWB",2019-09-14T15:50:29.000Z,https://t.co/mEY9I0x8Cr,Molly McKew,DC. Idaho. Tallinn. ,true,24,55,1,3,-52,-23
xeni,"“A week after Joichi Ito, the director of the M.I.T. Media Lab, apologized for his ties to the disgraced New York financier Jeffrey Epstein, @MIT announced that the university would investigate its dealings with Mr. Epstein.” https://t.co/d4QX3R8HVK via ⁦@nytimes⁩",2019-08-24T18:51:43.000Z,https://t.co/oPUS6E3o6l,Xeni,👁📝,true,23,38,3,2,-36,-20
DonaldJFunk,"Sordid relationship: MIT &amp; Pedophile Epstein!! Senior management feared Epstein was essentially paying MIT to launder his reputation. They could have said no to the tainted money. Instead, MIT admin covered up the source of the funds! https://t.co/5PPjy9DQGR via",2019-09-13T19:52:57.000Z,https://t.co/9ODRbaGf2V,"Deej Funk, Writer, Professor & River Morphologist",California Central Coast,false,23,30,1,6,-24,-22
NYMag,Why would an institution as tech-famous as the MIT Media Lab require a pariah financier to contact two billionaires who are highly active in public life and philanthropy? https://t.co/qELdtQwlFN,2019-09-14T07:31:52.000Z,https://t.co/7JjN8gi13H,New York Magazine,"New York, NY",true,23,20,2,4,-16,-21
voxdotcom,"The MIT Media Lab accepted donations from Jeffrey Epstein and worked to keep them anonymous. 

@KelseyTuoc explains why MIT thought they were doing the right thing — and why they were in fact in the wrong. https://t.co/9hZjNTgmQt",2019-09-14T12:15:00.000Z,http://t.co/RnqX4a68G1,Vox,NA,true,23,31,3,3,-28,-20
PatBlanchfield,"still have no idea what the function or purpose of the MIT Media lab was or is, but definitely appreciate its commitment to a diverse portfolio of gratuitous evil, like if SPECTRE stood for Sex Pests Environmental Crime and Techno Rationalist Exculpation 
https://t.co/F3JrQWS8tC",2019-09-20T13:55:17.000Z,https://t.co/SsxUYfnLxI,inverted vibe curve: burgertown must be defended,Hard Rock Cafe Tlön,true,23,84,2,2,-82,-21
xeni,"Jeffrey Epstein, Joi Ito, and a 23 year old woman of courage at the filthy corrupt MIT MEDIA LAB. https://t.co/zf0RWfK782",2019-09-21T21:22:26.000Z,https://t.co/oPUS6E3o6l,Xeni,👁📝,true,23,99,1,1,-98,-22
jimwindolf,"The M.I.T. Media Lab was embarrassed when its connections to Jeffrey Epstein were revealed. Now there are questions about one of its high-profile science projects (it involves a ""food computer""). https://t.co/KPCDAKefXB",2019-09-22T23:50:00.000Z,https://t.co/tRRzPKMqYz,Jim Windolf,New York,false,23,52,4,4,-48,-19
someone5963,"弁財天: Jeffery Epsteinが伊藤穰一(Joi Ito)所長のMITメデイアラボに出資していた件と六本木のナイトクラブ「XY Relax」w update7

必読です。

伊藤穣一は悪魔儀式👿が大好き。

シンギュラリティは有り得ないw https://t.co/fVLGCiDpcE",2019-08-23T06:00:40.000Z,,人類の敵、目玉カルト粉砕,鍵アカウントフォローは非国民につき、発見次第ブロック,false,22,53,0,0,-53,-22
txtianmiller,In case you thought Jeffrey Epstein was the MIT Media Lab's only problem: https://t.co/K6BqdekKxN @propublica,2019-09-20T12:39:47.000Z,https://t.co/e0ag9bQGJT,T. Christian Miller,"Berkeley, CA",true,21,28,2,0,-28,-19
axios,"The Jeffrey Epstein story is going to far outlive Jeffrey Epstein, as is evidenced by the latest blockbuster report about the criminal’s ties to the MIT Media Lab and revelations about the number of university officials who knew about Epstein’s donations. https://t.co/VRf3ewQjfx",2019-09-15T19:28:12.000Z,https://t.co/B5SXhPF5gM,Axios,NA,true,20,26,2,3,-23,-18
newscientist,Sex offender Jeffrey Epstein donated huge sums of money to the MIT Media Lab. Is it time we had better ways to decide who can fund science? https://t.co/2acNanzQhX https://t.co/I3Xt93ZyHp,2019-09-21T10:46:57.000Z,https://t.co/QhC9P7sAYk,New Scientist,Worldwide,true,19,51,2,10,-41,-17
thedailybeast,"M.I.T. Media Lab director: I’m ""deeply sorry"" for ties to Jeffrey Epstein    https://t.co/V7y6dv6g10",2019-08-17T03:59:22.000Z,https://t.co/F8Dfnikrz3,The Daily Beast,"New York, NY",true,18,25,3,5,-20,-15
Philanthropy,"""Had he not been arrested, it's hard to imagine at what point they could have drawn a line,"" Signe Swenson, who exposed the MIT Media Lab's connection to Jeffrey Epstein, tells the Chronicle. https://t.co/Xe4dwQnrmC",2019-09-11T21:01:00.000Z,http://t.co/1rkgYa12PO,The Chronicle of Philanthropy,"Washington, D.C.",true,18,28,0,1,-27,-18
lsanger,"I haven't been getting much work done lately because I just can't look away. Look at what is happening to tech! Ugh! The big names sullied in connection to Epstein:
MIT Media Lab
Joi Ito
Reid Hoffman
Bill Gates
Richard Stallman
John Brockman
Et tu Larry Lessig &amp; Stewart Brand?",2019-09-17T16:24:14.000Z,https://t.co/GL7HGJx0Hp,Larry Sanger,LarrySanger.org,true,18,28,2,7,-21,-16
kw5hine,"Director of M.I.T. Media Lab Apologizes for Ties to Jeffrey Epstein https://t.co/n3YOmo60Uc MITメディアラボ所長でTwitter Japan社の大株主デジタルガレージ創業者の伊藤穰一氏、エプスタイン被告と公私の付き合いを謝罪

仲間扱いされる前に自ら。捜査が進んでる様子",2019-08-26T04:58:23.000Z,https://t.co/q6CEOJYF7p,Kダブシャイン🎤,天国と地獄,false,16,15,0,0,-15,-16
MRodOfficial,"Solidarity is important, yet people should lay off attacking everyone connected to him.  I’m sure a lot of scientists he met with and funded, were too busy being scientists to get involved in Epstein’s fetishes. Let investigations reveal 🔬 https://t.co/pqtx9ro4Av via @Verge",2019-08-29T05:47:51.000Z,https://t.co/d7oMGfmtyP,Michelle Rodriguez,Earth,true,16,177,3,12,-165,-13
NinaStrohminger,"My latest piece in @latimes highlighting the problems with taking dirty money. featuring research of @ArberTasimi, @mollycrockett  https://t.co/gaQzo6HD5s",2019-09-18T14:16:24.000Z,https://t.co/4eA5aNHhYS,Nina Strohminger,Philadelphia,false,16,59,3,4,-55,-13
