user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
NOTSportsCenter,"The Bulls don’t need Zion Williamson, they need Jesus https://t.co/RHcv9bsM7T",2019-01-18T04:43:05.000Z,https://t.co/6mBaqARfWd,NOTSportsCenter,Everywhere ,false,3623,17626,507,221,-17405,-3116
Koreaboo,"10 idols have been promoted to full members of the Korea Music Copyright Association (KOMCA)

iKON's B.I
Highlight's Yong Junhyung
Zico
Akdong Musician's Lee Chanhyuk
CNBLUE's Jung Yonghwa
Jinyoung
Zion.T
GRAY
Bumzu
SEVENTEEN's Woozi

Congratulations to all of the new members!",2019-01-23T01:15:33.000Z,https://t.co/x8BnPbnUeX,Koreaboo,Worldwide,true,8195,17437,1244,424,-17013,-6951
espn,"Is the #WoodenAward Zion's to lose? You tell us. Time to vote!

(📍@Wendys)",2019-02-05T19:31:34.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,2538,17352,357,201,-17151,-2181
SportsCenter,"Roy Williams has been coaching college ball since the 70s.

He said he's never seen anyone quite like Zion 😳 https://t.co/NFMVMDCLy0",2019-02-18T22:17:13.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,1796,11658,147,97,-11561,-1649
espn,Zion is READY 💥 https://t.co/n43d7Zay5n,2019-01-14T23:39:39.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,1276,10542,209,151,-10391,-1067
BleacherReport,"LeBron says he can relate to Zion:

“He’s been covered since he was in high school and everybody is trying to compare him to the next this or the next that,” per @mcten https://t.co/kU8Qo8ddVr",2019-02-15T14:10:07.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,968,10510,91,84,-10426,-877
SportsCenter,Zion GOT UP for this alley-oop 😤 https://t.co/wFiikFsSHE,2019-01-26T19:02:04.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,1353,10272,132,78,-10194,-1221
SportsCenter,"You'll need at least $2,500 if you want to see UNC-Duke on Wednesday 😮 https://t.co/Ro00VxfVkY",2019-02-19T22:30:51.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,1709,7734,1048,490,-7244,-661
___JK_m,"ジョングクが高校実技試験で歌った曲
Zion.Tさんの ″뻔한 멜로디(Two melodies)″ 
この時から素晴らしい歌声を披露。癒される https://t.co/7lYbgWC0dH",2019-02-08T08:17:26.000Z,,みいてぐ,🐰 🤟🏻 🍋,false,1476,7070,12,3,-7067,-1464
BleacherReport,Views from Mount Zion. https://t.co/ccDaApe07Y,2019-02-03T02:10:52.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,876,5886,110,61,-5825,-766
russwest44,"This shoe is super personal to me. In honor of the people in my life that are most important , here is the #WhyNot Zer0.2 “The Family.”  Available Now! #whynot
https://t.co/jjJKkBpRQB https://t.co/oxvOyvQ3FY",2019-02-06T15:14:23.000Z,https://t.co/da8rU1I43X,Russell Westbrook,"Los Angeles, CA",true,724,5795,71,69,-5726,-653
sportingnews,"The cheapest ticket for UNC vs. Duke is $2,990.

The reason? Zion Williamson. 

The freshman sensation has set the online ticket resale market on fire: https://t.co/mtLhgaqUK4 https://t.co/EopAq7D5lS",2019-02-19T15:16:01.000Z,https://t.co/8z07tnktOn,𝐓𝐡𝐞 𝐒𝐩𝐨𝐫𝐭𝐢𝐧𝐠 𝐍𝐞𝐰𝐬,United States,true,2085,5722,4334,664,-5058,2249
brkicks,The future of Nike Basketball. @jaytatum0 and @kylekuzma wearing the Adapt BB. https://t.co/PSuOUYD0Cc,2019-02-08T18:00:16.000Z,https://t.co/VykgnMdbdL,B/R Kicks,NA,true,1012,5613,223,32,-5581,-789
BleacherReport,"Zion Williamson isn’t just the heavy favorite to go No. 1 in the 2019 draft, he could be the best pick in a decade 

https://t.co/xzmgGR02r4 https://t.co/2Gnd4aeXAJ",2019-01-26T18:28:29.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,651,5322,415,300,-5022,-236
espn,Zion went doink at the rim 🙃 https://t.co/pm7YwhVz13,2019-02-06T01:39:32.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,600,5252,164,80,-5172,-436
ReggaetonAPA,"“Después de tanto me buscas, ¿Por qué será? 🤔” (Zion, Lennox y Balvin, 2016).",2019-02-06T02:53:20.000Z,https://t.co/1k0EvU7PnO,Reggaetón en formato APA,Mid.,false,1424,5150,239,27,-5123,-1185
BleacherReport,"Zion getting ready for next year’s Dunk Contest (via @Mike_Schmitz)

#ATTSlamDunk

https://t.co/nn12pN1KOM",2019-02-16T22:51:55.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,780,4913,97,47,-4866,-683
espn,"Zion with the steal and the two-handed jam! 😮

(📍 @sonicdrivein) https://t.co/PyVIo9Z6th",2019-02-09T23:31:29.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,608,4377,67,54,-4323,-541
TJDhoops,"KD, Kyrie and Zion after winning 60 games and restoring the Knicks to greatness: https://t.co/pkEb9hhix3",2019-02-18T23:52:26.000Z,,Thomas Duffy,"New Jersey, USA",true,979,4185,113,48,-4137,-866
BleacherReport,"Zion tried it 

(via @CBSSports)
https://t.co/f4ddfkZiuz",2019-02-06T01:43:33.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,533,3950,165,78,-3872,-368
