user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
sportingnews,"The cheapest ticket for UNC vs. Duke is $2,990.

The reason? Zion Williamson. 

The freshman sensation has set the online ticket resale market on fire: https://t.co/mtLhgaqUK4 https://t.co/EopAq7D5lS",2019-02-19T15:16:01.000Z,https://t.co/8z07tnktOn,𝐓𝐡𝐞 𝐒𝐩𝐨𝐫𝐭𝐢𝐧𝐠 𝐍𝐞𝐰𝐬,United States,true,2085,5722,4334,664,-5058,2249
Koreaboo,"10 idols have been promoted to full members of the Korea Music Copyright Association (KOMCA)

iKON's B.I
Highlight's Yong Junhyung
Zico
Akdong Musician's Lee Chanhyuk
CNBLUE's Jung Yonghwa
Jinyoung
Zion.T
GRAY
Bumzu
SEVENTEEN's Woozi

Congratulations to all of the new members!",2019-01-23T01:15:33.000Z,https://t.co/x8BnPbnUeX,Koreaboo,Worldwide,true,8195,17437,1244,424,-17013,-6951
SportsCenter,"You'll need at least $2,500 if you want to see UNC-Duke on Wednesday 😮 https://t.co/Ro00VxfVkY",2019-02-19T22:30:51.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,1709,7734,1048,490,-7244,-661
GetUpESPN,.@JalenRose can't see Zion Williamson as an MVP-caliber player in the NBA. https://t.co/ntqdLKFhV8,2019-02-06T14:50:31.000Z,https://t.co/W3G7Gkcg7M,Get Up,"New York, NY",true,509,3555,744,611,-2944,235
atmos_usa,"Giveaway! Win the Off White x Nike Air Max 90! 
-
1. RETWEET
2. Follow @ubiqlife
3. Reply your US shoe size and color! 
-
Disclaimer: The winner will be chosen on [2/11] and contacted via direct message. https://t.co/lMUxm7i4P5",2019-02-07T14:00:20.000Z,https://t.co/KM46LqPJXT,atmos USA,NA,true,6091,2640,621,7213,4573,-5470
NOTSportsCenter,"The Bulls don’t need Zion Williamson, they need Jesus https://t.co/RHcv9bsM7T",2019-01-18T04:43:05.000Z,https://t.co/6mBaqARfWd,NOTSportsCenter,Everywhere ,false,3623,17626,507,221,-17405,-3116
nytopinion,"Zion Williamson's knee injury notwithstanding, paying students to play would ruin college sports https://t.co/3AiCNpOrqp",2019-02-25T20:56:31.000Z,https://t.co/oy7Q8cSQqk,New York Times Opinion,"NYC, London, Paris, Hong Kong",true,31,127,449,452,325,418
BleacherReport,"Zion Williamson isn’t just the heavy favorite to go No. 1 in the 2019 draft, he could be the best pick in a decade 

https://t.co/xzmgGR02r4 https://t.co/2Gnd4aeXAJ",2019-01-26T18:28:29.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,651,5322,415,300,-5022,-236
NBAAllStar,"Inspired by Charlotte’s basketball origins, the Nike-designed #MTNDEWICERisingStars uniforms put a modern twist on the jerseys worn by the ABA’s Carolina Cougars in the 1960s &amp; 1970s. #NBAAllStar https://t.co/uvVoPUikkw",2019-01-30T01:30:12.000Z,https://t.co/abnOE9Wkti,#NBAAllStar,NA,true,659,2861,360,57,-2804,-299
espn,"Is the #WoodenAward Zion's to lose? You tell us. Time to vote!

(📍@Wendys)",2019-02-05T19:31:34.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,2538,17352,357,201,-17151,-2181
espn,".@JalenRose has Zion as an elite prospect, but not as an MVP-caliber talent. 

(via @GetUpESPN) https://t.co/NiwaAW41FY",2019-02-06T17:03:04.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,226,1771,253,251,-1520,27
ReggaetonAPA,"“Después de tanto me buscas, ¿Por qué será? 🤔” (Zion, Lennox y Balvin, 2016).",2019-02-06T02:53:20.000Z,https://t.co/1k0EvU7PnO,Reggaetón en formato APA,Mid.,false,1424,5150,239,27,-5123,-1185
br_CBB,"Antoine Davis is a D-1 player averaging more points than Zion Williamson, but isn’t a projected first-round draft pick. Why?

https://t.co/Z2Kz4fptcB https://t.co/Y3jZg5EpiM",2019-01-24T15:20:54.000Z,http://t.co/FvHHKpvP4R,Bleacher Report CBB,"San Francisco, Calif.",true,544,2723,225,81,-2642,-319
brkicks,The future of Nike Basketball. @jaytatum0 and @kylekuzma wearing the Adapt BB. https://t.co/PSuOUYD0Cc,2019-02-08T18:00:16.000Z,https://t.co/VykgnMdbdL,B/R Kicks,NA,true,1012,5613,223,32,-5581,-789
espn,Zion is READY 💥 https://t.co/n43d7Zay5n,2019-01-14T23:39:39.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,1276,10542,209,151,-10391,-1067
PrisonPlanet,Thousands of offended Muslims have signed a petition demanding that Nike remove a “blasphemous” and “offensive” shoe that they claim has “Allah” inscribed on the sole. https://t.co/cBZIddSN6a,2019-01-28T17:02:51.000Z,https://t.co/LRfnYsWvZZ,Paul Joseph Watson,London,true,568,1307,180,793,-514,-388
Ballislife,"James Banks dunks over...Zion Williamson! 

(Via @VersaceBoyEnt2) https://t.co/WrH0anOFv2",2019-01-26T17:37:04.000Z,https://t.co/eOTaHGe3PZ,Ballislife.com,"Los Angeles, Ca",true,695,2531,167,44,-2487,-528
BleacherReport,"Zion tried it 

(via @CBSSports)
https://t.co/f4ddfkZiuz",2019-02-06T01:43:33.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,533,3950,165,78,-3872,-368
espn,Zion went doink at the rim 🙃 https://t.co/pm7YwhVz13,2019-02-06T01:39:32.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,600,5252,164,80,-5172,-436
eladiocarry_on,💔MI ERROR❤️Ft. ZION https://t.co/ghfZ3z5GKT https://t.co/0FRC9whkLG,2019-02-08T17:23:08.000Z,,ELADIO 🌹,NA,false,460,1085,160,10,-1075,-300
