user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
sportingnews,"The cheapest ticket for UNC vs. Duke is $2,990.

The reason? Zion Williamson. 

The freshman sensation has set the online ticket resale market on fire: https://t.co/mtLhgaqUK4 https://t.co/EopAq7D5lS",2019-02-19T15:16:01.000Z,https://t.co/8z07tnktOn,𝐓𝐡𝐞 𝐒𝐩𝐨𝐫𝐭𝐢𝐧𝐠 𝐍𝐞𝐰𝐬,United States,true,2085,5722,4334,664,-5058,2249
nytopinion,"Zion Williamson's knee injury notwithstanding, paying students to play would ruin college sports https://t.co/3AiCNpOrqp",2019-02-25T20:56:31.000Z,https://t.co/oy7Q8cSQqk,New York Times Opinion,"NYC, London, Paris, Hong Kong",true,31,127,449,452,325,418
GetUpESPN,.@JalenRose can't see Zion Williamson as an MVP-caliber player in the NBA. https://t.co/ntqdLKFhV8,2019-02-06T14:50:31.000Z,https://t.co/W3G7Gkcg7M,Get Up,"New York, NY",true,509,3555,744,611,-2944,235
BenStinar,"How good will Zion Williamson be? 

Scale of 1-10. 1 being Anthony Bennett, and 10 being LeBron James.",2019-02-09T19:29:13.000Z,https://t.co/Yg1UX9L1Gr,Ben Stinar,"Atlanta, GA",true,16,378,136,209,-169,120
PeteThamel,"Zion can dunk, but he can't shoot. Zion is dynamic but lacks a position. Zion makes spectacular plays but is a poor passer. Story on the paradox of Zion the sensation vs. Zion the NBA prospect. https://t.co/PgK8kUrqcw https://t.co/wCMZq8C2cH",2019-02-06T20:52:24.000Z,https://t.co/9YmP4FE9CG,Pete Thamel,Boston MA,true,9,73,80,72,-1,71
Ramina1690,"if Bulls get Zion, can he wear #1? https://t.co/gCXxO67tdD",2019-01-24T23:54:32.000Z,,raMEANa.,Chicago,false,27,203,84,66,-137,57
RobDauster,"The Naismith committee released their candidates for Defensive Player of the Year, and while they included Zion, they did not include Tre Jones - or Charles Matthews, for that matter. They are, for my money, the best defenders at their position in college hoops. Big miss. https://t.co/d6FlVFPmv8",2019-01-22T16:18:38.000Z,https://t.co/fU3vfiU6dK,Rob Dauster,NA,true,29,134,84,44,-90,55
cartierll,"based on your sign, this is which prettymuch members you’ll meet in 2019.

aries- edwin
taurus- brandon &amp; austin
gemini- all
cancer- brandon
leo- zick
virgo- nedwin
libra- nick &amp; austin
scorpio- simon
sagittarius- nick
capricorn- zion 
aquarius- austin
pisces- bredwin",2019-02-01T19:28:09.000Z,,l,NA,false,13,198,48,25,-173,35
TheKnicksWall,Does Zion’s top 3 rappers make you want him more or less? https://t.co/gkJNF5lZN2,2019-01-23T16:03:44.000Z,https://t.co/YH3GC0qYiQ,The Knicks Wall,"New York, NY",false,21,201,54,33,-168,33
UpdateDuke,"If you could add one Duke player from the last 4 years to complete the small ball lineup of Zion, Cam, RJ, Tre &amp; ______. Who would it be? 

Mine would be Quinn Cook. He will slide right into that two spot he played along side tyus and adds much needed consistent shooting from 3.",2019-02-18T14:13:56.000Z,,Duke Update,"Durham, NC",false,5,58,34,55,-3,29
SJUBarstool,Zion clearly didn’t want the smoke from Mustapha https://t.co/kDdM0pd2O5,2019-02-05T04:20:29.000Z,https://t.co/7kbQuwNHcA,Barstool St. John’s,"Queens, NY",true,31,337,59,40,-297,28
espn,".@JalenRose has Zion as an elite prospect, but not as an MVP-caliber talent. 

(via @GetUpESPN) https://t.co/NiwaAW41FY",2019-02-06T17:03:04.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,226,1771,253,251,-1520,27
knicktatorship,"Does Tim Hardaway, Kevin Knox and Frank Ntilikina and a 2020 1st rounder get Anthony Davis? 

Still can draft Zion or Morant...
Possibly sign KD, keep Porzingis. 

#Knicks",2019-01-28T16:31:05.000Z,https://t.co/X1aTSuVfVX,The Knicktator™️,United States,false,22,107,45,75,-32,23
CBSSportsCBB,"Scottie Pippen thinks Duke's Zion Williamson should shut it down and prepare for the NBA draft

https://t.co/xg1nJlTzIE",2019-01-16T22:35:32.000Z,https://t.co/4xEDSLcKrE,CBS Sports CBB,Bracketville.,true,20,64,37,19,-45,17
PlayoffDWade,"I'd rather have Zion Williamson than Anthony Davis, definitely wouldn't trade the #1 pick in the draft for him.",2019-02-07T00:47:05.000Z,,͏wade,The Trenches,false,27,226,44,49,-177,17
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/jBbL2aB88s https://t.co/CofAuEbL2k",2019-01-30T15:13:06.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,11,15,27,43,28,16
YahooSports,Is Zion an MVP caliber player? @JalenRose doesn't think so 👀 https://t.co/ktPt9ubX24,2019-02-06T17:54:51.000Z,https://t.co/DboSfxX8dT,Yahoo Sports,NA,true,11,78,27,36,-42,16
langstonwertzjr,"Should Duke star Zion Williamson 'shut it down' and stop playing college basketball immediately? At least one NBA Hall of Famer thinks so

https://t.co/8BBNXgufsi",2019-01-16T02:19:12.000Z,https://t.co/bhKUoHBTjE,Langston Wertz Jr.,"Charlotte, NC",true,12,23,26,12,-11,14
Tjonesonthenba,What if the Atlanta hawks get Zion to go with all of their current young talent?,2019-01-16T02:44:28.000Z,,Tony Jones,Salt Lake City Utah,true,6,89,20,28,-61,14
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/dTV1ZuLqWx https://t.co/fCrRL6jXdl",2019-01-30T03:13:04.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,18,20,32,67,47,14
