user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
atmos_usa,"Giveaway! Win the Off White x Nike Air Max 90! 
-
1. RETWEET
2. Follow @ubiqlife
3. Reply your US shoe size and color! 
-
Disclaimer: The winner will be chosen on [2/11] and contacted via direct message. https://t.co/lMUxm7i4P5",2019-02-07T14:00:20.000Z,https://t.co/KM46LqPJXT,atmos USA,NA,true,6091,2640,621,7213,4573,-5470
nytopinion,"Zion Williamson's knee injury notwithstanding, paying students to play would ruin college sports https://t.co/3AiCNpOrqp",2019-02-25T20:56:31.000Z,https://t.co/oy7Q8cSQqk,New York Times Opinion,"NYC, London, Paris, Hong Kong",true,31,127,449,452,325,418
NBCNews,"Nike has come under fire for the design of its Air Max shoe, with some calling it insulting to the Islamic faith. - @TODAYShow https://t.co/alclWK5Aku",2019-01-30T06:07:04.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,57,96,68,401,305,11
andrewperloff,"The crew is off this week for @dpshow, but I have a poll question: would you rather have your team sign Bryce Harper or draft Zion Williamson?",2019-02-11T14:42:36.000Z,,Andrew Perloff,NA,true,5,108,14,225,117,9
theblaze,Muslims are outraged this 'blasphemous' design on a Nike shoe — and they want it taken off shelves https://t.co/Bns024jXzN,2019-01-30T01:56:29.000Z,https://t.co/fzW2udWeEx,TheBlaze,"Dallas, TX",true,46,87,51,195,108,5
SportsDirectUK,Where are you running today? 👣Tap to shop the @nike Legend React men’s running shoe features a breathable upper and responsive foam to cushion every step you run. 🏃🏽‍♀️ SHOP HERE &gt;&gt; https://t.co/NObltINO79 https://t.co/3oqEcniAj2,2019-02-05T16:12:16.000Z,https://t.co/JVvlzIR4fD,Sports Direct,United Kingdom,true,3,5,1,95,90,-2
dpshow,Where do you WANT Zion Williamson to end up?,2019-02-19T22:43:01.000Z,https://t.co/1ypu7g0mi6,Dan Patrick Show,"Milford, CT",true,7,23,12,102,79,5
BreitbartNews,https://t.co/aMny9KkE9I,2019-02-01T00:09:30.000Z,http://t.co/2sVbt3n6lO,Breitbart News,NA,true,15,23,13,85,62,-2
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/dTV1ZuLqWx https://t.co/fCrRL6jXdl",2019-01-30T03:13:04.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,18,20,32,67,47,14
DailyCaller,"Thousands Rage Over Nike Shoe With Allah-Like Logo, Claim It’s Offensive To Muslims https://t.co/w9a5VSiIpe https://t.co/2AXjiRadm6",2019-01-30T02:39:56.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,8,9,4,52,43,-4
newscomauHQ,‘Outrageous and appalling of Nike to allow the name of God on a shoe.’ https://t.co/a1pWKY89iV,2019-02-01T02:24:59.000Z,https://t.co/2imUDGKnpC,news.com.au,Australia,true,1,7,6,40,33,5
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/jBbL2aB88s https://t.co/CofAuEbL2k",2019-01-30T15:13:06.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,11,15,27,43,28,16
nypost,Nike Air Max shoe logo sparks outrage for Allah-like design https://t.co/ENI9hjZjDV https://t.co/aWURuTqLuf,2019-01-30T19:33:58.000Z,https://t.co/MwyanWdKnl,New York Post,"New York, NY",true,15,9,8,37,28,-7
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/OXknTrPYXD https://t.co/jzpuOqDraq",2019-01-30T04:55:06.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,8,9,6,34,25,-2
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/ZMefus74gm https://t.co/FeO2A25Kol",2019-01-30T16:13:03.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,6,7,3,30,23,-3
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/vRNcH50Xvu https://t.co/f5n1KSw3rV",2019-01-30T00:04:03.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,7,12,12,34,22,5
thehill,"Thousands demand Nike recall AirMax shoe, saying logo is offensive to Muslims https://t.co/77bV4maZFR https://t.co/RxXMPCbVZz",2019-01-30T17:43:04.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,6,9,7,31,22,1
_Brad_Schmidt,"There's been some Twitter chatter about the photo used online with our story about @adidasUS and T.J. Gassnola, a photo that includes Kentucky coach John Calipari. Kentucky is sponsored by Nike. And Calipari is not mentioned in the story. (1)

https://t.co/vSvwpO1o9A",2019-02-04T21:57:36.000Z,https://t.co/l9tHWzYM5Z,Brad Schmidt,NA,true,4,5,9,26,21,5
DuaneRankin,"Say #Suns have top pick in upcoming #NBA Draft.

What should they do?

1. Keep pick and draft Zion Williamson?

2. Keep pick and draft RJ Barrett or Ja Morant?

3. Trade pick, and a player from their young core, for a proven point guard? 

Something else? https://t.co/B7fU8aW4cQ https://t.co/vAJPbiSquu",2019-02-08T15:49:56.000Z,https://t.co/FLUnIjrfrz,Duane Rankin,"Phoenix, AZ",true,2,8,2,29,21,0
WaddleandSilvy,"Zion or RJ if the #Bulls get the #1 pick in the #NBA draft?
We talk to @jordancornette about the 2 #Duke stars now.",2019-01-28T23:22:42.000Z,https://t.co/iP6oBLjjkp,Silvy,"Chicago, IL",true,4,48,2,68,20,-2
