user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
HarryPater62,"De @VVD wil belastinggeld terug van #Oxfam dat niet is besteed aan hulp voor Haïti.
Kan de #VVD dan ook het salaris terughalen van alle VVD'ers die door fraude, malversaties en onkunde zijn afgetreden ?",2018-02-28T15:46:13.000Z,,Harry Pater,The Netherlands,false,238,471,18,23,-448,-220
thetimes,Tomorrow's front page: Top Oxfam staff paid Haiti survivors for sex #tomorrowspaperstoday https://t.co/xMiQPh0JIn,2018-02-08T22:30:02.000Z,https://t.co/aWO6ICt2VS,The Times,London,true,556,326,273,76,-250,-283
sgurumurthy,Oxfam &amp; the like NGOs will do everything to impede &amp; stop India's rise &amp; Modi detractors will use them as pincers against India https://t.co/fLUWhkDLqI,2018-02-26T13:43:35.000Z,https://t.co/hXYevOOdHm,S Gurumurthy,Chennai,false,256,302,7,15,-287,-249
MinhazMerchant,"Why NGOs like @Oxfam, @amnesty, @christian_aid &amp; others need to clean up their act. My column https://t.co/3sJmlXW4eS",2018-03-06T14:03:50.000Z,https://t.co/iG6Gn9excs,Minhaz Merchant,Mumbai,true,123,163,7,7,-156,-116
Greekboy8,"RT How is it @skynews @BBCNews air #oxfam sex abuse allegations 24/7, but this Huge Public Interest Story re Historic Westminster #ChildAbuse inquiry is given NO AIR TIME #marr #peston #bbcsp #paterson @bbc5live #skypapers #r4today @LBC #ALLOUTPOLITICS  https://t.co/dvvrZFQmWl",2018-02-25T08:13:42.000Z,,stavros,NA,false,241,152,10,20,-132,-231
ShireenMazari1,The Oxfam scandal that has UK govt delinking from the Org is not unique. Foreign govts use these NGOs for their agendas - Save the Children another example as we know in Pak. That is why INGOs &amp; foreign funding of Pak NGOs must be transparent &amp; subject to strict accountability.,2018-02-26T04:29:02.000Z,,Shireen Mazari,Islamabad,true,40,141,2,3,-138,-38
TimesPictures,Top #Oxfam staff paid Haiti survivors for sex. #tomorrowspaperstoday https://t.co/lwgk2BKGyH,2018-02-08T22:09:14.000Z,https://t.co/mr38OOysYa,The Times Pictures,Central London,true,240,112,136,39,-73,-104
newvisionwire,Will Winnie Byanyima survive Oxfam sex scandal? Find the analysis in Saturday Vision. #EPAPER via - https://t.co/DpUmB9m9Jc https://t.co/5SYvCzab7I,2018-02-24T03:46:54.000Z,https://t.co/5GRzKcBmQV,The New Vision,"Kampala, Uganda",true,26,104,6,9,-95,-20
democracynow,"Haitian writer Edwidge Danticat on Oxfam's sexual abuse scandal: ""Maybe this is a #MeToo moment… for aid workers who do this kind of thing, not just in Haiti, but all over the vulnerable world"" https://t.co/QXhATPgyeC",2018-02-26T07:55:06.000Z,https://t.co/McGBFQZwkq,Democracy Now!,New York,true,58,99,0,1,-98,-58
Samfr,"Imagine the poor Oxfam press officer being told about the story.
""Senior staff were fired for paying for sex.""
""OK - that's bad but I'll work up a line""
""They were earthquake survivors.""
""Ah. Right. That's really bad.""
""Oh and some of them may have been underage.""
*Resigns*",2018-02-08T22:44:04.000Z,https://t.co/AoHR9ebiOi,Sam Freedman,London,true,23,94,2,3,-91,-21
