user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
thetimes,Tomorrow's front page: Top Oxfam staff paid Haiti survivors for sex #tomorrowspaperstoday https://t.co/xMiQPh0JIn,2018-02-08T22:30:02.000Z,https://t.co/aWO6ICt2VS,The Times,London,true,556,326,273,76,-250,-283
DavidLammy,Oxfam abuse scandal is built on the aid industry’s white saviour mentality. I agree  with @afuahirsch must read article + analysis. The old-fashioned and colonial model of aid - gap year kids and Westerners flying in to Africa to 'do good' needs to change. https://t.co/v5XSU4sd5p,2018-02-23T09:12:43.000Z,https://t.co/PfjeSx0di9,David Lammy,Tottenham,true,284,586,193,573,-13,-91
TimesPictures,Top #Oxfam staff paid Haiti survivors for sex. #tomorrowspaperstoday https://t.co/lwgk2BKGyH,2018-02-08T22:09:14.000Z,https://t.co/mr38OOysYa,The Times Pictures,Central London,true,240,112,136,39,-73,-104
thetimes,Top Oxfam staff paid Haiti quake survivors for sex https://t.co/nb2OcVzGVu https://t.co/OAeS6m6kaN,2018-02-08T22:39:01.000Z,https://t.co/aWO6ICt2VS,The Times,London,true,43,33,40,13,-20,-3
DJack_Journo,"Top Oxfam staff had ""Caligula-style sex party with young Haitian prostitutes wearing the charity's T-shirts"" during earthquake relief operation https://t.co/734z5ieUl0",2018-02-08T22:22:33.000Z,,David Jack,Essex,true,69,44,38,31,-13,-31
AllieHBNews,Friday’s TIMES: “Top Oxfam staff paid Haiti survivors for sex” #bbcpapers #tomorrowspaperstoday https://t.co/QFPwHfEJKh,2018-02-08T22:16:13.000Z,https://t.co/A0Q2m1MVJa,Allie Hodgkins-Brown,"London, England",true,70,25,33,6,-19,-37
BlazeTV,"The sex abuse scandals Leftists don’t want to talk about
Have you heard of the Oxfam sexual abuse scandal? Probably not.
@MichelleMalkin explains the big dirty secret the LEFT doesn't want you to know about.

Watch more Michelle at CRTV:
https://t.co/L6GHQAqw80 https://t.co/XjhrqRiGff",2018-02-23T01:23:29.000Z,https://t.co/nK2mUC5orJ,BlazeTV,America,true,295,529,32,28,-501,-263
sarajcox,What happened in Haiti was a disgrace but in my opinion turning our backs on @oxfamgb and the many thousands of people it helps is not the answer. I will continue to support @oxfamgb &amp; it’s mission to ease poverty &amp; suffering around the world.,2018-02-21T08:20:03.000Z,https://t.co/Tf5HePZUkB,sara cox💙,gawping in the fridge,true,300,2827,28,90,-2737,-272
HarryPater62,"De @VVD wil belastinggeld terug van #Oxfam dat niet is besteed aan hulp voor Haïti.
Kan de #VVD dan ook het salaris terughalen van alle VVD'ers die door fraude, malversaties en onkunde zijn afgetreden ?",2018-02-28T15:46:13.000Z,,Harry Pater,The Netherlands,false,238,471,18,23,-448,-220
subhash_kak,"""Liberals claim paying for sex is defensible because it provides an income to poor women"" 
The whole charitable sector uses prostitutes, not just Oxfam.  https://t.co/qVrrEsCMwZ",2018-02-21T18:32:14.000Z,https://t.co/SViAqJEXmk,Subhash Kak ☀️,Stillwater & इन्द्रप्रस्थ,false,303,237,17,13,-224,-286
