user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
leilabilling,Boom! I wanna hear far far more voices from the global south on the #oxfamscandal and #aidtoo. Great stuff here #globaldev https://t.co/Odxfg27oQz,2018-02-27T07:00:59.000Z,https://t.co/myGCjS8fna,Leila Billing,"Cambridge, England",false,1,5,3,0,-5,2
Independent,Mary Beard posts tearful picture of herself after defence of Oxfam aid workers provokes backlash https://t.co/I11WDqf8GG,2018-02-18T19:52:00.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,6,16,7,14,-2,1
LondonLovesProp,All about #SaveTheChildren charity scandal. Read here: https://t.co/VjtayrBsAR #UKNews #charity #Scandal #oxfamscandal https://t.co/z9JpCVUMVh,2018-02-21T11:19:25.000Z,https://t.co/yGhpJmty1m,LondonLovesProperty,"London, England",false,1,1,2,0,-1,1
TimesONeill,"Oxfam GB banned from work in Haiti 

https://t.co/1ywTiy2Ip1",2018-02-23T08:15:08.000Z,https://t.co/b8Zu01yBP4,Sean O'Neill,London,true,1,2,2,0,-2,1
Independent,'The overreaction to Oxfam's failings is part of a deeper and more damaging malaise' https://t.co/eFOJeeEf5I,2018-02-23T15:15:26.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,2,10,3,3,-7,1
newint,"When disasters strike, put women in charge: https://t.co/XE9h8y9O2Q",2018-02-25T18:05:10.000Z,https://t.co/W7KywjGE3j,New Internationalist,Worldwide,true,1,4,2,0,-4,1
intldogooder,"[New] I've been reticent to offer up my perspective on the #AidToo #OxfamScandal, until now: https://t.co/stSepMOMxo #globaldev #NGOs #aid https://t.co/SAwmOOwYrM",2018-03-01T19:44:14.000Z,https://t.co/g2yyxwlKCr,Jennifer Lentfer,"Omaha, Nebraska, U.S.A.",false,6,10,7,0,-10,1
LauraRound,"In Bright Blue's latest podcast I am joined by @GillianKeegan, @lucycthomas &amp; @CapurrodDaniel to discuss Brexit, the review of higher education and the Oxfam scandal. Listen here: https://t.co/x3jx3qixSw https://t.co/MygnYPtGPx",2018-03-02T10:36:10.000Z,https://t.co/vYIsAB6vJK,Laura Round,London,true,1,5,2,0,-5,1
STVNews,Annie Lennox will 'stay loyal' to Oxfam after sex scandal  https://t.co/tHUtmS4JDW,2018-03-04T13:13:50.000Z,https://t.co/Jon1aMuyLO,STV News,Scotland,true,2,14,3,5,-9,1
SolentJou,"Following the Oxfam scandal, the list of accused charities is growing. @chelseymutter has been looking into the story. Do you think there should be more clarity from charities about the work they do? Leave your comments below. https://t.co/MsxbIiXnff https://t.co/FoZB9BXNJo",2018-03-07T11:54:17.000Z,https://t.co/5xvvbsVkRn,Solent Journalism,"Southampton, England",false,1,1,2,0,-1,1
TRVSTworld,"""We need to re-imagine how we think of #internationaldevelopment. We are in a moment now in which we have a choice."" @maryannmhina offers a #roadmap for change following the #oxfamscandal and #Aidtoo &gt;&gt; https://t.co/iP5i7Gb9Bu https://t.co/T7Bb9qrV3p",2018-03-07T16:30:59.000Z,https://t.co/RersZTtjhL,TRVST,Global,false,2,10,3,0,-10,1
SocietyGuardian,The Oxfam scandal has taught us that there is no reward for honest charities | Angela Crack https://t.co/w2LftFI3c8,2018-03-16T07:25:04.000Z,http://t.co/P34IEpI2xB,Society Guardian,London,true,1,3,2,0,-3,1
stevemayman,"Before commenting on Mary Beard's TLS piece or her Tweets on Oxfam in Haiti, reading what she actually wrote would be appropriate &amp; appreciated. There are no simple solutions to complex issues such as natural disasters. Oxfam bosses remain culpable though. https://t.co/4Iuv28fNqi",2018-02-18T01:22:27.000Z,http://t.co/PoWnqy8VBf,Stephen Elliott,Northern Ireland,false,1,5,1,0,-5,0
tempodotco,"Skandal Seks Oxfam, Presiden Haiti: Harga Diri Kami Terinjak https://t.co/EbDZMiqHUE",2018-02-18T01:43:07.000Z,,TEMPO.CO,Indonesia,true,1,1,1,0,-1,0
DrMeaganTyler,Never miss an @oliverburkeman column in my Guardian Weekly. Glad I can add yet another thing I admire about his way of thinking things through. #oxfamscandal #EndVAWG #EndDemand https://t.co/bEoe0Fbyka,2018-02-18T06:01:13.000Z,https://t.co/CLYS6e1VVm,Meagan Tyler,Australia,false,1,2,1,1,-1,0
JustMeBeingMe4,"Also #BendanCox allegations were widely known.... I knew....MANY KNEW &amp; questioned it.... but Brendan was useful for #WhiteHelmets promotion &amp; 2 secure UK Gov funding in #Syria war........no?

https://t.co/QQVidhgQEO

#CSAInquiry
#oxfamscandal
#marr
@UKLabour
@BBCNews
@SkyNews",2018-02-18T09:06:49.000Z,https://t.co/6XfYR0btrl,💙Catherine A Higgins (Kamara-Taylor),"Manchester, England",false,2,5,2,1,-4,0
