user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
DavidLammy,Oxfam abuse scandal is built on the aid industry’s white saviour mentality. I agree  with @afuahirsch must read article + analysis. The old-fashioned and colonial model of aid - gap year kids and Westerners flying in to Africa to 'do good' needs to change. https://t.co/v5XSU4sd5p,2018-02-23T09:12:43.000Z,https://t.co/PfjeSx0di9,David Lammy,Tottenham,true,284,586,193,573,-13,-91
JeremyVineOn5,"Is it churlish to cancel your Oxfam donations because of a few rotten apples? 7,000 have walked away since the Haiti sex scandal and the Government has withdrawn millions in funding just as workers head to Syria. Will you carry on giving, or save your cash for a better-run cause?",2018-02-21T07:12:42.000Z,https://t.co/AVLig9qLcb,Jeremy Vine On 5,"London, England",true,8,29,3,102,73,-5
sarajcox,What happened in Haiti was a disgrace but in my opinion turning our backs on @oxfamgb and the many thousands of people it helps is not the answer. I will continue to support @oxfamgb &amp; it’s mission to ease poverty &amp; suffering around the world.,2018-02-21T08:20:03.000Z,https://t.co/Tf5HePZUkB,sara cox💙,gawping in the fridge,true,300,2827,28,90,-2737,-272
thetimes,Tomorrow's front page: Top Oxfam staff paid Haiti survivors for sex #tomorrowspaperstoday https://t.co/xMiQPh0JIn,2018-02-08T22:30:02.000Z,https://t.co/aWO6ICt2VS,The Times,London,true,556,326,273,76,-250,-283
LBC,"Thousands have canceled donations to Oxfam, and ex-Save The Children boss, Justin Forsyth, has ""apologised unreservedly"" to the three workers - are you surprised this scandal has hit the charity sector? https://t.co/di55SGxKRJ",2018-02-21T07:05:23.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,8,13,8,58,45,0
CNN,"5 things for Friday:

- Florida shooting
- Russia and Syria
- Missouri governor indicted
- Oxfam scandal
- Net neutrality

https://t.co/McYGsKf1zA https://t.co/P55EPzbtLi",2018-02-23T12:00:06.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,40,118,7,49,-69,-33
oxfamgb,We want you to know that we are committed to fixing the things we got wrong so we can better protect the people we serve - and continue to fight poverty wherever and however it exists. Read our action plan at https://t.co/nZUU8Gu88i,2018-02-18T20:30:42.000Z,https://t.co/oqNow3EnzX,Oxfam,NA,true,84,203,9,43,-160,-75
MrJonnyBenjamin,"Is it just me or do things feel incredibly bleak?! It’s so hard to find hope in this current world.
I used to avidly read news but now I skim over it. It’s become despairing. Just when you think it couldn’t get any worse...out came all the news about sexual misconduct at Oxfam.",2018-02-21T05:08:06.000Z,https://t.co/4t8teeel3v,Jonny Benjamin (lost blue tick 4 tweeting truth..),Stuck in my head overthinking,false,11,150,4,41,-109,-7
TimesPictures,Top #Oxfam staff paid Haiti survivors for sex. #tomorrowspaperstoday https://t.co/lwgk2BKGyH,2018-02-08T22:09:14.000Z,https://t.co/mr38OOysYa,The Times Pictures,Central London,true,240,112,136,39,-73,-104
EUVoteLeave23rd,"So we have #BrendanCox exposed as a #SexPest, #Corbyn, #McDonnell &amp; #Livingstone accused of #spying for the #soviets, #Oxfam torn apart by sex controversy &amp; more allegations involving a #Labour cover up of #groominggangs &amp; the #Left are supposedly our #MoralGuardians because..?🤔 https://t.co/6W4yjbgFWg",2018-02-18T15:25:40.000Z,,"Supporting Brexit - Job Done, Brexit Won!",United Kingdom,false,311,387,16,33,-354,-295
