user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
christianponze,Kendall Jenner's Pepsi commercial was tragic but have you seen the new Coke ad with Gigi Hadid? https://t.co/4Cf2cmGikH,2017-04-17T23:01:53.000Z,,Christian,"San Diego, CA",false,1712,4364,116,19,-4345,-1596
NicCageMatch,"Andrew Jackson, who died 172 years before it happened, would never have let Kendall Jenner make that Pepsi commercial.",2017-05-02T16:52:36.000Z,https://t.co/KYGQlO0IVM,summer goth 🦇,Doom Town,true,370,1948,57,11,-1937,-313
PopCrave,"Media outlets and journalists warned not to ask Kendall Jenner about Pepsi Ad at #Coachella. They will be ""blacklisted"" if they ask anyway. https://t.co/KZqP3BWd60",2017-04-16T18:40:35.000Z,https://t.co/oNqbtKv2zN,Pop Crave,"Miami, FL",false,877,1875,1241,139,-1736,364
Sadieisonfire,I just got pulled over for speeding and when I offered the cop a Pepsi he just kicked my ass wtf @KendallJenner,2017-04-18T02:28:17.000Z,https://t.co/YudFUNDHRJ,1994 Subaru Outback,"Toronto, Ontario",false,489,1840,5,5,-1835,-484
MorganRadford,Protest + @pepsi ❓#TaxMarch https://t.co/o7iqyKQQHt,2017-04-15T16:50:52.000Z,,Morgan Radford,NYC,true,416,1358,29,27,-1331,-387
Poshboy97,Love the new pepsi ad https://t.co/pg8ISanam8,2017-05-07T16:42:35.000Z,,Prior 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Peterborough United FC (50/92),false,404,1247,11,6,-1241,-393
jananamirah,"Shea Moisture could have just said ""All Hair Matters"" then ended the ad over a bottle of Pepsi.",2017-04-24T19:14:34.000Z,,Janan,NA,true,612,1223,31,9,-1214,-581
benshapiro,#AndrewJacksonWouldHave prevented that Pepsi commercial.,2017-05-02T02:01:44.000Z,https://t.co/3sF3RiV7g2,Ben Shapiro,NA,true,252,1125,6,36,-1089,-246
steph0sims,"my brothers been away for 2 days and we found all the empty Pepsi bottles he's been hiding
Kendall would be proud https://t.co/VcVoqN4TRL",2017-05-07T14:54:36.000Z,https://t.co/dVS83pWeHC,steph,she/her,true,54,561,6,26,-535,-48
ABC,"Portland police cancel permit for May Day march after protesters toss Molotov cocktails, cans of Pepsi at officers. https://t.co/2FWiBfOTzH https://t.co/XEY3t3NkU1",2017-05-02T01:18:11.000Z,https://t.co/26XEt8onYo,ABC News,New York City / Worldwide,true,599,524,216,223,-301,-383
TaranKillam,"I don't drink beer. But maaaaybe I will now? (No, I hate the taste. But this is beautiful) https://t.co/ViLgXUKZdc",2017-04-26T18:52:32.000Z,https://t.co/ZL3OQfKs9z,Taran Killam,Coastal,true,238,515,59,18,-497,-179
nuffsaidny,"Pepsi: We just had the biggest PR nightmare w/ that ad. Black Twitter hates us.

Shea Moisture: Hold my 10-in-1 Renewal System Conditioner.",2017-04-24T20:33:57.000Z,https://t.co/qu2Qi9iSGS,NUFF,NYC,false,270,504,17,7,-497,-253
ComfortablySmug,"Since that Pepsi ad, we've hit Syria, MOAB'd Afghanistan, and put N. Korea on notice. 
Is Kendall Jenner the most hawkish spokesperson ever?",2017-04-14T01:31:11.000Z,https://t.co/MjIvEjg8i0,Comfortably Smug,"New York, New York",false,90,382,5,13,-369,-85
BAKKOOONN,"male cops lactate pepsi. they have to let you drink if you ask, its part of the ""cop's code""",2017-04-17T03:11:15.000Z,https://t.co/9klXHIN29z,BAKOON,NA,false,62,380,1,2,-378,-61
kaspgal,A brilliant 1999 Pepsi commercial starring Sir Alex &amp; co! #MUFC https://t.co/QGPk2hJG91,2017-03-27T21:06:35.000Z,https://t.co/Ocj8SEyMeT,𝔎𝔊,NA,false,297,359,14,3,-356,-283
SterlingKBrown,Heineken Just Put Out The Antidote to That Pepsi Kendall Jenner Ad https://t.co/Ed5pRU2aOX Anybody wanna grab a beer? #ComeTogether ✌🏿❤️✊🏿,2017-04-30T02:41:37.000Z,https://t.co/I7gRWsQXX0,Sterling K Brown,NA,true,46,312,5,19,-293,-41
ItsCoreyScherer,Join @Tinashe the soulful songstress behind the hit Flame on #TheSoundDrop @Pepsi -&gt; https://t.co/ble0gb1y0O  #ad https://t.co/LE2VZmVIXu,2017-04-17T18:58:00.000Z,https://t.co/T0rdiQTiA1,Yeroc,Planet xiii,true,30,297,0,2,-295,-30
lushsux,"""Black lives matter or something"" - @KendallJenner #kendalljenner #pepsi #blacklivesmatter https://t.co/iIaTtlXEWe",2017-04-14T23:25:09.000Z,,@lushsux,NA,false,59,251,1,4,-247,-58
iHeartRadio,Discover the inspiration behind #Flame by @Tinashe on https://t.co/evRgxrOSRQ @Pepsi #ad https://t.co/oBOnH0R4Bm,2017-04-16T18:00:05.000Z,https://t.co/w6l3BmIaXz,iHeartRadio,United States,true,73,250,1,3,-247,-72
ComfortablySmug,"Guys, my header image is now Kendall Jenner handing Tomi Lahren a Pepsi in front of a MOAB. @thecivilcomment makes dreams come true! https://t.co/3QP8spT0wZ",2017-04-14T03:27:18.000Z,https://t.co/MjIvEjg8i0,Comfortably Smug,"New York, New York",false,48,238,5,18,-220,-43
