user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Adweek,"Q4: United, Pepsi, Uber, Shea Moisture...has the true power in marketing shifted from execs to consumers? #AdweekChat",2017-04-26T18:34:01.000Z,https://t.co/5GsyiFiwln,Adweek,New York City,true,14,29,9,54,25,-5
foxandfriends,May Day protests: Rioters throw full cans of Pepsi at Oregon police https://t.co/gFZr4z4P4M,2017-05-03T07:13:11.000Z,https://t.co/xg790NQUNl,FOX & friends,New York City,true,34,25,6,38,13,-28
DailyCaller,Kendall Jenner Won’t Let Pepsi Commercial Controversy Keep Her From Coachella https://t.co/q073TmPvfx https://t.co/6vzBMSTjV1,2017-04-14T02:40:32.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,1,3,17,11,8,16
RussellSperry,(VIDEO) of what happens when you offer a Pepsi at a protest. Why do these people keep keep acting more like #ISIS? https://t.co/c1ER9Nx08h,2017-04-20T01:41:38.000Z,,Russell Sperry,NA,false,6,10,2,16,6,-4
HealthSocMed,TOPIC 1 - Pepsi missed the mark with their commercial. What can HC orgs do differently to not miss mark when engaging pt communities? #hcsm,2017-04-24T01:09:00.000Z,https://t.co/gwYbh1xozm,HealthSocMed | #hcsm,#hcsm,false,2,1,0,6,5,-2
thedailybeast,What did Caitlyn Jenner think about the controversy around Kendall Jenner's Pepsi commercial? Watch our interview https://t.co/SsDddxp0VS https://t.co/QxJ2V7DFbG,2017-04-26T14:40:55.000Z,https://t.co/F8Dfnikrz3,The Daily Beast,"New York, NY",true,5,5,4,10,5,-1
FoxNews,May Day protests: Rioters throw full cans of Pepsi at Oregon police https://t.co/oPa4DKvyFv,2017-05-03T07:36:04.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,146,196,58,201,5,-88
HuffPost,"Coming soon: our exclusive with Caitlyn Jenner, who spoke to @noahmichelson about Trump, womanhood, and Kendall's Pepsi ad -- @lpolgreen",2017-04-26T13:24:05.000Z,https://t.co/DLXRSufyhx,HuffPost,NA,true,7,11,3,13,2,-4
alanthomascox,There's no accounting for taste: Pepsi's brand image has improved 44% following ad fiasco in the US https://t.co/tdKYAekPWZ #Marketing,2017-04-17T21:53:17.000Z,,Alan Cox,Dublin,false,1,1,1,2,1,0
LaurenInk,"“No Pepsi, No Peace” by @jetta_rae https://t.co/nlidBDuhXx",2017-04-18T13:58:43.000Z,https://t.co/FivEU3dNAi,Participation Trophy Wife,"Oakland, CA",false,2,1,0,2,1,-2
DailyCaller,PHOTOS: Photos Surface Of Kendall Jenner Looking Very Different After Pepsi Ad https://t.co/PqxXbHdqKI https://t.co/6ixX17dAdB,2017-04-19T17:45:11.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,2,1,0,2,1,-2
HipHopWired,Hold My Pepsi: Shea Moisture Gets Dragged For Gentrifying Hair Hate https://t.co/ccVVYnqgv9 https://t.co/TvCCoZCOot,2017-04-24T19:05:50.000Z,http://t.co/3QJrsNECJL,HipHopWired,NA,false,2,1,1,2,1,-1
sharasekaram,@welikalaa - interesting and tad cynical perspective. Thoughts? cc @amanashraff @sanjanah https://t.co/ttvFNyohWg,2017-04-30T05:10:40.000Z,https://t.co/2qFXXryYGr,Sharanya Sekaram,"Colombo, Sri Lanka",false,1,1,0,2,1,-1
rajvj,Vivo and Oppo are the new Pepsi-Cola. So many ad banners everywhere in the city. They haven't spared a tea shop either.,2017-05-01T09:57:24.000Z,,Vijay Raj,"Bangalore, India",false,3,3,0,4,1,-3
aniacopian,@mr_tumnus have you read this? https://t.co/8BWzldCBYs,2017-05-01T18:39:40.000Z,https://t.co/XNvxSHL7rq,ani,LA,true,1,1,0,2,1,-1
fivedollardare,that Heineken ad is def worse than the pepsi ad,2017-05-01T22:04:46.000Z,,kiefer hoverhand,"Mtl, QC",false,1,2,0,3,1,-1
AaronMesh,Spiders and smoke and shattering of shop windows. It was May Day in Little Beirut. (Brought to you by @coreypein.) https://t.co/bLszWeG12D https://t.co/EG0JAVNrUj,2017-05-02T02:23:12.000Z,https://t.co/UXJ3fIfI2b,Aaron Mesh,"Portland, OR",false,5,8,1,9,1,-4
pelotonbrief,The Giro descending Comp: the Pepsi ad of the cycling world. PEOPLE WHICH IS WORSE?,2017-05-02T16:34:40.000Z,https://t.co/ytZKvzEFzK,The Peloton Brief,"Girona, Spain",false,2,1,0,2,1,-2
2ANow,No Coke Pepsi - Portland Leftist protesters pelted police with cans of PEPSI https://t.co/9IOqmTDVHE via @MailOnline,2017-05-04T04:38:57.000Z,,2ANow ❌,Rent Free In Liberal Heads,false,2,1,2,2,1,0
Sakun_SD,"Glad the #lka tweeps drama is over! 

Kendall Jenner was about to come with a Pepsi to solve the issue! 😂",2017-05-07T10:31:17.000Z,,Sakun,Perth Western Australia ,false,2,2,0,3,1,-2
