user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
christianponze,Kendall Jenner's Pepsi commercial was tragic but have you seen the new Coke ad with Gigi Hadid? https://t.co/4Cf2cmGikH,2017-04-17T23:01:53.000Z,,Christian,"San Diego, CA",false,1712,4364,116,19,-4345,-1596
PopCrave,"Media outlets and journalists warned not to ask Kendall Jenner about Pepsi Ad at #Coachella. They will be ""blacklisted"" if they ask anyway. https://t.co/KZqP3BWd60",2017-04-16T18:40:35.000Z,https://t.co/oNqbtKv2zN,Pop Crave,"Miami, FL",false,877,1875,1241,139,-1736,364
jananamirah,"Shea Moisture could have just said ""All Hair Matters"" then ended the ad over a bottle of Pepsi.",2017-04-24T19:14:34.000Z,,Janan,NA,true,612,1223,31,9,-1214,-581
ABC,"Portland police cancel permit for May Day march after protesters toss Molotov cocktails, cans of Pepsi at officers. https://t.co/2FWiBfOTzH https://t.co/XEY3t3NkU1",2017-05-02T01:18:11.000Z,https://t.co/26XEt8onYo,ABC News,New York City / Worldwide,true,599,524,216,223,-301,-383
ShmilyJackson,"【170328 NEW AD】PEPSI❤👏👏👏👏👏👏
#JacksonWang #잭슨 #王嘉爾 #แจ็คสัน #KINGJACKSONDAY https://t.co/S9Ng1MSzMx",2017-03-28T10:16:01.000Z,,ShmilyJackson王嘉尔告白站,Hong Kong,false,550,183,15,0,-183,-535
Sadieisonfire,I just got pulled over for speeding and when I offered the cop a Pepsi he just kicked my ass wtf @KendallJenner,2017-04-18T02:28:17.000Z,https://t.co/YudFUNDHRJ,1994 Subaru Outback,"Toronto, Ontario",false,489,1840,5,5,-1835,-484
MorganRadford,Protest + @pepsi ❓#TaxMarch https://t.co/o7iqyKQQHt,2017-04-15T16:50:52.000Z,,Morgan Radford,NYC,true,416,1358,29,27,-1331,-387
Poshboy97,Love the new pepsi ad https://t.co/pg8ISanam8,2017-05-07T16:42:35.000Z,,Prior 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Peterborough United FC (50/92),false,404,1247,11,6,-1241,-393
NicCageMatch,"Andrew Jackson, who died 172 years before it happened, would never have let Kendall Jenner make that Pepsi commercial.",2017-05-02T16:52:36.000Z,https://t.co/KYGQlO0IVM,summer goth 🦇,Doom Town,true,370,1948,57,11,-1937,-313
kaspgal,A brilliant 1999 Pepsi commercial starring Sir Alex &amp; co! #MUFC https://t.co/QGPk2hJG91,2017-03-27T21:06:35.000Z,https://t.co/Ocj8SEyMeT,𝔎𝔊,NA,false,297,359,14,3,-356,-283
nuffsaidny,"Pepsi: We just had the biggest PR nightmare w/ that ad. Black Twitter hates us.

Shea Moisture: Hold my 10-in-1 Renewal System Conditioner.",2017-04-24T20:33:57.000Z,https://t.co/qu2Qi9iSGS,NUFF,NYC,false,270,504,17,7,-497,-253
benshapiro,#AndrewJacksonWouldHave prevented that Pepsi commercial.,2017-05-02T02:01:44.000Z,https://t.co/3sF3RiV7g2,Ben Shapiro,NA,true,252,1125,6,36,-1089,-246
TaranKillam,"I don't drink beer. But maaaaybe I will now? (No, I hate the taste. But this is beautiful) https://t.co/ViLgXUKZdc",2017-04-26T18:52:32.000Z,https://t.co/ZL3OQfKs9z,Taran Killam,Coastal,true,238,515,59,18,-497,-179
supermorgy,New PEPSI Ad with KENDALL JENNER Slammed for Being Insensitive https://t.co/P3Kqa882yr #KendallJenner #Pepsi #PepsiAd https://t.co/5286mECFlz,2017-05-04T10:01:48.000Z,https://t.co/uG64eBFR1a,Morgan ™,Republic of the Philippines,false,162,2,0,0,-2,-162
BuletinTigaSuku,"Sejarah : 8 May 1945, Kendall Jenner memberikan Pepsi kepada Adolf Hitler membuatkan Hitler tersentuh dan terus menamatkan WW2. https://t.co/SLXw4lNJjy",2017-04-18T04:06:32.000Z,,Mape,NA,false,147,58,1,1,-57,-146
FoxNews,May Day protests: Rioters throw full cans of Pepsi at Oregon police https://t.co/oPa4DKvyFv,2017-05-03T07:36:04.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,146,196,58,201,5,-88
guardian,Protesters throw Pepsi cans at police during May Day demonstrations https://t.co/Rt3JThyDaK,2017-05-02T05:21:57.000Z,https://t.co/c53pnmnuIT,The Guardian,London,true,132,192,52,19,-173,-80
BiancaJagger,Must watch https://t.co/KyL7PZwxps,2017-05-07T07:35:41.000Z,,Bianca Jagger Nicaraguense por gracia de Dios 🇳🇮,The Universe,false,132,8,1,0,-8,-131
Golden_Chronos,wow @pepsi's new ad looks great cant wait for it to come out https://t.co/pOVfiHSFRL,2017-04-15T23:06:22.000Z,https://t.co/im3A3cSI5H,Cro,Discord - GoldCro#0001,false,131,188,1,5,-183,-130
CookWithManali,Clean Soda with no artificial color and zero calories! Find more: https://t.co/nS1w28MzUJ #SugarFreeLife #ad @Zevia https://t.co/wSlZWSmAZQ,2017-04-24T14:17:32.000Z,http://t.co/od950TNin0,Manali Singh,"Seattle, WA",false,112,24,0,0,-24,-112
