user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Julian_Epp,Someone handed this cop a Pepsi at this protest and it exploded so he stormed off https://t.co/rJwlmSpysC,2017-04-11T22:14:40.000Z,https://t.co/pFSbt14rqU,Jules,"New York, NY",true,17383,47140,1137,156,-46984,-16246
SamuelAAdams,The last scene of Girls is Hannah writing the Kendall Jenner Pepsi ad.,2017-04-13T17:36:55.000Z,https://t.co/qhrO00fzqL,Sam Adams,sam.adams@slate.com,true,1285,6455,94,28,-6427,-1191
christianponze,Kendall Jenner's Pepsi commercial was tragic but have you seen the new Coke ad with Gigi Hadid? https://t.co/4Cf2cmGikH,2017-04-17T23:01:53.000Z,,Christian,"San Diego, CA",false,1712,4364,116,19,-4345,-1596
ryan_the_manns,"GUYS GUYS ITS OK KENDALL WENT TO #fyrefestival IM SURE SHE BROUGHT ENOUGH PEPSI TO FIX, THIS CALM DOWN.",2017-04-28T20:39:44.000Z,,THE Ryan Manns,The Edge,false,805,3418,29,10,-3408,-776
MatthewACherry,"Pepsi, Kendall Jenner &amp; United looking at Sean Spicer like https://t.co/vu0EYWbCvu",2017-04-11T19:15:03.000Z,,Matthew A. Cherry,Chicago/LA,true,1521,3402,100,54,-3348,-1421
chelseahandler,"Trump says about Bannon, “I’m my own strategist.” That’s like Pepsi saying, “I’m my own advertising agency.”",2017-04-12T23:46:37.000Z,https://t.co/rO36Sh8l13,Chelsea Handler,"Los Angeles, CA",true,426,3151,15,107,-3044,-411
moniquexjade,"@KendallJenner girl, you better show up and hand a pepsi to everyone scammed by fyre fest quick",2017-04-28T10:01:47.000Z,,Monique,"Sydney, New South Wales",false,727,3020,22,7,-3013,-705
kylegriffin1,"""And then Kendall Jenner walks in and she walks up to one of the police officers and hands them a Pepsi..."" #SNL https://t.co/dA3LfPbM4M",2017-04-09T04:41:55.000Z,https://t.co/1vRL91g006,Kyle Griffin,"Los Angeles, CA",true,737,2095,44,19,-2076,-693
nbcsnl,"“Hey! Sorry I can’t super talk right now, I’m on the set of this huge Pepsi commercial I’m doing…” #SNL https://t.co/5Od8W3khYO",2017-04-09T04:29:31.000Z,https://t.co/dILAh42wmo,Saturday Night Live - SNL,30 Rock,true,707,2069,90,35,-2034,-617
bblackbarbiee,y'all paid thousands of dollars to go to a festival promoted by Ja Rule and Kendall pepsi disaster Jenner.. https://t.co/qVGsAqH3FM,2017-04-28T05:44:56.000Z,,Brie♡,"Carlsbad, CA",false,622,1968,21,7,-1961,-601
NicCageMatch,"Andrew Jackson, who died 172 years before it happened, would never have let Kendall Jenner make that Pepsi commercial.",2017-05-02T16:52:36.000Z,https://t.co/KYGQlO0IVM,summer goth 🦇,Doom Town,true,370,1948,57,11,-1937,-313
PopCrave,"Media outlets and journalists warned not to ask Kendall Jenner about Pepsi Ad at #Coachella. They will be ""blacklisted"" if they ask anyway. https://t.co/KZqP3BWd60",2017-04-16T18:40:35.000Z,https://t.co/oNqbtKv2zN,Pop Crave,"Miami, FL",false,877,1875,1241,139,-1736,364
Sadieisonfire,I just got pulled over for speeding and when I offered the cop a Pepsi he just kicked my ass wtf @KendallJenner,2017-04-18T02:28:17.000Z,https://t.co/YudFUNDHRJ,1994 Subaru Outback,"Toronto, Ontario",false,489,1840,5,5,-1835,-484
OfficialSPGB,Pepsi ad reworked (They Live style). https://t.co/9TZeGQpHOP,2017-04-08T18:55:16.000Z,https://t.co/SiI2ZkrsJA,The Socialist Party,UK,true,947,1642,71,42,-1600,-876
FrogAvalanche,"Kendall Jenner: Big year for me in 2017.
Pepsi: Hold my drink.
Fyre Festival: LET US HOLD UR DRINK, WE DONT HAVE ANY FUCKN THING",2017-04-28T12:57:00.000Z,,Hoppers,"Awestralia, mate",false,365,1505,44,0,-1505,-321
