user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
MurderBryan,Cops are always like “someone cummed in my Pepsi and now I’m in the hospital” and a day later they issue a small print press release that says “there was no cum in the Pepsi” because a cop doesn’t know what a panic attack is,2020-06-16T15:51:05.000Z,,Bяyan,Ohio,false,2718,21750,31,60,-21690,-2687
RobertKennedyJr,"Despite rampant diet-related disease in the U.S., a new report finds that soft-drink companies—led by corporate giants PepsiCo + CocaCola—are ramping up efforts to promote sugary drinks to the tune of $1 billion per year.

https://t.co/3RciaxbW2A",2020-06-25T12:19:00.000Z,https://t.co/Xi24MTmhj6,Robert F. Kennedy Jr,"Los Angles, California",true,207,415,29,44,-371,-178
albertKatruGuma,"Just like a TV will run a Coca Cola Ad in the morning and also run a Pepsi one in the evening..
If i ran NRM campaigns woggos today and you saw me run DP's tomorrow, mind your business😂
My Job is to make sure people know all their options😂

Enjoy the rest of your afternoon!",2020-06-26T11:22:26.000Z,https://t.co/iYskcpqSOY,ALBERT | KatruGuma,Kampala,false,131,403,29,25,-378,-102
lemjinade,remember the best pepsi commercial?? beyoncé pink and britney had everyone shaking https://t.co/JD9LHTEzSP,2020-06-19T22:05:46.000Z,https://t.co/eavDjsAMwH,b⁷,19/she/her/middle eastern,false,193,725,28,10,-715,-165
THR,"Ford, Pepsi and Microsoft are the latest blue-chip companies to join the growing advertising boycott of Facebook and Instagram over its failure to deal with hate speech and misinformation on its platform https://t.co/nC7lX7GsXi",2020-07-01T08:04:06.000Z,https://t.co/HynB1A3ItS,The Hollywood Reporter,"Hollywood, CA",true,263,1035,25,41,-994,-238
THR,"Ford, Pepsi and Microsoft are the latest companies to join the growing advertising boycott of Facebook and Instagram over its failure to deal with hate speech and misinformation  https://t.co/LRAw110AsD",2020-07-04T21:45:03.000Z,https://t.co/HynB1A3ItS,The Hollywood Reporter,"Hollywood, CA",true,161,918,25,20,-898,-136
CNN,"At a time when all eyes are turned on the social and health inequities of people of color, a new study sheds light on how soda companies target minority youth with advertising dollars. https://t.co/EF7LSskAst",2020-06-23T14:47:50.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,109,221,23,63,-158,-86
QuebrandoOTabu,"Bozoma Saint John é a nova diretora de marketing da Netflix.

Bozoma tem mais de 20 anos de carreira e liderou empresas como a Apple, Pepsi, e Endeavor.

Lidere empresas como uma mulher negra! ♥️✊🏾

https://t.co/Vm4eDhojmY",2020-07-05T20:30:00.000Z,https://t.co/3eHEO0OE49,Quebrando o Tabu,NA,true,254,3066,20,16,-3050,-234
Richards_Karin,NDZ says tobacco ban is rational because smoking burdens the health care system. Whilst it is in order to allow alcohol which has seen hospital emergency rooms swamped? This is as rational as banning Fanta but allowing Pepsi. It is sheer spite. Malicious and obdurate crap.,2020-06-09T11:38:57.000Z,,Karin Richards,"Cape Town, South Africa",false,189,765,19,64,-701,-170
BSO,Where Devin Booker and Kendall Jenner Got Together Before He Had to Head Off to Orlando to Restart the NBA Season; Details on If Jenner Brought a Pepsi to End Racism and Police Brutality with Her (Pics-Tweets-Vids) https://t.co/AqopfHnZbQ via @BasketballguruD https://t.co/1OOMkvcejF,2020-06-10T05:00:52.000Z,https://t.co/uXw1l3zIeZ,Robert Littal BSO,"Los Angeles, CA",true,14,40,13,6,-34,-1
