user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
FFLose,"🇦🇺 Open d'Australie - #bushfires 

Pour la durée du tournoi, nous rejoignons le mouvement d'aide pour l'Australie.
Nous reverserons 5$ par double faute de @benoitpaire et 20$ par raquette brisée.

L'argent ira à la @RedCrossAU.
Bon Open d'Australie à tous! https://t.co/4Ti9b7JvIs",2020-01-19T18:14:10.000Z,https://t.co/sf7ykLu1JR,Fédé 🇫🇷 de la Lose,NA,false,375,2246,24,51,-2195,-351
MatisseThybulle,"Thank you to the @sixers org for helping us support @RedCrossAU and their Australian bushfire relief efforts through this @Prizeo campaign: https://t.co/vELr769rZP

Donate to a very worthy cause and have chance to win exclusive @sixers experiences and prizes. 🇦🇺 https://t.co/SWmp8wxyzt",2020-01-31T19:04:06.000Z,https://t.co/PZwmjjGYOL,Matisse Thybulle,NA,true,101,1264,12,51,-1213,-89
LandoNorris,"I’m doing a meet and greet with Carlos to support the @F1 Australian bushfire appeal.

You’ll get a couple of VIP passes and the opportunity to see our lovely faces.

All proceedes go to @RedCrossAU, @CFA_Updates, @FRRR_Oz &amp; @WWF_Australia 👊🏼

https://t.co/ruXm2TLyB6",2020-01-28T12:15:31.000Z,https://t.co/LKc5Y44bMo,Lando Norris,NA,true,178,2502,20,47,-2455,-158
BenSimmons25,"Win the ultimate 76ers experience! You &amp; a guest will be flown to Philly &amp; participate in the Captains’ huddle, enjoy 2 tickets to the game &amp; more! Your entries will support @RedCrossAU which has been providing aid to those affected by the Bushfires. https://t.co/hYXzirozNa RT! https://t.co/3I48IePWWM",2020-01-31T23:50:31.000Z,https://t.co/ZS8IVqhEpY,Ben Simmons,NA,true,200,1100,5,31,-1069,-195
AaronFinch5,"Big day today with the big appeal underway for the bushfire victims and recovery efforts. Log onto 
https://t.co/rkCJTzjTCQ  to find out more and make a donation. 
All funds raised  will go to the Australian Red Cross Disaster Relief and Recovery Fund. 
#BigAppeal https://t.co/CTj5uK4XS1",2020-02-09T01:51:17.000Z,,Aaron Finch,"Melbourne, Australia",true,104,1714,7,23,-1691,-97
Phoebe2302,"My concern about where all these funds are going from the Fire Concert performed in Sydney is;

Funds raised will be split between the RFS, RSPCA, and Mr Dutton's Red Cross Disaster Relief Fund and Management...the latter is as I understand it a Fund set up for future disasters.",2020-02-16T18:28:17.000Z,,🐕🐱🦅🌏🏝 ResistenceinOzWendy Ellliott,"Queensland, Australia",false,55,78,4,19,-59,-51
GottaBernNow,Red Cross to give only a third of $95m in donations to bushfire victims https://t.co/KDZ2tp6JWV,2020-01-30T15:45:39.000Z,,#ProgressiveParty,"Los Angeles, CA",false,54,48,15,18,-30,-39
SkyNewsAust,"The Australian Red Cross says more than $61 million will be available for immediate relief as the charity doubles its funding for bushfire victims in the wake of criticism over slow donation distribution. 

https://t.co/n04B1sum5R",2020-02-02T20:16:11.000Z,https://t.co/w0LnWARl5k,Sky News Australia,"Sydney, Australia",true,9,22,3,17,-5,-6
SquigglyRick,"The Australian Red Cross owed $20m to current and former employees, is still paying this back, and hasn't joined the National Redress Scheme for child abuse survivors. When I asked, they said they are reconsidering. #bushfires https://t.co/LnMMRgEr63 https://t.co/UqGPIb6zPG",2020-01-26T10:01:47.000Z,https://t.co/qBQvNNoS22,Rick Morton,"Sydney, New South Wales",true,115,147,4,14,-133,-111
SBSNews,The Australian Red Cross is doubling its funds to help people affected by bushfires with the charity saying more than $61 million will now be available as immediate relief. https://t.co/7Cye7L2FF1,2020-02-02T20:10:29.000Z,https://t.co/wyFBtTH4kz,SBS News,Australia,true,12,44,6,14,-30,-6
RedCrossAU,Our Bushfire Advisory Panel met this week. From Monday we'll start distributing new financial assistance. This weekend we're getting systems and teams ready to make it as easy as possible for ppl to access this additional help. https://t.co/isB82aPj3l,2020-01-31T04:05:03.000Z,https://t.co/7uMWCSKSwX,Australian Red Cross,Australia,true,21,66,4,13,-53,-17
Stop_Trump20,"Red Cross to give only a third of $95m in donations to bushfire victims

https://t.co/qF9qQuU5lI",2020-02-01T13:54:28.000Z,https://t.co/SbGnAnievL,Hear Me Roar,if you enjoy my humor👇👇,false,13,15,2,13,-2,-11
jvn,"Can’t wait to come to Australia and New Zealand this month! Were going to have donation stations at every show for @RSPCA and @RedCrossAU to support bushfire relief efforts. If you’re outside of AUS/NZ, you can donate at https://t.co/gkq20seYTp or https://t.co/e5i1RYAp1Y",2020-02-06T01:13:44.000Z,https://t.co/2HuOWvMLmn,Jonathan Van Ness,NA,true,19,194,2,10,-184,-17
samanthajferris,Hey @RedCrossAU.... I just heard that you all are only donating $30 million of the $95 million donated to help the bush fire situation. If so.... how is that possible? Word to the wise: please give to charity. Do NOT give it to the Red Cross. Shame on you #RedCross. 👎,2020-02-03T16:30:39.000Z,,Samantha Ferris,"Vancouver, B.C.",true,12,58,1,9,-49,-11
2GB873,"After the Red Cross copped alot of criticism for how it was spending bushfire donations Tim Costello has shed light on how charities operate.

https://t.co/wIhavOICKo",2020-02-13T02:29:57.000Z,http://t.co/2DKQWEllTJ,2GB 873,"Sydney, Australia",true,1,7,3,8,1,2
