user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
FFLose,"🇦🇺 Open d'Australie - #bushfires 

Pour la durée du tournoi, nous rejoignons le mouvement d'aide pour l'Australie.
Nous reverserons 5$ par double faute de @benoitpaire et 20$ par raquette brisée.

L'argent ira à la @RedCrossAU.
Bon Open d'Australie à tous! https://t.co/4Ti9b7JvIs",2020-01-19T18:14:10.000Z,https://t.co/sf7ykLu1JR,Fédé 🇫🇷 de la Lose,NA,false,375,2246,24,51,-2195,-351
BenSimmons25,"Win the ultimate 76ers experience! You &amp; a guest will be flown to Philly &amp; participate in the Captains’ huddle, enjoy 2 tickets to the game &amp; more! Your entries will support @RedCrossAU which has been providing aid to those affected by the Bushfires. https://t.co/hYXzirozNa RT! https://t.co/3I48IePWWM",2020-01-31T23:50:31.000Z,https://t.co/ZS8IVqhEpY,Ben Simmons,NA,true,200,1100,5,31,-1069,-195
ShinsFriendsVN,"Today, we donated some of money for Red Cross in the name of SUPER JUNIOR SHINDONG.
Thank you for supporting our donation campaign to relieve the loss from Australian bushfires. We really appreciate your support. https://t.co/Z7gEWYDL0u",2020-02-10T10:49:06.000Z,https://t.co/HiV4qLsfXq,Always♥신동,Vietnam / International,false,184,313,1,1,-312,-183
LandoNorris,"I’m doing a meet and greet with Carlos to support the @F1 Australian bushfire appeal.

You’ll get a couple of VIP passes and the opportunity to see our lovely faces.

All proceedes go to @RedCrossAU, @CFA_Updates, @FRRR_Oz &amp; @WWF_Australia 👊🏼

https://t.co/ruXm2TLyB6",2020-01-28T12:15:31.000Z,https://t.co/LKc5Y44bMo,Lando Norris,NA,true,178,2502,20,47,-2455,-158
AdamKorsak,"Rutgers family, please join me in efforts to help Australian communities affected by the bushfires 🇦🇺
Please donate to the Australian Red Cross | https://t.co/xLPna5r0YB

#AustralianBushfires https://t.co/U9joADjgf2",2020-02-06T18:25:48.000Z,,Adam Korsak,"New Brunswick, NJ",false,127,309,4,6,-303,-123
SquigglyRick,"The Australian Red Cross owed $20m to current and former employees, is still paying this back, and hasn't joined the National Redress Scheme for child abuse survivors. When I asked, they said they are reconsidering. #bushfires https://t.co/LnMMRgEr63 https://t.co/UqGPIb6zPG",2020-01-26T10:01:47.000Z,https://t.co/qBQvNNoS22,Rick Morton,"Sydney, New South Wales",true,115,147,4,14,-133,-111
AaronFinch5,"Big day today with the big appeal underway for the bushfire victims and recovery efforts. Log onto 
https://t.co/rkCJTzjTCQ  to find out more and make a donation. 
All funds raised  will go to the Australian Red Cross Disaster Relief and Recovery Fund. 
#BigAppeal https://t.co/CTj5uK4XS1",2020-02-09T01:51:17.000Z,,Aaron Finch,"Melbourne, Australia",true,104,1714,7,23,-1691,-97
MatisseThybulle,"Thank you to the @sixers org for helping us support @RedCrossAU and their Australian bushfire relief efforts through this @Prizeo campaign: https://t.co/vELr769rZP

Donate to a very worthy cause and have chance to win exclusive @sixers experiences and prizes. 🇦🇺 https://t.co/SWmp8wxyzt",2020-01-31T19:04:06.000Z,https://t.co/PZwmjjGYOL,Matisse Thybulle,NA,true,101,1264,12,51,-1213,-89
DickGordonDG,"DARNA DID IT AGAIN. Ms. @143redangel personally went to our Philippine Red Cross-Batangas Chapter to donate and volunteer in the distribution of relief goods and hygiene kits to the families affected by the eruption of Taal volcano.

📸 Jhayvee Hernandez https://t.co/yEQ4BiEdqY",2020-01-19T07:36:12.000Z,https://t.co/yAmSkwhzCq,Richard J. Gordon,Philippines,true,98,488,4,6,-482,-94
Phoebe2302,"My concern about where all these funds are going from the Fire Concert performed in Sydney is;

Funds raised will be split between the RFS, RSPCA, and Mr Dutton's Red Cross Disaster Relief Fund and Management...the latter is as I understand it a Fund set up for future disasters.",2020-02-16T18:28:17.000Z,,🐕🐱🦅🌏🏝 ResistenceinOzWendy Ellliott,"Queensland, Australia",false,55,78,4,19,-59,-51
GottaBernNow,Red Cross to give only a third of $95m in donations to bushfire victims https://t.co/KDZ2tp6JWV,2020-01-30T15:45:39.000Z,,#ProgressiveParty,"Los Angeles, CA",false,54,48,15,18,-30,-39
RedCrossAU,"New #bushfire grants are open for home owners whose primary residences are badly damaged and people hospitalised for injuries in the fires. 

Here’s the next part of our recovery plan.
https://t.co/FBgsm57U75 https://t.co/P1U3csqqON",2020-02-02T19:55:08.000Z,https://t.co/7uMWCSKSwX,Australian Red Cross,Australia,true,52,69,10,3,-66,-42
UnityEventsCA,"Last weekend $7300 was raised for the Australia Red Cross and the Country Fire Authority Bushfire Appeal at #UNITYDAYS2020. Big shoutout to Megan and Tara who won the signed #The100 jackets and a huge thank you to @iamjrbourne , @MisElizaJane , @WildpipM , &amp; the cast of #The100! https://t.co/kt6a6X3shP",2020-02-03T02:02:52.000Z,https://t.co/IvBdJbd4Zi,Unity Events Canada,"Vancouver, British Columbia",false,49,350,4,5,-345,-45
DdaengLifeUnite,"For #Hoseok’s birthday, we’re raising funds to donate at @RedCrossAU to help with Australian Bushfire, and we need #ARMY’s help! 

🔗https://t.co/5SQLWbNTKR
🔗https://t.co/m4yxitgPGl

If you donate $10+, you can get this beautiful sticker + more 

#BTS @BTS_twt #HopeToHelp #JHOPE https://t.co/ClRFNfGzRM",2020-02-12T04:33:06.000Z,https://t.co/07yhxQTSBA,BTS 🤝 ARMY PROJECTS,Worldwide 🌍,false,47,99,2,0,-99,-45
ufc,"Please join UFC in supporting relief efforts from the Australian Bushfire crisis. 

Purchase a “UFC Supports Australia” t-shirt at https://t.co/YPzY37aSSV

➡️ 100% of the profits from the sales will benefit the Australian Red Cross Disaster Relief and Recovery Fund. https://t.co/AWu2KVBSqO",2020-01-27T21:05:27.000Z,https://t.co/b17DjvbspU,UFC,Worldwide,true,43,399,0,5,-394,-43
DdaengLifeUnite,"ARMYs

We've already raised 17% of our goal for @RedCrossAU, thanks to you 💜

We #HopeToHelp families affected by Australian Bushfire, for #JHOPE's  Birthday!

Donate at:
🔗https://t.co/5SQLWbNTKR
🔗https://t.co/m4yxitgPGl 

@BTS_twt #Hoseok #정호석  #DdaengLifeUniteProject #BTS https://t.co/5LeDJWa5HF",2020-01-26T10:25:37.000Z,https://t.co/07yhxQTSBA,BTS 🤝 ARMY PROJECTS,Worldwide 🌍,false,36,57,1,0,-57,-35
DiscoveryUK,"Every donation makes a difference. 🌍❤️🇦🇺

Join Discovery and The Irwins and help Australia now: https://t.co/XaSSnnQhEF

@RSPCA @wildwarriors @AustraliaZoo @RedCrossAU @RobertIrwin @TerriIrwin @BindiIrwin #AustraliaRelief https://t.co/QyNVsENNuO",2020-01-27T17:19:06.000Z,https://t.co/AIocFjR6kX,Discovery Channel UK,"London, England",true,35,348,1,1,-347,-34
parkwayofficial,"A massive thank you to everyone who supported our bushfire relief fund. We will be closing the fund this Friday, February 14th, so it will be released to @RedCrossAU and @WIRES_NSW. You are still able to donate until then. 🙏
https://t.co/GM869JiOad https://t.co/O6njwHjB4n",2020-02-11T07:42:40.000Z,https://t.co/4namAk8Rhq,Parkway Drive,"Byron Bay, Australia",true,33,290,2,6,-284,-31
RedCrossAU,"Our country has been through a lot lately with the #BlackSummer bushfires. Almost everyone’s feeling it in some way.  We hope this advice on looking after yourself in the wake of the helps. 

Pls share  ❤️
https://t.co/wSIrhmWW3e",2020-02-09T20:35:07.000Z,https://t.co/7uMWCSKSwX,Australian Red Cross,Australia,true,31,48,3,2,-46,-28
BaliNational,"Thank you to all supporters for making our Australia Day Golf Tournament 2020 so succrssful. We also were able to raise funds and send it to Australian Red Cross for the bushfires relief and recovery fund.

Thank you.
Bali National Golf Club https://t.co/ytSAFJtLDg",2020-01-27T11:02:37.000Z,https://t.co/0EMM5EGiWT,Bali National Golf Club,"The MAJ Nusa Dua, Bali.",false,29,12,0,0,-12,-29
