user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
serehfas,"Ouch.
Bushfire aid: Red Cross admits to $11 million 'administration cost' to help fire victims https://t.co/TVgF0hUIEt",2020-01-25T11:46:54.000Z,,Angie Adamson,NA,false,3,2,0,4,2,-3
9NewsMelb,"The family of a man with terminal cancer has told how he spent days in agony fleeing bushfires, before initially being denied financial assistance from the Red Cross. #9News 
https://t.co/wa7jaY5MBg",2020-02-12T04:25:00.000Z,http://t.co/mTeTNcmhaU,9News Melbourne,"Melbourne, Australia",true,3,5,3,7,2,0
GAttrich,"Celeste Barber calls in lawyers over $52m RFS donation https://t.co/Kz875Suk8C via @newscomauHQ
Most of Australia  KNEW THIS WOULD HAPPEN.....!!!
Ask the Red Cross why they deducted $11,000,000 for ADMIN expenses....this is THEFT IN THE TRUE SENSE OF THE WORD",2020-02-15T20:29:08.000Z,,gerhardt attrich,NA,false,1,2,0,4,2,-1
mobygrapefan,"Just saw A #RedCross commercial &amp; they said 2 donate 2 the Victims of the fires in #Australia &amp; the #Amazon,they 4got 2 mention ONLY #Vote 4 Candidates who will fight #ClimateChange! #Amazonfires #AustraliaFires #BernieBeatsTrump #Bernie2020 #GreenNewDeal B/C R Planet is on #Fire",2020-01-19T20:53:15.000Z,,Mysteriously Unnamed,Earth,false,2,1,1,2,1,-1
jungillshadow,Red Cross to give only a third of $95m in donations to bushfire victims https://t.co/JatQkMS6nh,2020-01-29T22:47:52.000Z,https://t.co/3unKdwCjlV,Jimmy,"Johnson City, TN",false,1,1,0,2,1,-1
2GB873,"After the Red Cross copped alot of criticism for how it was spending bushfire donations Tim Costello has shed light on how charities operate.

https://t.co/wIhavOICKo",2020-02-13T02:29:57.000Z,http://t.co/2DKQWEllTJ,2GB 873,"Sydney, Australia",true,1,7,3,8,1,2
bladedshard,"So I've got a fellow viewer who lives in Australia and has been giving me a lot of insight.  I really really wish I had the money to support this, or the donations.  I highly recommend everyone shoot a support there. and to red cross   https://t.co/d2WNNfThza",2020-01-15T21:42:14.000Z,https://t.co/KYKtWrEZT8,(OLG)bladedshard,Manitoba,false,1,2,0,2,0,-1
beschuit_p,"Serieus

Wat een criminele bende dat rode kruis 

https://t.co/UPBRw5ppzp",2020-01-25T10:03:02.000Z,,Beschuit,NA,false,2,1,0,1,0,-2
RedCrossMA,"RT RedCross: dawko15 The Australian Red Cross is using donations from generous donors like you to help save lives and is getting AUD $1 million out the door each day to help families affected by the bushfires. To read more about their efforts, visit https://t.co/013rOaKEaa.",2020-01-25T16:37:02.000Z,,RedCrossMA,Massachusetts,true,1,1,0,1,0,-1
sayheyphilly,Red Cross director admits $10MILLION will not go to bushfire victims | Daily Mail Online https://t.co/OyYUsQehvk,2020-01-25T19:44:21.000Z,,Kat 🌊,Fly Eagles Fly 🦅—🌴,false,1,1,0,1,0,-1
PRlNCE_VEGETA,HEY just a gentle reminder for anyone else who got this message but to NOT donate to the Red Cross!!! They kept a HUGE amount of the donations and fuck all actually went to those affected by the bushfires https://t.co/EejmaO8TTr,2020-01-26T05:21:20.000Z,,❤shrimpy❤,NA,false,4,2,0,2,0,-4
TheBLEUisSKY,"yea Red Cross and PETA are garbage and KEEP the $ donated to them!! 

DON'T GIVE TO #RedCross or #PETA!!!!
esp for Australia's bush fires!!!! 
just don't!!!

https://t.co/KL0TmSxII5",2020-01-26T11:33:42.000Z,,LeBleu,NA,false,1,1,1,1,0,0
p_whynot,Red Cross director admits $10MILLION will not go to bushfire victims https://t.co/MZvX4G1NIa,2020-01-27T22:09:16.000Z,,P.Q. Whynot,NA,false,2,1,0,1,0,-2
