user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
NEWS_MAKER,STARBUCKS Schultz Opens Bathrooms To Everyone... https://t.co/SI3zZROsDu,2018-05-11T12:32:22.000Z,,NEWS MAKER,US,false,18,34,37,133,99,19
BuzzFeedNews,"You can now use Starbucks bathrooms without buying anything

https://t.co/ByM106OjJA",2018-05-11T13:43:23.000Z,https://t.co/zNicBkWJ5l,BuzzFeed News,NA,true,65,298,71,41,-257,6
Independent,Starbucks chairman says coffee shop 'toilets are open to everyone' https://t.co/pKIg6XOKIP https://t.co/KDfiYHHd1O,2018-05-12T17:44:06.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,2,13,8,8,-5,6
BusinessInsider,Starbucks CEO says that boycotts following the arrests of two black men haven't impacted sales https://t.co/3dMUrvPzLm https://t.co/10ogYKKY0l,2018-04-26T22:29:01.000Z,https://t.co/qJiLYVC7Jx,Business Insider,"New York, NY",true,7,4,11,6,2,4
NRO,Starbucks Opens Bathrooms to Public amid Backlash over Arrest of Black Men https://t.co/l3cY1jtrL7 https://t.co/2iu6Y88OtE,2018-05-11T18:30:27.000Z,https://t.co/s00ora6By7,National Review,New York,true,2,4,6,13,9,4
Newsweek,"An NYPD Sergeant is suing Starbucks, saying an altercation over a free croissant led to a potential career-ending injury https://t.co/vPCvbJJIeF https://t.co/bgPR12v0rO",2018-04-29T15:15:44.000Z,https://t.co/g1Lso5rh3t,Newsweek,"New York, NY",true,6,12,9,8,-4,3
NinjaEconomics,Truck carrying Starbucks' products in Washington state had 126 pounds of meth. https://t.co/2qNziRuwaA,2018-05-10T18:00:00.000Z,,Ninja Economics,NA,false,3,5,6,8,3,3
foodandwine,Starbucks just changed its bathroom policy: https://t.co/zS5qkGxNri https://t.co/mjSPQepWyk,2018-05-12T05:51:17.000Z,https://t.co/mzeTYiNY4b,Food & Wine,NA,true,2,28,5,2,-26,3
chicksonright,How do you feel about this? https://t.co/q3LNgcRnOt,2018-05-12T22:39:03.000Z,http://t.co/vv3I1aWuWG,Chicks On The Right,Indianapolis,true,3,10,6,42,32,3
_KingOfTheHill1,Lady takes a shit in Starbucks throws her shit at the employee...how long it take them to call the cops? 🤔 https://t.co/pIJCpqsLwy,2018-05-17T00:29:10.000Z,,IG: Nolofit1,NYC/NJ,false,1,2,4,1,-1,3
MekahloNBCLA,This happened in the #LA area; A @starbucks on #LaCanada used a racial slur for name of #Latino customer on coffee cup; What does @starbucks have to say? More on #TODAYinLA on Channel 4 from 4-7am l @NBCLA l https://t.co/A3ujbLG8Sv https://t.co/kfHqusGHBW,2018-05-17T13:06:09.000Z,https://t.co/ekQecHIFmd,Mekahlo Medina,"Los Angeles, California",true,3,6,6,1,-5,3
HussamA,Protests Force Starbucks to Ditch ADL From Leading Anti-Racism Training https://t.co/WbHkURmx9M,2018-04-30T04:49:06.000Z,https://t.co/2SyJz36xjm,Hussam Ayloush,Los Angeles Area,false,1,11,3,0,-11,2
Blavity,Anti-Defamation League no longer teaching #Starbucks workers how not to be racist amid claims of their own racism https://t.co/TS9vWmfdx0 https://t.co/xZJf4eVUDj,2018-05-01T16:00:36.000Z,https://t.co/CUmFmynfet,Blavity News,"Los Angeles, CA",true,2,10,4,0,-10,2
DogTagBakery,"BROWNIE TRACKER UPDATE! 
Brownies have been spotted in 32 states! Our goal is to get to all 50 by 6/4/18. Can you help us by telling your friends in these states to visit @Starbucks and get our brownie!
-ID
-AZ
-WY
-OK
-ND
-SD
-NE 
-MN
-AR
-LA
-MS
-TN
-IN
-SC
-DE
-CT 
-RI
-ME https://t.co/3YEwpRFFZM",2018-05-14T20:02:07.000Z,https://t.co/0ku4UrT62v,Dog Tag Bakery,"Georgetown, Washington, DC",false,1,4,3,0,-4,2
ladykennington,"Just throw the whole company away and start over.

https://t.co/siV2l42lrJ",2018-05-17T12:39:03.000Z,https://t.co/1lWYT09NvG,Haley Kennington,haley.kennington@protonmail,false,1,2,3,4,2,2
JordanUhl,How long until Conservatives start shouting at baristas saying their name is the n-word to protest the Starbucks racial sensitivity training?,2018-04-24T01:30:22.000Z,https://t.co/SBy2q8T8Q3,jordan,"Washington, D.C.",true,1,58,2,2,-56,1
sfdb,Our @NRA World: WI gunslinger leaves loaded firearm in Starbucks restroom where it is found by store employee. It happens. @KagroX @GunFreeZone https://t.co/tVaaDwsSO5,2018-04-24T11:58:10.000Z,,SFDB,South Florida,false,1,1,2,0,-1,1
ArtPlaceAmerica,"""Starbucks’ mimicry of public space is successful in part because of the erosion of genuine public space."" https://t.co/ZzajURgco9",2018-04-25T16:01:04.000Z,https://t.co/aB7G28AT7l,ArtPlaceAmerica,"Brooklyn, NY",false,1,1,2,0,-1,1
bigbossbrittt,"I didn’t boycott Starbucks, y’all know good and damn well I’m not letting go of Kanye lmao",2018-04-25T20:25:23.000Z,,.brittany,NA,false,1,8,2,0,-8,1
KeriAnneWard,Anybody else ask your significant other or best friend facts about your own self? Like I’ll be asking “what kind of Gatorade is my favorite?” Or “what’s my order at Starbucks again?”,2018-04-26T00:07:14.000Z,,Keri,NA,false,1,43,2,0,-43,1
