user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
elijahdaniel,when starbucks doesnt have your venti iced chai pumpkin spice unicorn  latte with two shots of espresso and also you’re a racist https://t.co/KuFRdsiZ4n,2018-05-14T00:37:22.000Z,,elijah daniel,he/him,true,18397,119922,236,182,-119740,-18161
keithboykin,"A few reasons people called the cops on black people:
• waiting in @Starbucks
• napping in a @Yale dorm
• renting an @AirBnB
• golfing at @GrandviewGC
• shopping at @NordstromRack
• buying a belt at @BarneysNY 
• BB gun shopping at @Walmart
• wearing a hoodie in the rain",2018-05-10T03:49:31.000Z,https://t.co/mwHLxQwWys,Keith Boykin,"Los Angeles, CA",true,31006,59081,1512,1314,-57767,-29494
adamcbest,"Donald Trump has now tweeted TWICE today about Kanye West. 

He never tweeted about James Shaw Jr., the hero of the Waffle House shooting. 

He never tweeted about racial profiling of innocent black men at Starbucks. 

Tells you all you need to know about who our President is.",2018-04-25T21:38:07.000Z,https://t.co/it2PtJ1xIw,Adam Best,"Huntsville, AL",true,10429,29995,450,738,-29257,-9979
ananavarro,"Two men were arrested for waiting at Starbucks. Police called on a Yale student for sleeping. Elderly driver was sworn at, dragged out of her car by 3 policemen for swerving into wrong lane. They were all black.

America, what is happening in our country?
 https://t.co/t61EnRs6wE",2018-05-12T11:57:10.000Z,https://t.co/IaghNWqyKC,Ana Navarro-Cárdenas,"Coral Gables, Fl",true,13150,29906,1516,4225,-25681,-11634
IamGMJohnson,"Black folk outrage

Flint not having water
Unarmed blacks killed by cops
Cops called on black patrons at Starbucks, golf course, &amp; Waffle House
Black woman goes into Cardiac arrest plane wouldn’t land

White folk outrage:

A joke made about Sarah Huckabee Sanders eye makeup",2018-04-29T23:38:41.000Z,https://t.co/7Nb5sT8e1K,George M Johnson,"Los Angeles, CA",true,6339,17689,109,155,-17534,-6230
larryelder,"The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",2018-04-21T10:53:57.000Z,https://t.co/qYBVRK6S23,Larry Elder,"L.A., Calif.",true,4387,12743,321,810,-11933,-4066
GeorgeTakei,"Kudos to these young men, who are showing a level of class and decency that certainly was not shown to them. https://t.co/FAlWq6R553",2018-05-05T21:05:44.000Z,https://t.co/FESrB1JExy,George Takei,"Broadway - New York, NY",true,1964,10157,50,115,-10042,-1914
Bakari_Sellers,"If you see a gang of young black ppl together today, with their grandmothers, staying at an air bnb, playing Young Dolph, eating at Waffle House, grabbing coffee at Starbucks, taking a nap, or organizing a BBQ in the local park, DO NOT CALL THE POLICE, they are graduates!!",2018-05-12T19:19:29.000Z,https://t.co/UyiREQLgOQ,Bakari Sellers,"Denmark, SC",true,2481,9171,111,187,-8984,-2370
shannonrwatts,Right - just for sitting in Starbucks while Black. Or asking for a spoon while Black. Or going through a TSA line while Black. Or while waiting for a ride to a basketball game while Black. Or filming the police while Black. Or drinking an Arizona Iced Tea while Black. Or... https://t.co/rS9p7GFjTP,2018-04-27T15:19:42.000Z,https://t.co/LkDDRBzjnN,Shannon Watts,"NRA’s head, rent free",true,1489,5723,27,98,-5625,-1462
davidaxelrod,"This says so much about the two men who were wronged in that Starbucks in Philly.
https://t.co/Z6qOae0zIa",2018-05-03T03:26:11.000Z,,David Axelrod,NA,true,1047,5515,90,158,-5357,-957
